Topic,Data,TimeStamp
actions,steering(0.0105428580050059),2021-10-13 10:44:07.257000
actions,setSpeed(8),2021-10-13 10:44:07.700000
actions,steering(-0.002653529894297588),2021-10-13 10:44:07.965000
actions,steering(-0.004549204230992812),2021-10-13 10:44:08.457000
actions,steering(0.0029992117262459513),2021-10-13 10:44:08.953000
actions,steering(0.657861831745578),2021-10-13 10:44:09.448000
actions,steering(0.2909527116290604),2021-10-13 10:44:09.935000
actions,steering(-0.12526038519425456),2021-10-13 10:44:10.449000
actions,steering(-0.4215713464914653),2021-10-13 10:44:10.949000
actions,steering(-0.3756223841572654),2021-10-13 10:44:11.438000
actions,steering(0.02017918608200036),2021-10-13 10:44:11.915000
actions,steering(0.08105834954960155),2021-10-13 10:44:12.400000
actions,steering(0.11450609340751594),2021-10-13 10:44:12.844000
actions,steering(-0.012157022878979568),2021-10-13 10:44:13.292000
actions,steering(-0.09437953934281224),2021-10-13 10:44:13.715000
actions,steering(-0.0040324667872737915),2021-10-13 10:44:14.099000
actions,steering(0.010102595142147515),2021-10-13 10:44:14.515000
actions,steering(0.06695424882226211),2021-10-13 10:44:14.904000
actions,steering(0.04811004559665838),2021-10-13 10:44:15.285000
actions,steering(-0.00724472937814838),2021-10-13 10:44:15.701000
actions,steering(-0.0718840768670886),2021-10-13 10:44:16.099000
actions,steering(-0.08405707397195657),2021-10-13 10:44:16.468000
actions,setSpeed(0),2021-10-13 10:44:16.960000
