Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:44:07.141000
outbox,"<mid2,0,tell,BROADCAST,compassSteer(steering(0.0105428580050059),bearing(0.35409688127106165))>",2021-10-13 10:44:07.335000
outbox,"<mid3,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-13 10:44:07.477000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:44:07.834000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.002653529894297588)),bearing(0.35409466530643385))>",2021-10-13 10:44:08.035000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:44:08.185000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:44:08.315000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering((-0.004549204230992812)),bearing(0.35409466998129346))>",2021-10-13 10:44:08.538000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:44:08.678000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:44:08.819000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.0029992117262459513),bearing(0.3545990323842716))>",2021-10-13 10:44:09.033000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:44:09.161000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:44:09.310000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.657861831745578),bearing(0.3580065783424402))>",2021-10-13 10:44:09.507000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:44:09.649000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:44:09.801000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.2909527116290604),bearing(0.3621820596517864))>",2021-10-13 10:44:10.007000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:44:10.149000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:44:10.305000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering((-0.12526038519425456)),bearing(0.19289770778874527))>",2021-10-13 10:44:10.517000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:44:10.674000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:44:10.813000
