Topic,Data,TimeStamp
reasoningPerformance,72,2021-10-13 10:43:55.840000
reasoningPerformance,83,2021-10-13 10:43:55.934000
reasoningPerformance,48,2021-10-13 10:43:55.985000
reasoningPerformance,55,2021-10-13 10:43:56.050000
reasoningPerformance,47,2021-10-13 10:43:56.116000
reasoningPerformance,95,2021-10-13 10:43:56.219000
reasoningPerformance,36,2021-10-13 10:43:56.252000
reasoningPerformance,86,2021-10-13 10:43:56.344000
reasoningPerformance,59,2021-10-13 10:43:56.404000
reasoningPerformance,69,2021-10-13 10:43:56.477000
reasoningPerformance,58,2021-10-13 10:43:56.542000
reasoningPerformance,77,2021-10-13 10:43:56.637000
reasoningPerformance,96,2021-10-13 10:43:56.720000
reasoningPerformance,66,2021-10-13 10:43:56.791000
reasoningPerformance,69,2021-10-13 10:43:56.885000
reasoningPerformance,61,2021-10-13 10:43:56.943000
reasoningPerformance,49,2021-10-13 10:43:56.994000
reasoningPerformance,74,2021-10-13 10:43:57.068000
reasoningPerformance,64,2021-10-13 10:43:57.140000
reasoningPerformance,76,2021-10-13 10:43:57.211000
reasoningPerformance,74,2021-10-13 10:43:57.295000
reasoningPerformance,53,2021-10-13 10:43:57.356000
reasoningPerformance,60,2021-10-13 10:43:57.423000
reasoningPerformance,80,2021-10-13 10:43:57.515000
reasoningPerformance,63,2021-10-13 10:43:57.572000
reasoningPerformance,74,2021-10-13 10:43:57.655000
reasoningPerformance,91,2021-10-13 10:43:57.746000
reasoningPerformance,62,2021-10-13 10:43:57.812000
reasoningPerformance,44,2021-10-13 10:43:57.875000
reasoningPerformance,78,2021-10-13 10:43:57.962000
reasoningPerformance,54,2021-10-13 10:43:58.022000
reasoningPerformance,100,2021-10-13 10:43:58.122000
reasoningPerformance,41,2021-10-13 10:43:58.170000
reasoningPerformance,48,2021-10-13 10:43:58.240000
reasoningPerformance,73,2021-10-13 10:43:58.305000
reasoningPerformance,63,2021-10-13 10:43:58.367000
reasoningPerformance,76,2021-10-13 10:43:58.470000
reasoningPerformance,79,2021-10-13 10:43:58.556000
reasoningPerformance,33,2021-10-13 10:43:58.592000
reasoningPerformance,76,2021-10-13 10:43:58.678000
reasoningPerformance,68,2021-10-13 10:43:58.744000
reasoningPerformance,60,2021-10-13 10:43:58.808000
reasoningPerformance,75,2021-10-13 10:43:58.900000
reasoningPerformance,63,2021-10-13 10:43:58.956000
reasoningPerformance,54,2021-10-13 10:43:59.021000
reasoningPerformance,66,2021-10-13 10:43:59.092000
reasoningPerformance,95,2021-10-13 10:43:59.187000
reasoningPerformance,61,2021-10-13 10:43:59.272000
reasoningPerformance,38,2021-10-13 10:43:59.313000
reasoningPerformance,92,2021-10-13 10:43:59.407000
reasoningPerformance,63,2021-10-13 10:43:59.490000
reasoningPerformance,84,2021-10-13 10:43:59.556000
reasoningPerformance,64,2021-10-13 10:43:59.629000
reasoningPerformance,41,2021-10-13 10:43:59.666000
reasoningPerformance,72,2021-10-13 10:43:59.739000
reasoningPerformance,87,2021-10-13 10:43:59.831000
reasoningPerformance,65,2021-10-13 10:43:59.911000
reasoningPerformance,43,2021-10-13 10:43:59.955000
reasoningPerformance,89,2021-10-13 10:44:00.044000
reasoningPerformance,66,2021-10-13 10:44:00.112000
reasoningPerformance,77,2021-10-13 10:44:00.193000
reasoningPerformance,38,2021-10-13 10:44:00.244000
reasoningPerformance,111,2021-10-13 10:44:00.362000
reasoningPerformance,38,2021-10-13 10:44:00.411000
reasoningPerformance,48,2021-10-13 10:44:00.460000
reasoningPerformance,91,2021-10-13 10:44:00.574000
reasoningPerformance,72,2021-10-13 10:44:00.663000
reasoningPerformance,19,2021-10-13 10:44:00.685000
reasoningPerformance,66,2021-10-13 10:44:00.758000
reasoningPerformance,63,2021-10-13 10:44:00.821000
reasoningPerformance,75,2021-10-13 10:44:00.897000
reasoningPerformance,79,2021-10-13 10:44:00.984000
reasoningPerformance,69,2021-10-13 10:44:01.051000
reasoningPerformance,71,2021-10-13 10:44:01.124000
reasoningPerformance,65,2021-10-13 10:44:01.188000
reasoningPerformance,72,2021-10-13 10:44:01.261000
reasoningPerformance,74,2021-10-13 10:44:01.340000
reasoningPerformance,74,2021-10-13 10:44:01.414000
reasoningPerformance,71,2021-10-13 10:44:01.491000
reasoningPerformance,64,2021-10-13 10:44:01.554000
reasoningPerformance,64,2021-10-13 10:44:01.626000
reasoningPerformance,77,2021-10-13 10:44:01.704000
reasoningPerformance,66,2021-10-13 10:44:01.775000
reasoningPerformance,73,2021-10-13 10:44:01.844000
reasoningPerformance,71,2021-10-13 10:44:01.920000
reasoningPerformance,69,2021-10-13 10:44:01.996000
reasoningPerformance,77,2021-10-13 10:44:02.085000
reasoningPerformance,57,2021-10-13 10:44:02.151000
reasoningPerformance,67,2021-10-13 10:44:02.229000
reasoningPerformance,49,2021-10-13 10:44:02.286000
reasoningPerformance,59,2021-10-13 10:44:02.363000
reasoningPerformance,69,2021-10-13 10:44:02.423000
reasoningPerformance,66,2021-10-13 10:44:02.496000
