Topic,Data,TimeStamp
actions,steering(0.0036967847949567743),2021-10-12 14:23:40.317000
actions,setSpeed(8),2021-10-12 14:23:40.719000
actions,steering(0.0010140089694624828),2021-10-12 14:23:41.009000
actions,steering(0.007217329798182664),2021-10-12 14:23:41.494000
actions,steering(7.994784183990738E-4),2021-10-12 14:23:41.979000
actions,steering(0.6154288286006119),2021-10-12 14:23:42.468000
actions,steering(0.23165302258464263),2021-10-12 14:23:42.958000
actions,steering(-0.10697892403750943),2021-10-12 14:23:43.466000
actions,steering(-0.22931568601508087),2021-10-12 14:23:43.954000
actions,steering(-0.39049378033672727),2021-10-12 14:23:44.431000
actions,steering(-0.15333391297968144),2021-10-12 14:23:44.890000
actions,steering(0.0822565053443594),2021-10-12 14:23:45.365000
actions,steering(0.15516244301181925),2021-10-12 14:23:45.824000
actions,steering(0.06313780766005325),2021-10-12 14:23:46.190000
actions,steering(-0.0678335792662287),2021-10-12 14:23:46.589000
actions,steering(0.07760281811044961),2021-10-12 14:23:47.040000
actions,steering(-0.0527376500287433),2021-10-12 14:23:47.488000
actions,steering(-0.06731007818549238),2021-10-12 14:23:47.859000
actions,steering(-0.01490701587897686),2021-10-12 14:23:48.202000
actions,steering(0.027191728983001515),2021-10-12 14:23:48.588000
actions,steering(0.019767026497153624),2021-10-12 14:23:48.950000
actions,steering(0.013996291814670977),2021-10-12 14:23:49.350000
actions,setSpeed(0),2021-10-12 14:23:49.867000
