Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:28:03.396000
outbox,"<mid2,0,tell,BROADCAST,compassSteer(steering((-0.003379694635910122)),bearing(0.35407985494617833))>",2021-10-12 14:28:03.595000
outbox,"<mid3,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-12 14:28:03.745000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:28:04.097000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.0038421916618081573)),bearing(0.35409469378453196))>",2021-10-12 14:28:04.306000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:28:04.444000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:28:04.580000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.004214694656822715),bearing(0.3540946971880885))>",2021-10-12 14:28:04.787000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:28:04.936000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:28:05.091000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.012716465558309577),bearing(0.3545491007657233))>",2021-10-12 14:28:05.299000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:28:05.437000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:28:05.579000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.629340283474912),bearing(0.35605567219363365))>",2021-10-12 14:28:05.913000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:28:05.953000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:28:06.280000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.24194130794820592),bearing(0.35446573869563736))>",2021-10-12 14:28:06.494000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:28:06.609000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:28:06.771000
