Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:33:55.641000
outbox,"<mid2,0,tell,BROADCAST,compassSteer(steering(0.0052694916810289115),bearing(0.35408040330520407))>",2021-10-12 14:33:55.840000
outbox,"<mid3,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-12 14:33:55.987000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:33:56.325000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.002896690700945159)),bearing(0.3540957934798712))>",2021-10-12 14:33:56.533000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:33:56.674000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:33:56.809000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.007313868338126916),bearing(0.3540952459128448))>",2021-10-12 14:33:57.015000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:33:57.242000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:33:57.442000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-0.0012611354311049883)),bearing(0.35459619582110236))>",2021-10-12 14:33:57.625000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:33:57.766000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:33:57.977000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.6276831284310267),bearing(0.3554372189067294))>",2021-10-12 14:33:58.119000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:33:58.309000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:33:58.453000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.2094326318994425),bearing(0.3586917241416927))>",2021-10-12 14:33:58.654000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:33:58.808000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:33:58.964000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering((-0.13010651000338527)),bearing(0.1772546052050643))>",2021-10-12 14:33:59.170000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:33:59.321000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:33:59.496000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.2562981654206851)),bearing((-0.015329853940670546)))>",2021-10-12 14:33:59.713000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:33:59.910000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:34:00.011000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.2979501009006633)),bearing((-0.25677754088189886)))>",2021-10-12 14:34:00.215000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:34:00.383000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:34:00.491000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering(0.026727436303423825),bearing((-0.4131124233366563)))>",2021-10-12 14:34:00.704000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:34:00.795000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:34:00.962000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.210288897906297),bearing((-0.40004355051041784)))>",2021-10-12 14:34:01.186000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:34:01.298000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:34:01.453000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.05265202895994919),bearing((-0.2822973641865474)))>",2021-10-12 14:34:01.649000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:34:01.833000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:34:01.897000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering((-0.17037163435052222)),bearing((-0.3225395874576975)))>",2021-10-12 14:34:02.063000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:34:02.207000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:34:02.382000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering((-0.08858418930682257)),bearing((-0.5021916362700836)))>",2021-10-12 14:34:02.547000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:34:02.676000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:34:02.841000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering(0.027212787921215835),bearing((-0.6017058819799672)))>",2021-10-12 14:34:03.118000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:34:03.324000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:34:03.481000
