Topic,Data,TimeStamp
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.37502226248) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.9704327583)",2021-10-12 14:33:49.726000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.76110802298) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.3158111572)",2021-10-12 14:33:49.804000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.1433704849) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.3158111572)",2021-10-12 14:33:49.876000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.02614149773) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.4343309402)",2021-10-12 14:33:49.944000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.01060256567) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.4343309402)",2021-10-12 14:33:50.019000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.3516670646) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.9256000519)",2021-10-12 14:33:50.096000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-5.72742226543) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.9256000519)",2021-10-12 14:33:50.157000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.70652975641) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(63.4809322357)",2021-10-12 14:33:50.226000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-5.60346674047) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.4116325378)",2021-10-12 14:33:50.297000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.93053607668) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.4116325378)",2021-10-12 14:33:50.368000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.33798785216) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0235090256)",2021-10-12 14:33:50.441000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.02614441166) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0235090256)",2021-10-12 14:33:50.509000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.70617338113) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4411153793)",2021-10-12 14:33:50.582000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.96839680693) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7157526016)",2021-10-12 14:33:50.655000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.22449608849) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7157526016)",2021-10-12 14:33:50.722000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.59751229198) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.1049318314)",2021-10-12 14:33:50.795000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.28158291213) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.1049318314)",2021-10-12 14:33:50.871000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-9.998208564) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(74.2502727509)",2021-10-12 14:33:50.933000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.24745999265) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3285112381)",2021-10-12 14:33:51.009000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.60583836888) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3285112381)",2021-10-12 14:33:51.075000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.45579168143) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.6111040115)",2021-10-12 14:33:51.145000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.63271359386) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.6111040115)",2021-10-12 14:33:51.221000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-5.65462838572) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.9188203812)",2021-10-12 14:33:51.282000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.09407570219) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6963062286)",2021-10-12 14:33:51.350000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.51962449879) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6963062286)",2021-10-12 14:33:51.417000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.26467783705) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.9133558273)",2021-10-12 14:33:51.484000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.15108041838) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.9133558273)",2021-10-12 14:33:51.556000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.33192024785) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.9075727463)",2021-10-12 14:33:51.620000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-9.3325024482) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7211122513)",2021-10-12 14:33:51.687000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.64944720644) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7211122513)",2021-10-12 14:33:51.759000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.04589261325) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.5596599579)",2021-10-12 14:33:51.832000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-9.11265017131) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.9857344627)",2021-10-12 14:33:51.899000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.77060425576) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.9857344627)",2021-10-12 14:33:51.968000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.49272631902) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.2946071625)",2021-10-12 14:33:52.032000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.74719877295) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.2946071625)",2021-10-12 14:33:52.104000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-9.30185824355) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2724914551)",2021-10-12 14:33:52.167000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.83348176598) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.5028104782)",2021-10-12 14:33:52.232000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-8.66694148438) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.5028104782)",2021-10-12 14:33:52.306000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.46548494452) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1200962067)",2021-10-12 14:33:52.366000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-9.46087436399) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1200962067)",2021-10-12 14:33:52.433000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-6.40220842599) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(70.3246154785)",2021-10-12 14:33:52.503000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.51611057146) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7908496857)",2021-10-12 14:33:52.568000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.98438733794) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7908496857)",2021-10-12 14:33:52.634000
perceptions,"gps(47.64148237133483, -122.14036499084803) compass(-7.05865099082) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.8149600029)",2021-10-12 14:33:52.702000
