Topic,Data,TimeStamp
reasoningPerformance,74,2021-10-12 14:33:49.743000
reasoningPerformance,71,2021-10-12 14:33:49.818000
reasoningPerformance,66,2021-10-12 14:33:49.884000
reasoningPerformance,65,2021-10-12 14:33:49.949000
reasoningPerformance,74,2021-10-12 14:33:50.034000
reasoningPerformance,85,2021-10-12 14:33:50.112000
reasoningPerformance,62,2021-10-12 14:33:50.175000
reasoningPerformance,73,2021-10-12 14:33:50.256000
reasoningPerformance,67,2021-10-12 14:33:50.332000
reasoningPerformance,58,2021-10-12 14:33:50.398000
reasoningPerformance,63,2021-10-12 14:33:50.475000
reasoningPerformance,59,2021-10-12 14:33:50.537000
reasoningPerformance,70,2021-10-12 14:33:50.607000
reasoningPerformance,70,2021-10-12 14:33:50.678000
reasoningPerformance,59,2021-10-12 14:33:50.747000
reasoningPerformance,67,2021-10-12 14:33:50.820000
reasoningPerformance,62,2021-10-12 14:33:50.888000
reasoningPerformance,63,2021-10-12 14:33:50.965000
reasoningPerformance,61,2021-10-12 14:33:51.021000
reasoningPerformance,68,2021-10-12 14:33:51.089000
reasoningPerformance,62,2021-10-12 14:33:51.157000
reasoningPerformance,72,2021-10-12 14:33:51.231000
reasoningPerformance,57,2021-10-12 14:33:51.288000
reasoningPerformance,75,2021-10-12 14:33:51.372000
reasoningPerformance,57,2021-10-12 14:33:51.421000
reasoningPerformance,72,2021-10-12 14:33:51.496000
reasoningPerformance,74,2021-10-12 14:33:51.570000
reasoningPerformance,55,2021-10-12 14:33:51.629000
reasoningPerformance,64,2021-10-12 14:33:51.695000
reasoningPerformance,83,2021-10-12 14:33:51.787000
reasoningPerformance,58,2021-10-12 14:33:51.838000
reasoningPerformance,73,2021-10-12 14:33:51.911000
reasoningPerformance,65,2021-10-12 14:33:51.983000
reasoningPerformance,66,2021-10-12 14:33:52.044000
reasoningPerformance,77,2021-10-12 14:33:52.123000
reasoningPerformance,59,2021-10-12 14:33:52.184000
reasoningPerformance,58,2021-10-12 14:33:52.244000
