Topic,Data,TimeStamp
actions,steering(-0.001417692959654425),2021-10-12 14:36:32.294000
actions,setSpeed(8),2021-10-12 14:36:32.706000
actions,steering(0.004836643913537555),2021-10-12 14:36:33.017000
actions,steering(0.0026675285004418687),2021-10-12 14:36:33.700000
actions,steering(0.004808950407129271),2021-10-12 14:36:34.224000
actions,steering(0.6168028660801584),2021-10-12 14:36:34.729000
actions,steering(0.3145169920918385),2021-10-12 14:36:35.265000
actions,steering(0.04365546928586563),2021-10-12 14:36:35.862000
actions,steering(-0.05759959132019078),2021-10-12 14:36:36.336000
actions,steering(-0.029113744700686804),2021-10-12 14:36:36.832000
actions,steering(-0.19804701261183322),2021-10-12 14:36:37.369000
actions,steering(-0.19123984113581008),2021-10-12 14:36:38.067000
actions,steering(0.0020750563649344473),2021-10-12 14:36:38.563000
actions,steering(0.17978404051475738),2021-10-12 14:36:39.028000
actions,steering(0.03377431300063989),2021-10-12 14:36:39.459000
actions,steering(-0.04553560545882587),2021-10-12 14:36:39.864000
actions,steering(-0.1475258669626164),2021-10-12 14:36:40.319000
actions,steering(-0.07762271364707705),2021-10-12 14:36:40.702000
actions,steering(0.027206663669739825),2021-10-12 14:36:41.126000
actions,steering(0.06668737379315595),2021-10-12 14:36:41.604000
actions,steering(-0.026579582160120588),2021-10-12 14:36:42.097000
actions,steering(-0.051170377126452594),2021-10-12 14:36:42.627000
actions,steering(0.00431609208123678),2021-10-12 14:36:43.190000
actions,steering(0.35244846648810996),2021-10-12 14:36:43.752000
actions,steering(-0.06723152913806961),2021-10-12 14:36:44.139000
actions,steering(-0.020067506659285576),2021-10-12 14:36:44.576000
actions,steering(-0.03262952822871296),2021-10-12 14:36:45.420000
actions,steering(-0.00411563960919825),2021-10-12 14:36:45.673000
actions,steering(-0.0017123922835277456),2021-10-12 14:36:46.002000
actions,steering(0.2182493077650689),2021-10-12 14:36:46.422000
actions,steering(0.05997498965591714),2021-10-12 14:36:46.835000
actions,steering(-0.06813081296628139),2021-10-12 14:36:47.251000
actions,steering(-0.06298131504201572),2021-10-12 14:36:47.660000
actions,steering(-0.006901408363615828),2021-10-12 14:36:48.098000
