Topic,Data,TimeStamp
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-8.68159404358) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.4079313278)",2021-10-12 14:36:24.812000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-7.41560646929) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.5323448181)",2021-10-12 14:36:24.885000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-6.25337690117) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.5323448181)",2021-10-12 14:36:24.950000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-8.37485025339) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.7004356384)",2021-10-12 14:36:25.024000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-7.27327952391) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.7004356384)",2021-10-12 14:36:25.101000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-7.80688880837) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0001621246)",2021-10-12 14:36:25.178000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-8.05658974747) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1594934464)",2021-10-12 14:36:25.265000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-6.58670028937) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4252481461)",2021-10-12 14:36:25.328000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-8.30565529865) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4252481461)",2021-10-12 14:36:25.401000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-6.87114541492) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.5795192719)",2021-10-12 14:36:25.471000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-7.70635106078) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9640684128)",2021-10-12 14:36:25.559000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-9.30855973345) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9640684128)",2021-10-12 14:36:25.637000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-7.8787536458) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.7924909592)",2021-10-12 14:36:25.709000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-6.37339549509) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1078062057)",2021-10-12 14:36:25.775000
perceptions,"gps(47.641482371330724, -122.1403649908643) compass(-9.2989797591) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1078062057)",2021-10-12 14:36:25.847000
