Topic,Data,TimeStamp
reasoningPerformance,89,2021-10-12 14:36:24.828000
reasoningPerformance,63,2021-10-12 14:36:24.899000
reasoningPerformance,74,2021-10-12 14:36:24.965000
reasoningPerformance,67,2021-10-12 14:36:25.039000
reasoningPerformance,83,2021-10-12 14:36:25.120000
reasoningPerformance,74,2021-10-12 14:36:25.193000
reasoningPerformance,79,2021-10-12 14:36:25.271000
reasoningPerformance,62,2021-10-12 14:36:25.334000
reasoningPerformance,74,2021-10-12 14:36:25.409000
reasoningPerformance,74,2021-10-12 14:36:25.483000
reasoningPerformance,90,2021-10-12 14:36:25.573000
reasoningPerformance,74,2021-10-12 14:36:25.649000
reasoningPerformance,82,2021-10-12 14:36:25.739000
reasoningPerformance,45,2021-10-12 14:36:25.779000
reasoningPerformance,73,2021-10-12 14:36:25.853000
reasoningPerformance,88,2021-10-12 14:36:25.942000
reasoningPerformance,70,2021-10-12 14:36:26.015000
reasoningPerformance,68,2021-10-12 14:36:26.088000
reasoningPerformance,72,2021-10-12 14:36:26.155000
reasoningPerformance,66,2021-10-12 14:36:26.228000
reasoningPerformance,70,2021-10-12 14:36:26.293000
reasoningPerformance,61,2021-10-12 14:36:26.355000
reasoningPerformance,75,2021-10-12 14:36:26.430000
reasoningPerformance,72,2021-10-12 14:36:26.504000
reasoningPerformance,66,2021-10-12 14:36:26.570000
reasoningPerformance,60,2021-10-12 14:36:26.642000
reasoningPerformance,67,2021-10-12 14:36:26.703000
reasoningPerformance,72,2021-10-12 14:36:26.781000
reasoningPerformance,52,2021-10-12 14:36:26.834000
reasoningPerformance,71,2021-10-12 14:36:26.911000
reasoningPerformance,57,2021-10-12 14:36:26.969000
reasoningPerformance,71,2021-10-12 14:36:27.040000
reasoningPerformance,91,2021-10-12 14:36:27.145000
reasoningPerformance,60,2021-10-12 14:36:27.215000
reasoningPerformance,63,2021-10-12 14:36:27.286000
reasoningPerformance,54,2021-10-12 14:36:27.345000
reasoningPerformance,64,2021-10-12 14:36:27.413000
reasoningPerformance,58,2021-10-12 14:36:27.485000
reasoningPerformance,76,2021-10-12 14:36:27.568000
reasoningPerformance,55,2021-10-12 14:36:27.625000
reasoningPerformance,56,2021-10-12 14:36:27.682000
reasoningPerformance,61,2021-10-12 14:36:27.758000
reasoningPerformance,68,2021-10-12 14:36:27.829000
reasoningPerformance,63,2021-10-12 14:36:27.896000
reasoningPerformance,74,2021-10-12 14:36:27.984000
reasoningPerformance,55,2021-10-12 14:36:28.034000
reasoningPerformance,71,2021-10-12 14:36:28.109000
reasoningPerformance,69,2021-10-12 14:36:28.183000
reasoningPerformance,55,2021-10-12 14:36:28.236000
reasoningPerformance,85,2021-10-12 14:36:28.324000
reasoningPerformance,52,2021-10-12 14:36:28.381000
reasoningPerformance,67,2021-10-12 14:36:28.448000
reasoningPerformance,63,2021-10-12 14:36:28.511000
reasoningPerformance,67,2021-10-12 14:36:28.583000
reasoningPerformance,69,2021-10-12 14:36:28.657000
reasoningPerformance,67,2021-10-12 14:36:28.722000
reasoningPerformance,65,2021-10-12 14:36:28.793000
reasoningPerformance,73,2021-10-12 14:36:28.861000
reasoningPerformance,68,2021-10-12 14:36:28.933000
reasoningPerformance,69,2021-10-12 14:36:29.009000
reasoningPerformance,55,2021-10-12 14:36:29.068000
reasoningPerformance,63,2021-10-12 14:36:29.130000
reasoningPerformance,75,2021-10-12 14:36:29.209000
reasoningPerformance,55,2021-10-12 14:36:29.265000
reasoningPerformance,70,2021-10-12 14:36:29.334000
reasoningPerformance,72,2021-10-12 14:36:29.406000
reasoningPerformance,66,2021-10-12 14:36:29.473000
reasoningPerformance,66,2021-10-12 14:36:29.539000
reasoningPerformance,70,2021-10-12 14:36:29.609000
reasoningPerformance,74,2021-10-12 14:36:29.683000
reasoningPerformance,67,2021-10-12 14:36:29.755000
reasoningPerformance,68,2021-10-12 14:36:29.819000
reasoningPerformance,65,2021-10-12 14:36:29.885000
reasoningPerformance,63,2021-10-12 14:36:29.952000
reasoningPerformance,70,2021-10-12 14:36:30.024000
reasoningPerformance,68,2021-10-12 14:36:30.095000
reasoningPerformance,67,2021-10-12 14:36:30.167000
reasoningPerformance,53,2021-10-12 14:36:30.221000
reasoningPerformance,73,2021-10-12 14:36:30.295000
reasoningPerformance,62,2021-10-12 14:36:30.358000
reasoningPerformance,72,2021-10-12 14:36:30.431000
reasoningPerformance,66,2021-10-12 14:36:30.509000
reasoningPerformance,50,2021-10-12 14:36:30.562000
reasoningPerformance,75,2021-10-12 14:36:30.644000
reasoningPerformance,64,2021-10-12 14:36:30.698000
reasoningPerformance,72,2021-10-12 14:36:30.771000
reasoningPerformance,73,2021-10-12 14:36:30.843000
reasoningPerformance,65,2021-10-12 14:36:30.908000
reasoningPerformance,61,2021-10-12 14:36:30.969000
reasoningPerformance,72,2021-10-12 14:36:31.043000
reasoningPerformance,70,2021-10-12 14:36:31.115000
reasoningPerformance,67,2021-10-12 14:36:31.184000
reasoningPerformance,61,2021-10-12 14:36:31.251000
reasoningPerformance,70,2021-10-12 14:36:31.316000
reasoningPerformance,65,2021-10-12 14:36:31.382000
reasoningPerformance,60,2021-10-12 14:36:31.442000
reasoningPerformance,76,2021-10-12 14:36:31.520000
reasoningPerformance,73,2021-10-12 14:36:31.594000
reasoningPerformance,59,2021-10-12 14:36:31.653000
reasoningPerformance,75,2021-10-12 14:36:31.729000
reasoningPerformance,63,2021-10-12 14:36:31.792000
reasoningPerformance,66,2021-10-12 14:36:31.863000
reasoningPerformance,77,2021-10-12 14:36:31.943000
reasoningPerformance,48,2021-10-12 14:36:31.993000
reasoningPerformance,83,2021-10-12 14:36:32.076000
reasoningPerformance,71,2021-10-12 14:36:32.148000
reasoningPerformance,66,2021-10-12 14:36:32.215000
reasoningPerformance,73,2021-10-12 14:36:32.293000
reasoningPerformance,66,2021-10-12 14:36:32.357000
reasoningPerformance,63,2021-10-12 14:36:32.421000
reasoningPerformance,76,2021-10-12 14:36:32.499000
reasoningPerformance,72,2021-10-12 14:36:32.572000
reasoningPerformance,68,2021-10-12 14:36:32.648000
reasoningPerformance,57,2021-10-12 14:36:32.706000
reasoningPerformance,73,2021-10-12 14:36:32.775000
reasoningPerformance,77,2021-10-12 14:36:32.857000
reasoningPerformance,51,2021-10-12 14:36:32.922000
reasoningPerformance,82,2021-10-12 14:36:33.017000
reasoningPerformance,110,2021-10-12 14:36:33.183000
reasoningPerformance,21,2021-10-12 14:36:33.218000
reasoningPerformance,90,2021-10-12 14:36:33.408000
reasoningPerformance,66,2021-10-12 14:36:33.481000
reasoningPerformance,110,2021-10-12 14:36:33.585000
reasoningPerformance,36,2021-10-12 14:36:33.652000
reasoningPerformance,62,2021-10-12 14:36:33.700000
reasoningPerformance,18,2021-10-12 14:36:33.748000
reasoningPerformance,71,2021-10-12 14:36:33.891000
reasoningPerformance,34,2021-10-12 14:36:33.928000
reasoningPerformance,121,2021-10-12 14:36:34.044000
reasoningPerformance,40,2021-10-12 14:36:34.104000
reasoningPerformance,26,2021-10-12 14:36:34.134000
reasoningPerformance,91,2021-10-12 14:36:34.226000
reasoningPerformance,74,2021-10-12 14:36:34.304000
reasoningPerformance,89,2021-10-12 14:36:34.398000
reasoningPerformance,54,2021-10-12 14:36:34.454000
reasoningPerformance,76,2021-10-12 14:36:34.534000
reasoningPerformance,74,2021-10-12 14:36:34.617000
reasoningPerformance,58,2021-10-12 14:36:34.684000
reasoningPerformance,36,2021-10-12 14:36:34.733000
reasoningPerformance,65,2021-10-12 14:36:34.821000
reasoningPerformance,78,2021-10-12 14:36:34.912000
reasoningPerformance,34,2021-10-12 14:36:34.944000
reasoningPerformance,103,2021-10-12 14:36:35.053000
reasoningPerformance,88,2021-10-12 14:36:35.141000
reasoningPerformance,30,2021-10-12 14:36:35.172000
reasoningPerformance,95,2021-10-12 14:36:35.267000
reasoningPerformance,68,2021-10-12 14:36:35.353000
reasoningPerformance,59,2021-10-12 14:36:35.417000
reasoningPerformance,74,2021-10-12 14:36:35.500000
reasoningPerformance,85,2021-10-12 14:36:35.587000
reasoningPerformance,104,2021-10-12 14:36:35.715000
reasoningPerformance,89,2021-10-12 14:36:35.831000
reasoningPerformance,24,2021-10-12 14:36:35.874000
reasoningPerformance,31,2021-10-12 14:36:35.904000
reasoningPerformance,35,2021-10-12 14:36:35.948000
reasoningPerformance,51,2021-10-12 14:36:35.999000
reasoningPerformance,87,2021-10-12 14:36:36.119000
reasoningPerformance,62,2021-10-12 14:36:36.181000
reasoningPerformance,65,2021-10-12 14:36:36.253000
reasoningPerformance,68,2021-10-12 14:36:36.330000
reasoningPerformance,78,2021-10-12 14:36:36.412000
reasoningPerformance,65,2021-10-12 14:36:36.474000
reasoningPerformance,68,2021-10-12 14:36:36.548000
reasoningPerformance,69,2021-10-12 14:36:36.627000
reasoningPerformance,67,2021-10-12 14:36:36.700000
reasoningPerformance,56,2021-10-12 14:36:36.757000
reasoningPerformance,73,2021-10-12 14:36:36.834000
reasoningPerformance,73,2021-10-12 14:36:36.915000
reasoningPerformance,73,2021-10-12 14:36:37.004000
reasoningPerformance,77,2021-10-12 14:36:37.080000
reasoningPerformance,56,2021-10-12 14:36:37.144000
reasoningPerformance,93,2021-10-12 14:36:37.240000
reasoningPerformance,43,2021-10-12 14:36:37.298000
reasoningPerformance,63,2021-10-12 14:36:37.364000
reasoningPerformance,80,2021-10-12 14:36:37.456000
reasoningPerformance,67,2021-10-12 14:36:37.553000
reasoningPerformance,46,2021-10-12 14:36:37.596000
reasoningPerformance,62,2021-10-12 14:36:37.664000
reasoningPerformance,98,2021-10-12 14:36:37.768000
reasoningPerformance,102,2021-10-12 14:36:37.902000
reasoningPerformance,101,2021-10-12 14:36:38.067000
reasoningPerformance,49,2021-10-12 14:36:38.161000
reasoningPerformance,64,2021-10-12 14:36:38.244000
reasoningPerformance,28,2021-10-12 14:36:38.273000
reasoningPerformance,30,2021-10-12 14:36:38.346000
reasoningPerformance,74,2021-10-12 14:36:38.422000
reasoningPerformance,20,2021-10-12 14:36:38.446000
reasoningPerformance,100,2021-10-12 14:36:38.563000
reasoningPerformance,42,2021-10-12 14:36:38.638000
reasoningPerformance,49,2021-10-12 14:36:38.677000
reasoningPerformance,61,2021-10-12 14:36:38.761000
