Topic,Data,TimeStamp
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.8777622231) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0997214317)",2021-10-12 14:38:32.631000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-8.57176923832) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0993766785)",2021-10-12 14:38:32.704000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-8.16586553015) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0993766785)",2021-10-12 14:38:32.777000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.76116945973) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9702959061)",2021-10-12 14:38:32.842000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.80712620429) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.317864418)",2021-10-12 14:38:32.912000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-5.85534014883) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.317864418)",2021-10-12 14:38:32.979000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.5867525247) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.0070018768)",2021-10-12 14:38:33.042000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-8.01066249282) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.0070018768)",2021-10-12 14:38:33.113000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.39487827249) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7299556732)",2021-10-12 14:38:33.180000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-6.87138745739) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0282154083)",2021-10-12 14:38:33.252000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.70659073146) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0282154083)",2021-10-12 14:38:33.317000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-8.46669326567) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8974752426)",2021-10-12 14:38:33.387000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-5.60352758957) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8974752426)",2021-10-12 14:38:33.450000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-6.93059576891) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.6297092438)",2021-10-12 14:38:33.520000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-6.33804789844) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7260103226)",2021-10-12 14:38:33.592000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.02620347509) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7260103226)",2021-10-12 14:38:33.667000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-6.70623291186) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7183275223)",2021-10-12 14:38:33.728000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.12739094127) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7183275223)",2021-10-12 14:38:33.804000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.22455764049) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5040054321)",2021-10-12 14:38:33.877000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-8.40980512484) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.230884552)",2021-10-12 14:38:33.940000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-6.281643228) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.230884552)",2021-10-12 14:38:34.021000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.89660893362) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.722858429)",2021-10-12 14:38:34.081000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.28087895556) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.722858429)",2021-10-12 14:38:34.156000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.60590045332) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3568611145)",2021-10-12 14:38:34.218000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-8.4558501596) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.9248628616)",2021-10-12 14:38:34.296000
perceptions,"gps(47.64148237134032, -122.14036499083176) compass(-7.4792815572) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.9248628616)",2021-10-12 14:38:34.361000
