Topic,Data,TimeStamp
actions,steering(0.006730304777588221),2021-10-12 15:14:08.650000
actions,setSpeed(8),2021-10-12 15:14:09.069000
actions,steering(0.003339212961442289),2021-10-12 15:14:09.358000
actions,steering(0.005205499571737161),2021-10-12 15:14:09.824000
actions,steering(0.007042578505357946),2021-10-12 15:14:10.315000
actions,steering(0.6144582340135725),2021-10-12 15:14:10.790000
actions,steering(0.1981611723217251),2021-10-12 15:14:11.297000
actions,steering(-0.1997239057157404),2021-10-12 15:14:11.806000
actions,steering(-0.19118359748739783),2021-10-12 15:14:12.296000
actions,steering(-0.3338329726598391),2021-10-12 15:14:12.795000
actions,steering(-0.12703699400257298),2021-10-12 15:14:13.270000
actions,steering(0.15580998905604998),2021-10-12 15:14:13.760000
actions,steering(0.0911923974259187),2021-10-12 15:14:14.202000
actions,steering(0.003232700593152165),2021-10-12 15:14:14.644000
actions,steering(0.01222791335578239),2021-10-12 15:14:15.080000
actions,steering(-0.10123674381177081),2021-10-12 15:14:15.476000
actions,steering(-0.03820482664089946),2021-10-12 15:14:15.884000
actions,steering(0.07994628423082768),2021-10-12 15:14:16.291000
actions,steering(0.03454851599159328),2021-10-12 15:14:16.700000
actions,steering(-0.004494616035991071),2021-10-12 15:14:17.043000
actions,steering(-0.019787155402482836),2021-10-12 15:14:17.417000
actions,steering(-0.055508274290465315),2021-10-12 15:14:17.778000
actions,setSpeed(0),2021-10-12 15:14:18.276000
