Topic,Data,TimeStamp
reasoningPerformance,67,2021-10-12 15:14:00.597000
reasoningPerformance,70,2021-10-12 15:14:00.673000
reasoningPerformance,58,2021-10-12 15:14:00.731000
reasoningPerformance,73,2021-10-12 15:14:00.805000
reasoningPerformance,65,2021-10-12 15:14:00.870000
reasoningPerformance,72,2021-10-12 15:14:00.946000
reasoningPerformance,65,2021-10-12 15:14:01.017000
reasoningPerformance,70,2021-10-12 15:14:01.083000
reasoningPerformance,75,2021-10-12 15:14:01.162000
reasoningPerformance,52,2021-10-12 15:14:01.223000
reasoningPerformance,73,2021-10-12 15:14:01.297000
reasoningPerformance,80,2021-10-12 15:14:01.377000
reasoningPerformance,56,2021-10-12 15:14:01.438000
reasoningPerformance,63,2021-10-12 15:14:01.502000
reasoningPerformance,63,2021-10-12 15:14:01.565000
reasoningPerformance,60,2021-10-12 15:14:01.625000
reasoningPerformance,76,2021-10-12 15:14:01.708000
reasoningPerformance,67,2021-10-12 15:14:01.772000
reasoningPerformance,62,2021-10-12 15:14:01.834000
reasoningPerformance,66,2021-10-12 15:14:01.901000
reasoningPerformance,59,2021-10-12 15:14:01.961000
reasoningPerformance,73,2021-10-12 15:14:02.035000
reasoningPerformance,73,2021-10-12 15:14:02.109000
reasoningPerformance,61,2021-10-12 15:14:02.171000
reasoningPerformance,69,2021-10-12 15:14:02.243000
reasoningPerformance,54,2021-10-12 15:14:02.302000
reasoningPerformance,73,2021-10-12 15:14:02.371000
reasoningPerformance,71,2021-10-12 15:14:02.444000
reasoningPerformance,64,2021-10-12 15:14:02.507000
reasoningPerformance,65,2021-10-12 15:14:02.582000
reasoningPerformance,81,2021-10-12 15:14:02.659000
reasoningPerformance,47,2021-10-12 15:14:02.707000
reasoningPerformance,83,2021-10-12 15:14:02.793000
reasoningPerformance,52,2021-10-12 15:14:02.845000
reasoningPerformance,61,2021-10-12 15:14:02.906000
reasoningPerformance,76,2021-10-12 15:14:02.983000
reasoningPerformance,67,2021-10-12 15:14:03.052000
reasoningPerformance,63,2021-10-12 15:14:03.117000
reasoningPerformance,66,2021-10-12 15:14:03.193000
reasoningPerformance,55,2021-10-12 15:14:03.244000
reasoningPerformance,82,2021-10-12 15:14:03.333000
reasoningPerformance,64,2021-10-12 15:14:03.396000
reasoningPerformance,70,2021-10-12 15:14:03.469000
reasoningPerformance,65,2021-10-12 15:14:03.533000
reasoningPerformance,63,2021-10-12 15:14:03.596000
reasoningPerformance,72,2021-10-12 15:14:03.670000
reasoningPerformance,66,2021-10-12 15:14:03.744000
reasoningPerformance,58,2021-10-12 15:14:03.805000
reasoningPerformance,66,2021-10-12 15:14:03.870000
reasoningPerformance,66,2021-10-12 15:14:03.945000
reasoningPerformance,73,2021-10-12 15:14:04.018000
reasoningPerformance,65,2021-10-12 15:14:04.084000
reasoningPerformance,65,2021-10-12 15:14:04.158000
reasoningPerformance,56,2021-10-12 15:14:04.215000
reasoningPerformance,70,2021-10-12 15:14:04.295000
reasoningPerformance,60,2021-10-12 15:14:04.357000
reasoningPerformance,64,2021-10-12 15:14:04.421000
reasoningPerformance,69,2021-10-12 15:14:04.493000
reasoningPerformance,65,2021-10-12 15:14:04.561000
reasoningPerformance,64,2021-10-12 15:14:04.628000
reasoningPerformance,66,2021-10-12 15:14:04.695000
reasoningPerformance,65,2021-10-12 15:14:04.769000
reasoningPerformance,62,2021-10-12 15:14:04.833000
reasoningPerformance,85,2021-10-12 15:14:04.932000
reasoningPerformance,61,2021-10-12 15:14:04.994000
reasoningPerformance,54,2021-10-12 15:14:05.068000
reasoningPerformance,56,2021-10-12 15:14:05.124000
reasoningPerformance,73,2021-10-12 15:14:05.213000
reasoningPerformance,51,2021-10-12 15:14:05.261000
reasoningPerformance,67,2021-10-12 15:14:05.334000
reasoningPerformance,64,2021-10-12 15:14:05.404000
reasoningPerformance,74,2021-10-12 15:14:05.473000
reasoningPerformance,73,2021-10-12 15:14:05.549000
reasoningPerformance,68,2021-10-12 15:14:05.616000
reasoningPerformance,71,2021-10-12 15:14:05.688000
reasoningPerformance,63,2021-10-12 15:14:05.751000
reasoningPerformance,66,2021-10-12 15:14:05.819000
reasoningPerformance,69,2021-10-12 15:14:05.897000
reasoningPerformance,71,2021-10-12 15:14:05.969000
reasoningPerformance,62,2021-10-12 15:14:06.033000
reasoningPerformance,82,2021-10-12 15:14:06.114000
reasoningPerformance,59,2021-10-12 15:14:06.175000
reasoningPerformance,56,2021-10-12 15:14:06.234000
reasoningPerformance,66,2021-10-12 15:14:06.301000
reasoningPerformance,68,2021-10-12 15:14:06.370000
reasoningPerformance,66,2021-10-12 15:14:06.437000
reasoningPerformance,64,2021-10-12 15:14:06.505000
reasoningPerformance,74,2021-10-12 15:14:06.582000
reasoningPerformance,57,2021-10-12 15:14:06.646000
reasoningPerformance,69,2021-10-12 15:14:06.715000
reasoningPerformance,67,2021-10-12 15:14:06.789000
reasoningPerformance,51,2021-10-12 15:14:06.842000
reasoningPerformance,80,2021-10-12 15:14:06.927000
reasoningPerformance,61,2021-10-12 15:14:06.989000
reasoningPerformance,70,2021-10-12 15:14:07.063000
reasoningPerformance,61,2021-10-12 15:14:07.124000
reasoningPerformance,65,2021-10-12 15:14:07.189000
reasoningPerformance,72,2021-10-12 15:14:07.264000
reasoningPerformance,66,2021-10-12 15:14:07.330000
reasoningPerformance,59,2021-10-12 15:14:07.390000
reasoningPerformance,64,2021-10-12 15:14:07.456000
reasoningPerformance,69,2021-10-12 15:14:07.524000
reasoningPerformance,63,2021-10-12 15:14:07.588000
reasoningPerformance,83,2021-10-12 15:14:07.673000
reasoningPerformance,50,2021-10-12 15:14:07.723000
reasoningPerformance,75,2021-10-12 15:14:07.798000
reasoningPerformance,75,2021-10-12 15:14:07.874000
reasoningPerformance,65,2021-10-12 15:14:07.940000
reasoningPerformance,73,2021-10-12 15:14:08.014000
reasoningPerformance,64,2021-10-12 15:14:08.081000
reasoningPerformance,72,2021-10-12 15:14:08.150000
reasoningPerformance,63,2021-10-12 15:14:08.216000
reasoningPerformance,73,2021-10-12 15:14:08.288000
reasoningPerformance,66,2021-10-12 15:14:08.356000
reasoningPerformance,75,2021-10-12 15:14:08.438000
reasoningPerformance,67,2021-10-12 15:14:08.505000
reasoningPerformance,75,2021-10-12 15:14:08.580000
reasoningPerformance,67,2021-10-12 15:14:08.651000
reasoningPerformance,64,2021-10-12 15:14:08.717000
reasoningPerformance,75,2021-10-12 15:14:08.792000
reasoningPerformance,65,2021-10-12 15:14:08.856000
reasoningPerformance,62,2021-10-12 15:14:08.920000
reasoningPerformance,74,2021-10-12 15:14:08.994000
reasoningPerformance,75,2021-10-12 15:14:09.070000
reasoningPerformance,66,2021-10-12 15:14:09.136000
