Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:16.429000
outbox,"<mid2,0,tell,BROADCAST,compassSteer(steering((-0.001228410225683987)),bearing(0.35409197062688236))>",2021-10-12 15:16:16.628000
outbox,"<mid3,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-12 15:16:16.778000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:17.134000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.0018398461975708516)),bearing(0.3540902995672468))>",2021-10-12 15:16:17.336000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:17.475000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:17.620000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.01882668135548398),bearing(0.3540914081871165))>",2021-10-12 15:16:17.827000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:17.959000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:18.108000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.005201191955146584),bearing(0.3544758288663843))>",2021-10-12 15:16:18.301000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:18.448000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:18.617000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.593760450076744),bearing(0.3528876125143938))>",2021-10-12 15:16:18.800000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:18.934000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:19.091000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.23379193422541664),bearing(0.35131681395387204))>",2021-10-12 15:16:19.303000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:19.443000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:19.581000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering((-0.05472399698219082)),bearing(0.1966619257665343))>",2021-10-12 15:16:19.793000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:19.931000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:20.098000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.32449409952944336)),bearing((-0.068130949372744)))>",2021-10-12 15:16:20.285000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:20.421000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:20.560000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.2884279763932547)),bearing((-0.355129205253661)))>",2021-10-12 15:16:20.774000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:20.900000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:21.053000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.20149040060858645)),bearing((-0.56024044345736)))>",2021-10-12 15:16:21.247000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 15:16:21.382000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 15:16:21.536000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.05848422765270581),bearing((-0.5909285891678451)))>",2021-10-12 15:16:21.721000
