Topic,Data,TimeStamp
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.87789550181) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(71.5204668045)",2021-10-12 15:16:08.667000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.29497057273) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(71.5204668045)",2021-10-12 15:16:08.739000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.27365631338) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(56.9837293625)",2021-10-12 15:16:08.807000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.7613051165) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(57.9707155228)",2021-10-12 15:16:08.877000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-8.05696747514) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(57.9707155228)",2021-10-12 15:16:08.954000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.02633189812) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(60.6987705231)",2021-10-12 15:16:09.016000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-8.01079481014) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(59.1235227585)",2021-10-12 15:16:09.078000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.39501126196) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(59.1235227585)",2021-10-12 15:16:09.157000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.35185898173) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(48.6034560204)",2021-10-12 15:16:09.218000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-6.67783771169) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(48.6034560204)",2021-10-12 15:16:09.289000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.70672537012) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(72.4610738754)",2021-10-12 15:16:09.351000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-9.308923304) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(72.4610738754)",2021-10-12 15:16:09.423000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-6.33407487785) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(57.3433847427)",2021-10-12 15:16:09.490000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-9.38028490828) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(33.3465056419)",2021-10-12 15:16:09.552000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-7.38443266012) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(33.3465056419)",2021-10-12 15:16:09.624000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-8.60533005488) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(59.564907074)",2021-10-12 15:16:09.687000
perceptions,"gps(47.64148237137732, -122.14036499118981) compass(-6.08023058265) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(56.7642002106)",2021-10-12 15:16:09.763000
