Topic,Data,TimeStamp
actions,steering(-4.491504006547902E-6),2021-10-13 10:04:50.873000
actions,setSpeed(8),2021-10-13 10:04:51.289000
actions,steering(0.0072831407262724255),2021-10-13 10:04:51.588000
actions,steering(0.0038690201069952086),2021-10-13 10:04:52.090000
actions,steering(0.007488147227743743),2021-10-13 10:04:52.589000
actions,steering(0.6082321645135079),2021-10-13 10:04:53.093000
actions,steering(0.1906701121838047),2021-10-13 10:04:53.593000
actions,steering(-0.1927140938576135),2021-10-13 10:04:54.111000
actions,steering(-0.3908566772837134),2021-10-13 10:04:54.633000
actions,steering(-0.19345492564761058),2021-10-13 10:04:55.112000
actions,steering(0.08160735459487485),2021-10-13 10:04:55.597000
actions,steering(0.06105234128649561),2021-10-13 10:04:56.087000
actions,steering(-0.0529445997266487),2021-10-13 10:04:56.541000
actions,steering(0.017472382420896018),2021-10-13 10:04:56.986000
actions,steering(0.045551236905510946),2021-10-13 10:04:57.380000
actions,steering(0.0432196203975388),2021-10-13 10:04:57.791000
actions,steering(-0.04229524155969357),2021-10-13 10:04:58.191000
actions,steering(-0.0535214210098687),2021-10-13 10:04:58.603000
actions,steering(-0.02850351926253344),2021-10-13 10:04:58.984000
actions,steering(0.02146166427869933),2021-10-13 10:04:59.322000
actions,steering(-0.003103784876028553),2021-10-13 10:04:59.733000
actions,setSpeed(0),2021-10-13 10:05:00.398000
