Topic,Data,TimeStamp
reasoningPerformance,85,2021-10-13 10:04:44.701000
reasoningPerformance,63,2021-10-13 10:04:44.763000
reasoningPerformance,75,2021-10-13 10:04:44.839000
reasoningPerformance,74,2021-10-13 10:04:44.913000
reasoningPerformance,65,2021-10-13 10:04:44.982000
reasoningPerformance,86,2021-10-13 10:04:45.065000
reasoningPerformance,62,2021-10-13 10:04:45.127000
reasoningPerformance,72,2021-10-13 10:04:45.204000
reasoningPerformance,80,2021-10-13 10:04:45.293000
reasoningPerformance,77,2021-10-13 10:04:45.377000
reasoningPerformance,52,2021-10-13 10:04:45.449000
reasoningPerformance,76,2021-10-13 10:04:45.529000
reasoningPerformance,63,2021-10-13 10:04:45.600000
reasoningPerformance,65,2021-10-13 10:04:45.675000
reasoningPerformance,55,2021-10-13 10:04:45.739000
reasoningPerformance,78,2021-10-13 10:04:45.819000
reasoningPerformance,58,2021-10-13 10:04:45.893000
reasoningPerformance,59,2021-10-13 10:04:45.950000
reasoningPerformance,62,2021-10-13 10:04:46.016000
reasoningPerformance,79,2021-10-13 10:04:46.103000
reasoningPerformance,72,2021-10-13 10:04:46.171000
reasoningPerformance,74,2021-10-13 10:04:46.245000
reasoningPerformance,78,2021-10-13 10:04:46.323000
reasoningPerformance,79,2021-10-13 10:04:46.406000
reasoningPerformance,62,2021-10-13 10:04:46.471000
reasoningPerformance,66,2021-10-13 10:04:46.546000
reasoningPerformance,69,2021-10-13 10:04:46.619000
reasoningPerformance,75,2021-10-13 10:04:46.703000
reasoningPerformance,67,2021-10-13 10:04:46.770000
reasoningPerformance,60,2021-10-13 10:04:46.828000
reasoningPerformance,71,2021-10-13 10:04:46.896000
reasoningPerformance,65,2021-10-13 10:04:46.970000
reasoningPerformance,58,2021-10-13 10:04:47.029000
reasoningPerformance,68,2021-10-13 10:04:47.097000
reasoningPerformance,69,2021-10-13 10:04:47.169000
reasoningPerformance,79,2021-10-13 10:04:47.263000
reasoningPerformance,72,2021-10-13 10:04:47.325000
reasoningPerformance,73,2021-10-13 10:04:47.400000
reasoningPerformance,63,2021-10-13 10:04:47.462000
reasoningPerformance,74,2021-10-13 10:04:47.536000
reasoningPerformance,75,2021-10-13 10:04:47.613000
reasoningPerformance,66,2021-10-13 10:04:47.687000
reasoningPerformance,75,2021-10-13 10:04:47.765000
reasoningPerformance,81,2021-10-13 10:04:47.841000
reasoningPerformance,64,2021-10-13 10:04:47.904000
reasoningPerformance,63,2021-10-13 10:04:47.968000
reasoningPerformance,72,2021-10-13 10:04:48.040000
reasoningPerformance,65,2021-10-13 10:04:48.106000
reasoningPerformance,77,2021-10-13 10:04:48.184000
reasoningPerformance,60,2021-10-13 10:04:48.252000
reasoningPerformance,69,2021-10-13 10:04:48.320000
reasoningPerformance,73,2021-10-13 10:04:48.393000
reasoningPerformance,76,2021-10-13 10:04:48.470000
reasoningPerformance,63,2021-10-13 10:04:48.539000
reasoningPerformance,75,2021-10-13 10:04:48.616000
reasoningPerformance,61,2021-10-13 10:04:48.678000
reasoningPerformance,68,2021-10-13 10:04:48.747000
reasoningPerformance,62,2021-10-13 10:04:48.814000
reasoningPerformance,76,2021-10-13 10:04:48.892000
reasoningPerformance,69,2021-10-13 10:04:48.957000
reasoningPerformance,74,2021-10-13 10:04:49.031000
reasoningPerformance,65,2021-10-13 10:04:49.096000
reasoningPerformance,62,2021-10-13 10:04:49.158000
reasoningPerformance,76,2021-10-13 10:04:49.240000
reasoningPerformance,72,2021-10-13 10:04:49.309000
reasoningPerformance,63,2021-10-13 10:04:49.377000
reasoningPerformance,70,2021-10-13 10:04:49.447000
reasoningPerformance,70,2021-10-13 10:04:49.519000
reasoningPerformance,74,2021-10-13 10:04:49.595000
reasoningPerformance,63,2021-10-13 10:04:49.659000
reasoningPerformance,72,2021-10-13 10:04:49.731000
reasoningPerformance,75,2021-10-13 10:04:49.807000
reasoningPerformance,62,2021-10-13 10:04:49.870000
reasoningPerformance,77,2021-10-13 10:04:49.948000
reasoningPerformance,62,2021-10-13 10:04:50.018000
reasoningPerformance,74,2021-10-13 10:04:50.086000
reasoningPerformance,74,2021-10-13 10:04:50.160000
reasoningPerformance,72,2021-10-13 10:04:50.234000
reasoningPerformance,74,2021-10-13 10:04:50.313000
reasoningPerformance,68,2021-10-13 10:04:50.378000
reasoningPerformance,65,2021-10-13 10:04:50.448000
reasoningPerformance,78,2021-10-13 10:04:50.525000
reasoningPerformance,58,2021-10-13 10:04:50.584000
reasoningPerformance,75,2021-10-13 10:04:50.661000
reasoningPerformance,81,2021-10-13 10:04:50.759000
reasoningPerformance,57,2021-10-13 10:04:50.801000
reasoningPerformance,68,2021-10-13 10:04:50.873000
reasoningPerformance,69,2021-10-13 10:04:50.942000
reasoningPerformance,69,2021-10-13 10:04:51.016000
reasoningPerformance,61,2021-10-13 10:04:51.078000
reasoningPerformance,77,2021-10-13 10:04:51.161000
reasoningPerformance,62,2021-10-13 10:04:51.224000
reasoningPerformance,65,2021-10-13 10:04:51.289000
reasoningPerformance,77,2021-10-13 10:04:51.371000
reasoningPerformance,71,2021-10-13 10:04:51.439000
reasoningPerformance,74,2021-10-13 10:04:51.516000
reasoningPerformance,73,2021-10-13 10:04:51.590000
reasoningPerformance,73,2021-10-13 10:04:51.666000
reasoningPerformance,56,2021-10-13 10:04:51.723000
reasoningPerformance,73,2021-10-13 10:04:51.802000
reasoningPerformance,61,2021-10-13 10:04:51.867000
reasoningPerformance,78,2021-10-13 10:04:51.944000
reasoningPerformance,75,2021-10-13 10:04:52.020000
reasoningPerformance,68,2021-10-13 10:04:52.093000
reasoningPerformance,66,2021-10-13 10:04:52.161000
reasoningPerformance,77,2021-10-13 10:04:52.246000
reasoningPerformance,51,2021-10-13 10:04:52.297000
reasoningPerformance,72,2021-10-13 10:04:52.371000
reasoningPerformance,77,2021-10-13 10:04:52.450000
reasoningPerformance,77,2021-10-13 10:04:52.538000
reasoningPerformance,51,2021-10-13 10:04:52.587000
reasoningPerformance,74,2021-10-13 10:04:52.662000
reasoningPerformance,63,2021-10-13 10:04:52.727000
reasoningPerformance,78,2021-10-13 10:04:52.810000
reasoningPerformance,70,2021-10-13 10:04:52.887000
reasoningPerformance,67,2021-10-13 10:04:52.954000
reasoningPerformance,69,2021-10-13 10:04:53.028000
reasoningPerformance,66,2021-10-13 10:04:53.093000
reasoningPerformance,71,2021-10-13 10:04:53.165000
reasoningPerformance,70,2021-10-13 10:04:53.240000
reasoningPerformance,69,2021-10-13 10:04:53.313000
reasoningPerformance,65,2021-10-13 10:04:53.381000
reasoningPerformance,74,2021-10-13 10:04:53.456000
reasoningPerformance,62,2021-10-13 10:04:53.518000
reasoningPerformance,76,2021-10-13 10:04:53.594000
reasoningPerformance,69,2021-10-13 10:04:53.669000
reasoningPerformance,75,2021-10-13 10:04:53.746000
reasoningPerformance,75,2021-10-13 10:04:53.823000
reasoningPerformance,68,2021-10-13 10:04:53.897000
reasoningPerformance,79,2021-10-13 10:04:53.975000
reasoningPerformance,66,2021-10-13 10:04:54.041000
reasoningPerformance,72,2021-10-13 10:04:54.112000
reasoningPerformance,77,2021-10-13 10:04:54.190000
reasoningPerformance,70,2021-10-13 10:04:54.263000
reasoningPerformance,75,2021-10-13 10:04:54.337000
reasoningPerformance,65,2021-10-13 10:04:54.406000
reasoningPerformance,78,2021-10-13 10:04:54.493000
reasoningPerformance,59,2021-10-13 10:04:54.555000
reasoningPerformance,76,2021-10-13 10:04:54.631000
reasoningPerformance,62,2021-10-13 10:04:54.693000
reasoningPerformance,71,2021-10-13 10:04:54.767000
reasoningPerformance,66,2021-10-13 10:04:54.833000
reasoningPerformance,70,2021-10-13 10:04:54.907000
reasoningPerformance,76,2021-10-13 10:04:54.984000
reasoningPerformance,57,2021-10-13 10:04:55.043000
reasoningPerformance,69,2021-10-13 10:04:55.116000
reasoningPerformance,53,2021-10-13 10:04:55.181000
reasoningPerformance,75,2021-10-13 10:04:55.260000
reasoningPerformance,62,2021-10-13 10:04:55.323000
reasoningPerformance,77,2021-10-13 10:04:55.401000
reasoningPerformance,59,2021-10-13 10:04:55.460000
reasoningPerformance,69,2021-10-13 10:04:55.533000
reasoningPerformance,65,2021-10-13 10:04:55.598000
reasoningPerformance,66,2021-10-13 10:04:55.676000
reasoningPerformance,61,2021-10-13 10:04:55.736000
reasoningPerformance,73,2021-10-13 10:04:55.809000
reasoningPerformance,66,2021-10-13 10:04:55.883000
reasoningPerformance,68,2021-10-13 10:04:55.961000
reasoningPerformance,55,2021-10-13 10:04:56.021000
reasoningPerformance,66,2021-10-13 10:04:56.090000
reasoningPerformance,57,2021-10-13 10:04:56.147000
reasoningPerformance,64,2021-10-13 10:04:56.220000
reasoningPerformance,67,2021-10-13 10:04:56.281000
reasoningPerformance,47,2021-10-13 10:04:56.330000
reasoningPerformance,78,2021-10-13 10:04:56.409000
reasoningPerformance,58,2021-10-13 10:04:56.468000
reasoningPerformance,73,2021-10-13 10:04:56.541000
reasoningPerformance,62,2021-10-13 10:04:56.612000
reasoningPerformance,64,2021-10-13 10:04:56.679000
reasoningPerformance,61,2021-10-13 10:04:56.740000
reasoningPerformance,43,2021-10-13 10:04:56.787000
reasoningPerformance,79,2021-10-13 10:04:56.866000
reasoningPerformance,47,2021-10-13 10:04:56.923000
reasoningPerformance,63,2021-10-13 10:04:56.988000
reasoningPerformance,58,2021-10-13 10:04:57.058000
reasoningPerformance,56,2021-10-13 10:04:57.121000
reasoningPerformance,58,2021-10-13 10:04:57.178000
reasoningPerformance,48,2021-10-13 10:04:57.229000
reasoningPerformance,44,2021-10-13 10:04:57.275000
reasoningPerformance,48,2021-10-13 10:04:57.325000
reasoningPerformance,47,2021-10-13 10:04:57.378000
reasoningPerformance,51,2021-10-13 10:04:57.429000
reasoningPerformance,59,2021-10-13 10:04:57.491000
reasoningPerformance,60,2021-10-13 10:04:57.552000
reasoningPerformance,59,2021-10-13 10:04:57.614000
reasoningPerformance,76,2021-10-13 10:04:57.701000
reasoningPerformance,55,2021-10-13 10:04:57.749000
reasoningPerformance,43,2021-10-13 10:04:57.792000
reasoningPerformance,53,2021-10-13 10:04:57.852000
reasoningPerformance,37,2021-10-13 10:04:57.891000
reasoningPerformance,54,2021-10-13 10:04:57.946000
reasoningPerformance,58,2021-10-13 10:04:58.007000
reasoningPerformance,67,2021-10-13 10:04:58.084000
reasoningPerformance,33,2021-10-13 10:04:58.127000
reasoningPerformance,63,2021-10-13 10:04:58.193000
reasoningPerformance,60,2021-10-13 10:04:58.255000
reasoningPerformance,55,2021-10-13 10:04:58.313000
reasoningPerformance,61,2021-10-13 10:04:58.376000
reasoningPerformance,61,2021-10-13 10:04:58.438000
reasoningPerformance,77,2021-10-13 10:04:58.521000
reasoningPerformance,28,2021-10-13 10:04:58.544000
reasoningPerformance,59,2021-10-13 10:04:58.603000
reasoningPerformance,40,2021-10-13 10:04:58.648000
reasoningPerformance,42,2021-10-13 10:04:58.693000
reasoningPerformance,60,2021-10-13 10:04:58.754000
reasoningPerformance,62,2021-10-13 10:04:58.817000
reasoningPerformance,48,2021-10-13 10:04:58.864000
reasoningPerformance,49,2021-10-13 10:04:58.913000
reasoningPerformance,71,2021-10-13 10:04:58.984000
reasoningPerformance,58,2021-10-13 10:04:59.050000
reasoningPerformance,36,2021-10-13 10:04:59.093000
reasoningPerformance,56,2021-10-13 10:04:59.152000
reasoningPerformance,31,2021-10-13 10:04:59.185000
reasoningPerformance,48,2021-10-13 10:04:59.240000
reasoningPerformance,29,2021-10-13 10:04:59.274000
reasoningPerformance,49,2021-10-13 10:04:59.322000
reasoningPerformance,57,2021-10-13 10:04:59.382000
reasoningPerformance,57,2021-10-13 10:04:59.441000
reasoningPerformance,52,2021-10-13 10:04:59.493000
reasoningPerformance,34,2021-10-13 10:04:59.551000
reasoningPerformance,68,2021-10-13 10:04:59.626000
reasoningPerformance,47,2021-10-13 10:04:59.674000
reasoningPerformance,59,2021-10-13 10:04:59.733000
reasoningPerformance,56,2021-10-13 10:04:59.793000
reasoningPerformance,59,2021-10-13 10:04:59.853000
reasoningPerformance,62,2021-10-13 10:04:59.916000
reasoningPerformance,71,2021-10-13 10:04:59.991000
