Topic,Data,TimeStamp
reasoningPerformance,80,2021-10-13 10:22:36.983000
reasoningPerformance,56,2021-10-13 10:22:37.028000
reasoningPerformance,90,2021-10-13 10:22:37.122000
reasoningPerformance,60,2021-10-13 10:22:37.206000
reasoningPerformance,90,2021-10-13 10:22:37.282000
reasoningPerformance,43,2021-10-13 10:22:37.320000
reasoningPerformance,70,2021-10-13 10:22:37.394000
reasoningPerformance,68,2021-10-13 10:22:37.467000
reasoningPerformance,88,2021-10-13 10:22:37.567000
reasoningPerformance,28,2021-10-13 10:22:37.601000
reasoningPerformance,78,2021-10-13 10:22:37.710000
reasoningPerformance,59,2021-10-13 10:22:37.772000
reasoningPerformance,40,2021-10-13 10:22:37.818000
reasoningPerformance,70,2021-10-13 10:22:37.893000
reasoningPerformance,68,2021-10-13 10:22:37.960000
reasoningPerformance,76,2021-10-13 10:22:38.042000
reasoningPerformance,80,2021-10-13 10:22:38.129000
reasoningPerformance,53,2021-10-13 10:22:38.202000
reasoningPerformance,75,2021-10-13 10:22:38.284000
reasoningPerformance,55,2021-10-13 10:22:38.357000
reasoningPerformance,59,2021-10-13 10:22:38.398000
reasoningPerformance,67,2021-10-13 10:22:38.475000
reasoningPerformance,64,2021-10-13 10:22:38.546000
reasoningPerformance,89,2021-10-13 10:22:38.635000
reasoningPerformance,73,2021-10-13 10:22:38.714000
reasoningPerformance,49,2021-10-13 10:22:38.784000
reasoningPerformance,84,2021-10-13 10:22:38.852000
reasoningPerformance,59,2021-10-13 10:22:38.911000
reasoningPerformance,91,2021-10-13 10:22:39.005000
reasoningPerformance,47,2021-10-13 10:22:39.054000
reasoningPerformance,104,2021-10-13 10:22:39.170000
reasoningPerformance,60,2021-10-13 10:22:39.243000
reasoningPerformance,21,2021-10-13 10:22:39.271000
reasoningPerformance,94,2021-10-13 10:22:39.378000
reasoningPerformance,40,2021-10-13 10:22:39.437000
reasoningPerformance,59,2021-10-13 10:22:39.501000
reasoningPerformance,47,2021-10-13 10:22:39.549000
reasoningPerformance,91,2021-10-13 10:22:39.643000
reasoningPerformance,62,2021-10-13 10:22:39.704000
reasoningPerformance,58,2021-10-13 10:22:39.763000
reasoningPerformance,90,2021-10-13 10:22:39.862000
reasoningPerformance,41,2021-10-13 10:22:39.912000
reasoningPerformance,70,2021-10-13 10:22:39.986000
reasoningPerformance,70,2021-10-13 10:22:40.073000
reasoningPerformance,72,2021-10-13 10:22:40.129000
reasoningPerformance,94,2021-10-13 10:22:40.230000
reasoningPerformance,80,2021-10-13 10:22:40.313000
reasoningPerformance,53,2021-10-13 10:22:40.372000
reasoningPerformance,95,2021-10-13 10:22:40.476000
reasoningPerformance,27,2021-10-13 10:22:40.506000
reasoningPerformance,105,2021-10-13 10:22:40.623000
reasoningPerformance,57,2021-10-13 10:22:40.680000
reasoningPerformance,56,2021-10-13 10:22:40.738000
reasoningPerformance,73,2021-10-13 10:22:40.814000
reasoningPerformance,81,2021-10-13 10:22:40.902000
reasoningPerformance,55,2021-10-13 10:22:40.964000
reasoningPerformance,78,2021-10-13 10:22:41.040000
reasoningPerformance,71,2021-10-13 10:22:41.138000
reasoningPerformance,67,2021-10-13 10:22:41.186000
reasoningPerformance,76,2021-10-13 10:22:41.270000
reasoningPerformance,90,2021-10-13 10:22:41.355000
reasoningPerformance,75,2021-10-13 10:22:41.430000
reasoningPerformance,81,2021-10-13 10:22:41.522000
reasoningPerformance,47,2021-10-13 10:22:41.569000
reasoningPerformance,77,2021-10-13 10:22:41.646000
reasoningPerformance,90,2021-10-13 10:22:41.738000
reasoningPerformance,49,2021-10-13 10:22:41.793000
reasoningPerformance,57,2021-10-13 10:22:41.851000
reasoningPerformance,77,2021-10-13 10:22:41.933000
reasoningPerformance,79,2021-10-13 10:22:42.018000
reasoningPerformance,101,2021-10-13 10:22:42.115000
reasoningPerformance,48,2021-10-13 10:22:42.162000
reasoningPerformance,91,2021-10-13 10:22:42.254000
reasoningPerformance,69,2021-10-13 10:22:42.327000
reasoningPerformance,51,2021-10-13 10:22:42.378000
reasoningPerformance,100,2021-10-13 10:22:42.482000
reasoningPerformance,47,2021-10-13 10:22:42.530000
reasoningPerformance,78,2021-10-13 10:22:42.608000
reasoningPerformance,95,2021-10-13 10:22:42.711000
reasoningPerformance,48,2021-10-13 10:22:42.756000
reasoningPerformance,74,2021-10-13 10:22:42.846000
reasoningPerformance,43,2021-10-13 10:22:42.895000
reasoningPerformance,67,2021-10-13 10:22:42.966000
reasoningPerformance,72,2021-10-13 10:22:43.034000
reasoningPerformance,74,2021-10-13 10:22:43.110000
reasoningPerformance,100,2021-10-13 10:22:43.224000
reasoningPerformance,49,2021-10-13 10:22:43.298000
reasoningPerformance,58,2021-10-13 10:22:43.381000
reasoningPerformance,15,2021-10-13 10:22:43.399000
reasoningPerformance,82,2021-10-13 10:22:43.487000
reasoningPerformance,40,2021-10-13 10:22:43.567000
reasoningPerformance,38,2021-10-13 10:22:43.605000
reasoningPerformance,104,2021-10-13 10:22:43.719000
reasoningPerformance,62,2021-10-13 10:22:43.789000
reasoningPerformance,69,2021-10-13 10:22:43.850000
reasoningPerformance,48,2021-10-13 10:22:43.900000
reasoningPerformance,73,2021-10-13 10:22:43.973000
reasoningPerformance,100,2021-10-13 10:22:44.075000
reasoningPerformance,54,2021-10-13 10:22:44.146000
reasoningPerformance,63,2021-10-13 10:22:44.208000
reasoningPerformance,64,2021-10-13 10:22:44.276000
reasoningPerformance,99,2021-10-13 10:22:44.381000
reasoningPerformance,49,2021-10-13 10:22:44.438000
reasoningPerformance,42,2021-10-13 10:22:44.483000
reasoningPerformance,107,2021-10-13 10:22:44.608000
reasoningPerformance,32,2021-10-13 10:22:44.656000
reasoningPerformance,75,2021-10-13 10:22:44.730000
reasoningPerformance,46,2021-10-13 10:22:44.787000
reasoningPerformance,75,2021-10-13 10:22:44.855000
reasoningPerformance,70,2021-10-13 10:22:44.928000
reasoningPerformance,73,2021-10-13 10:22:45.004000
reasoningPerformance,76,2021-10-13 10:22:45.081000
reasoningPerformance,86,2021-10-13 10:22:45.170000
reasoningPerformance,49,2021-10-13 10:22:45.245000
reasoningPerformance,66,2021-10-13 10:22:45.297000
reasoningPerformance,66,2021-10-13 10:22:45.379000
reasoningPerformance,72,2021-10-13 10:22:45.447000
reasoningPerformance,93,2021-10-13 10:22:45.551000
reasoningPerformance,20,2021-10-13 10:22:45.582000
reasoningPerformance,92,2021-10-13 10:22:45.677000
reasoningPerformance,60,2021-10-13 10:22:45.743000
reasoningPerformance,56,2021-10-13 10:22:45.804000
reasoningPerformance,70,2021-10-13 10:22:45.894000
reasoningPerformance,67,2021-10-13 10:22:45.944000
reasoningPerformance,77,2021-10-13 10:22:46.022000
reasoningPerformance,65,2021-10-13 10:22:46.118000
