Topic,Data,TimeStamp
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-7.99405082552) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.9116125107)",2021-10-13 16:33:04.735000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-7.11231355228) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(73.9496507645)",2021-10-13 16:33:04.802000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-8.43994723598) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(73.9496507645)",2021-10-13 16:33:04.868000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-6.3025554564) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3926830292)",2021-10-13 16:33:04.939000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-6.3025554564) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3926830292)",2021-10-13 16:33:05.009000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-7.87768374582) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.4190015793)",2021-10-13 16:33:05.074000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-8.57169050642) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.4190015793)",2021-10-13 16:33:05.151000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-8.16578573105) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.263584137)",2021-10-13 16:33:05.205000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-7.76108966449) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7633705139)",2021-10-13 16:33:05.282000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-6.66622782519) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.1756534576)",2021-10-13 16:33:05.341000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-8.05675148893) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.1756534576)",2021-10-13 16:33:05.423000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-7.58667281473) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.4528388977)",2021-10-13 16:33:05.481000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-8.0105844901) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.4528388977)",2021-10-13 16:33:05.557000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-7.35164946465) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.904759407)",2021-10-13 16:33:05.622000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-6.67762816119) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2296113968)",2021-10-13 16:33:05.694000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-8.5978493472) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2296113968)",2021-10-13 16:33:05.756000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-9.30871459686) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7482595444)",2021-10-13 16:33:05.823000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-5.60345003366) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7482595444)",2021-10-13 16:33:05.887000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-9.38007389975) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8029441833)",2021-10-13 16:33:05.957000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-6.37354911305) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.521194458)",2021-10-13 16:33:06.026000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-6.37354911305) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.521194458)",2021-10-13 16:33:06.090000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-9.29913634341) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.521194458)",2021-10-13 16:33:06.156000
perceptions,"gps(47.64148237133346, -122.14036499084803) compass(-6.02479348112) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.362528801)",2021-10-13 16:33:06.230000
