Topic,Data,TimeStamp
reasoningPerformance,0:00:00.008000,2021-10-13 16:34:57.502000
reasoningPerformance,0:00:00.008000,2021-10-13 16:34:57.566000
reasoningPerformance,0:00:00.005000,2021-10-13 16:34:57.632000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:57.690000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:57.754000
reasoningPerformance,0:00:00.010000,2021-10-13 16:34:57.826000
reasoningPerformance,0:00:00.006000,2021-10-13 16:34:57.889000
reasoningPerformance,0:00:00.005000,2021-10-13 16:34:57.949000
reasoningPerformance,0:00:00.006000,2021-10-13 16:34:58.014000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:58.075000
reasoningPerformance,0:00:00.009000,2021-10-13 16:34:58.146000
reasoningPerformance,0:00:00.013000,2021-10-13 16:34:58.228000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:58.271000
reasoningPerformance,0:00:00.003000,2021-10-13 16:34:58.334000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:58.409000
reasoningPerformance,0:00:00.005000,2021-10-13 16:34:58.469000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:58.532000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:58.594000
reasoningPerformance,0:00:00.009000,2021-10-13 16:34:58.664000
reasoningPerformance,0:00:00.003000,2021-10-13 16:34:58.726000
reasoningPerformance,0:00:00.005000,2021-10-13 16:34:58.795000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:58.857000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:58.919000
reasoningPerformance,0:00:00.003000,2021-10-13 16:34:58.994000
reasoningPerformance,0:00:00.005000,2021-10-13 16:34:59.058000
reasoningPerformance,0:00:00.010000,2021-10-13 16:34:59.125000
reasoningPerformance,0:00:00.032000,2021-10-13 16:34:59.266000
reasoningPerformance,0:00:00.005000,2021-10-13 16:34:59.300000
reasoningPerformance,0:00:00.005000,2021-10-13 16:34:59.335000
reasoningPerformance,0:00:00.013000,2021-10-13 16:34:59.419000
reasoningPerformance,0:00:00.017000,2021-10-13 16:34:59.487000
reasoningPerformance,0:00:00.006000,2021-10-13 16:34:59.548000
reasoningPerformance,0:00:00.012000,2021-10-13 16:34:59.619000
reasoningPerformance,0:00:00.011000,2021-10-13 16:34:59.695000
reasoningPerformance,0:00:00.004000,2021-10-13 16:34:59.745000
reasoningPerformance,0:00:00.010000,2021-10-13 16:34:59.817000
reasoningPerformance,0:00:00.003000,2021-10-13 16:34:59.885000
reasoningPerformance,0:00:00.016000,2021-10-13 16:34:59.962000
reasoningPerformance,0:00:00.009000,2021-10-13 16:35:00.035000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:00.088000
reasoningPerformance,0:00:00.008000,2021-10-13 16:35:00.156000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:00.226000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:00.297000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:00.348000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:00.427000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:00.489000
reasoningPerformance,0:00:00.011000,2021-10-13 16:35:00.571000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:00.633000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:00.685000
reasoningPerformance,0:00:00.010000,2021-10-13 16:35:00.757000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:00.825000
reasoningPerformance,0:00:00.008000,2021-10-13 16:35:00.890000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:00.957000
reasoningPerformance,0:00:00.009000,2021-10-13 16:35:01.030000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:01.082000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:01.144000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:01.205000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:01.264000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:01.327000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:01.394000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:01.452000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:01.509000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:01.569000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:01.631000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:01.691000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:01.754000
reasoningPerformance,0:00:00.002000,2021-10-13 16:35:01.816000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:01.877000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:01.936000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:01.995000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:02.059000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:02.120000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:02.182000
reasoningPerformance,0:00:00.009000,2021-10-13 16:35:02.251000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:02.307000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:02.366000
reasoningPerformance,0:00:00.011000,2021-10-13 16:35:02.424000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:02.490000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:02.548000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:02.605000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:02.661000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:02.721000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:02.788000
reasoningPerformance,0:00:00.010000,2021-10-13 16:35:02.839000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:02.876000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:02.932000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:02.993000
reasoningPerformance,0:00:00.012000,2021-10-13 16:35:03.041000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:03.096000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:03.148000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:03.197000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:03.256000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:03.316000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:03.372000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:03.424000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:03.469000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:03.527000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:03.576000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:03.639000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:03.696000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:03.731000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:03.786000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:03.823000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:03.864000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:03.904000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:03.960000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:04.033000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:04.076000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:04.128000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:04.192000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:04.241000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:04.294000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:04.330000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:04.391000
reasoningPerformance,0:00:00.010000,2021-10-13 16:35:04.445000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:04.480000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:04.542000
reasoningPerformance,0:00:00.009000,2021-10-13 16:35:04.594000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:04.631000
reasoningPerformance,0:00:00.015000,2021-10-13 16:35:04.692000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:04.737000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:04.795000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:04.848000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:04.908000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:04.958000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.013000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:05.047000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.091000
reasoningPerformance,0:00:00.008000,2021-10-13 16:35:05.145000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.195000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.245000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:05.292000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.337000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:05.393000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.444000
reasoningPerformance,0:00:00.013000,2021-10-13 16:35:05.486000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.521000
reasoningPerformance,0:00:00.008000,2021-10-13 16:35:05.572000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.624000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:05.677000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:05.732000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:05.780000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.813000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.857000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:05.904000
reasoningPerformance,0:00:00.009000,2021-10-13 16:35:05.942000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:05.996000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:06.041000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:06.105000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:06.149000
reasoningPerformance,0:00:00.009000,2021-10-13 16:35:06.206000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:06.256000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:06.308000
reasoningPerformance,0:00:00.009000,2021-10-13 16:35:06.360000
reasoningPerformance,0:00:00.005000,2021-10-13 16:35:06.410000
reasoningPerformance,0:00:00.011000,2021-10-13 16:35:06.469000
reasoningPerformance,0:00:00.003000,2021-10-13 16:35:06.515000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:06.577000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:06.623000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:06.672000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:06.730000
reasoningPerformance,0:00:00.007000,2021-10-13 16:35:06.784000
reasoningPerformance,0:00:00.004000,2021-10-13 16:35:06.841000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:06.896000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:06.947000
reasoningPerformance,0:00:00.010000,2021-10-13 16:35:07.002000
reasoningPerformance,0:00:00.006000,2021-10-13 16:35:07.049000
