Topic,Data,TimeStamp
outbox,"<mid0,0,tell,BROADCAST,mission(navigate,post2)>",2021-10-13 16:40:14.931000
outbox,"<mid1,0,tell,BROADCAST,navigate(post2)>",2021-10-13 16:40:14.932000
outbox,"<mid2,0,tell,BROADCAST,setSpeed(8)>",2021-10-13 16:40:14.960000
outbox,"<mid3,0,tell,BROADCAST,steering(0.006951498593364464)>",2021-10-13 16:40:15.024000
outbox,"<mid4,0,tell,BROADCAST,steering(-0.004860286242691095)>",2021-10-13 16:40:15.086000
outbox,"<mid5,0,tell,BROADCAST,steering(0.003939789571253354)>",2021-10-13 16:40:15.157000
outbox,"<mid6,0,tell,BROADCAST,steering(0.004025160135031129)>",2021-10-13 16:40:15.221000
outbox,"<mid7,0,tell,BROADCAST,steering(0.004300592950031128)>",2021-10-13 16:40:15.279000
outbox,"<mid8,0,tell,BROADCAST,steering(0.001863216509361209)>",2021-10-13 16:40:15.346000
outbox,"<mid9,0,tell,BROADCAST,steering(0.0018220656296649648)>",2021-10-13 16:40:15.416000
outbox,"<mid10,0,tell,BROADCAST,steering(0.009571284146942785)>",2021-10-13 16:40:15.476000
outbox,"<mid11,0,tell,BROADCAST,steering(-0.003713417630112814)>",2021-10-13 16:40:15.542000
outbox,"<mid12,0,tell,BROADCAST,steering(-0.0070380277447239245)>",2021-10-13 16:40:15.604000
outbox,"<mid13,0,tell,BROADCAST,steering(-0.0008773969018905407)>",2021-10-13 16:40:15.669000
outbox,"<mid14,0,tell,BROADCAST,steering(-0.006178321091031138)>",2021-10-13 16:40:15.737000
outbox,"<mid15,0,tell,BROADCAST,steering(-0.0029543228352533436)>",2021-10-13 16:40:15.801000
outbox,"<mid16,0,tell,BROADCAST,steering(-0.00680700918010937)>",2021-10-13 16:40:15.864000
outbox,"<mid17,0,tell,BROADCAST,steering(0.005236463645473889)>",2021-10-13 16:40:15.934000
outbox,"<mid18,0,tell,BROADCAST,steering(-0.007464060085526171)>",2021-10-13 16:40:15.999000
outbox,"<mid19,0,tell,BROADCAST,steering(0.011721837832243016)>",2021-10-13 16:40:16.060000
outbox,"<mid20,0,tell,BROADCAST,steering(0.002592854790223598)>",2021-10-13 16:40:16.125000
outbox,"<mid21,0,tell,BROADCAST,steering(-0.005150964514854868)>",2021-10-13 16:40:16.186000
outbox,"<mid22,0,tell,BROADCAST,steering(0.6181875)>",2021-10-13 16:40:16.259000
outbox,"<mid23,0,tell,BROADCAST,steering(-0.00259094960667965)>",2021-10-13 16:40:16.324000
outbox,"<mid24,0,tell,BROADCAST,steering(0.660567296512)>",2021-10-13 16:40:16.388000
outbox,"<mid25,0,tell,BROADCAST,steering(-0.002325854970011385)>",2021-10-13 16:40:16.449000
outbox,"<mid26,0,tell,BROADCAST,steering(0.602293174028)>",2021-10-13 16:40:16.523000
outbox,"<mid27,0,tell,BROADCAST,steering(0.618396547133)>",2021-10-13 16:40:16.588000
outbox,"<mid28,0,tell,BROADCAST,steering(0.581012352082)>",2021-10-13 16:40:16.648000
outbox,"<mid29,0,tell,BROADCAST,steering(0.545788735208)>",2021-10-13 16:40:16.721000
outbox,"<mid30,0,tell,BROADCAST,steering(0.439914367848)>",2021-10-13 16:40:16.786000
outbox,"<mid31,0,tell,BROADCAST,steering(0.453432912132)>",2021-10-13 16:40:16.854000
outbox,"<mid32,0,tell,BROADCAST,steering(0.36318215063)>",2021-10-13 16:40:16.936000
outbox,"<mid33,0,tell,BROADCAST,steering(0.356213676622)>",2021-10-13 16:40:16.985000
outbox,"<mid34,0,tell,BROADCAST,steering(0.30538213258)>",2021-10-13 16:40:17.054000
outbox,"<mid35,0,tell,BROADCAST,steering(0.21222297859)>",2021-10-13 16:40:17.130000
outbox,"<mid36,0,tell,BROADCAST,steering(0.145455356139)>",2021-10-13 16:40:17.184000
outbox,"<mid37,0,tell,BROADCAST,steering(0.0435673498372)>",2021-10-13 16:40:17.257000
outbox,"<mid38,0,tell,BROADCAST,steering(0.0746039851932)>",2021-10-13 16:40:17.323000
outbox,"<mid39,0,tell,BROADCAST,steering(0.0276452220171)>",2021-10-13 16:40:17.385000
outbox,"<mid40,0,tell,BROADCAST,steering(-0.00987131453744)>",2021-10-13 16:40:17.467000
outbox,"<mid41,0,tell,BROADCAST,steering(-0.0719719058555)>",2021-10-13 16:40:17.528000
outbox,"<mid42,0,tell,BROADCAST,steering(-0.139349809004)>",2021-10-13 16:40:17.592000
outbox,"<mid43,0,tell,BROADCAST,steering(-0.115179319624)>",2021-10-13 16:40:17.659000
outbox,"<mid44,0,tell,BROADCAST,steering(-0.0963922017697)>",2021-10-13 16:40:17.721000
outbox,"<mid45,0,tell,BROADCAST,steering(-0.00559917625372)>",2021-10-13 16:40:17.796000
outbox,"<mid46,0,tell,BROADCAST,steering(-0.0720448514483)>",2021-10-13 16:40:17.869000
outbox,"<mid47,0,tell,BROADCAST,steering(-0.0445513302985)>",2021-10-13 16:40:17.923000
outbox,"<mid48,0,tell,BROADCAST,steering(-0.071922117304)>",2021-10-13 16:40:18
outbox,"<mid49,0,tell,BROADCAST,steering(-0.0825844549068)>",2021-10-13 16:40:18.055000
outbox,"<mid50,0,tell,BROADCAST,steering(-0.198734671212)>",2021-10-13 16:40:18.120000
outbox,"<mid51,0,tell,BROADCAST,steering(-0.11215892601)>",2021-10-13 16:40:18.185000
outbox,"<mid52,0,tell,BROADCAST,steering(-0.164272835396)>",2021-10-13 16:40:18.254000
outbox,"<mid53,0,tell,BROADCAST,steering(-0.0449459186041)>",2021-10-13 16:40:18.315000
outbox,"<mid54,0,tell,BROADCAST,steering(-0.0991139338792)>",2021-10-13 16:40:18.377000
outbox,"<mid55,0,tell,BROADCAST,steering(-0.0992267338)>",2021-10-13 16:40:18.445000
outbox,"<mid56,0,tell,BROADCAST,steering(-0.170890302805)>",2021-10-13 16:40:18.508000
outbox,"<mid57,0,tell,BROADCAST,steering(-0.079235802481)>",2021-10-13 16:40:18.572000
outbox,"<mid58,0,tell,BROADCAST,steering(-0.15735021878)>",2021-10-13 16:40:18.634000
outbox,"<mid59,0,tell,BROADCAST,steering(-0.176406587087)>",2021-10-13 16:40:18.695000
outbox,"<mid60,0,tell,BROADCAST,steering(-0.162829728719)>",2021-10-13 16:40:18.759000
outbox,"<mid61,0,tell,BROADCAST,steering(-0.160240307299)>",2021-10-13 16:40:18.825000
outbox,"<mid62,0,tell,BROADCAST,steering(-0.157691291243)>",2021-10-13 16:40:18.886000
outbox,"<mid63,0,tell,BROADCAST,steering(-0.110498532855)>",2021-10-13 16:40:18.955000
