Topic,Data,TimeStamp
actions,setSpeed(8),2021-10-13 16:41:53.380000
actions,steering(-0.0018562272476262422),2021-10-13 16:41:53.445000
actions,steering(0.004557973519540426),2021-10-13 16:41:53.508000
actions,steering(-0.00608816468857069),2021-10-13 16:41:53.582000
actions,steering(0.010237384929929308),2021-10-13 16:41:53.644000
actions,steering(0.0020014405940176326),2021-10-13 16:41:53.717000
actions,steering(-0.009008308279370323),2021-10-13 16:41:53.784000
actions,steering(0.00835264603501857),2021-10-13 16:41:53.853000
actions,steering(0.001496554382113645),2021-10-13 16:41:53.920000
actions,steering(0.006594012442276888),2021-10-13 16:41:53.980000
actions,steering(-0.0077961022354453196),2021-10-13 16:41:54.043000
actions,steering(-0.0033184144695824753),2021-10-13 16:41:54.107000
actions,steering(0.0037438920995842054),2021-10-13 16:41:54.176000
actions,steering(0.009540167672463046),2021-10-13 16:41:54.241000
actions,steering(-0.0049665169904847765),2021-10-13 16:41:54.304000
actions,steering(-0.003855153965359982),2021-10-13 16:41:54.365000
actions,steering(0.0030468639873864963),2021-10-13 16:41:54.429000
actions,steering(-0.0010134207524880325),2021-10-13 16:41:54.498000
actions,steering(0.005502047594724319),2021-10-13 16:41:54.563000
actions,steering(0.0021887178684592353),2021-10-13 16:41:54.627000
actions,steering(-0.00675228253175635),2021-10-13 16:41:54.691000
actions,steering(0.606238175676),2021-10-13 16:41:54.763000
actions,steering(0.669623817568),2021-10-13 16:41:54.824000
actions,steering(0.651424338278),2021-10-13 16:41:54.888000
actions,steering(0.593774811568),2021-10-13 16:41:54.955000
actions,steering(0.512680641705),2021-10-13 16:41:55.025000
actions,steering(0.481934505294),2021-10-13 16:41:55.088000
actions,steering(0.43527151257),2021-10-13 16:41:55.159000
actions,steering(0.380768206005),2021-10-13 16:41:55.224000
actions,steering(0.265686702553),2021-10-13 16:41:55.291000
actions,steering(0.26387808765),2021-10-13 16:41:55.366000
actions,steering(0.11417452005),2021-10-13 16:41:55.441000
actions,steering(0.0840279916194),2021-10-13 16:41:55.504000
actions,steering(0.133978561033),2021-10-13 16:41:55.576000
actions,steering(0.0750653678946),2021-10-13 16:41:55.639000
actions,steering(0.0198409577415),2021-10-13 16:41:55.703000
actions,steering(0.0209681910588),2021-10-13 16:41:55.794000
actions,steering(-0.00115394297388),2021-10-13 16:41:55.847000
actions,steering(-0.0823446546783),2021-10-13 16:41:55.918000
actions,steering(-0.0425643786385),2021-10-13 16:41:55.979000
actions,steering(-0.145938406116),2021-10-13 16:41:56.043000
actions,steering(-0.200307658681),2021-10-13 16:41:56.115000
actions,steering(-0.0964715401947),2021-10-13 16:41:56.179000
actions,steering(-0.11846234057),2021-10-13 16:41:56.242000
actions,steering(-0.187490920315),2021-10-13 16:41:56.316000
actions,steering(-0.107533367127),2021-10-13 16:41:56.377000
actions,steering(-0.104386009363),2021-10-13 16:41:56.452000
actions,steering(-0.090859111764),2021-10-13 16:41:56.519000
