Topic,Data,TimeStamp
outbox,"<mid0,0,tell,BROADCAST,mission(navigate,post2)>",2021-10-13 16:18:35.520000
outbox,"<mid1,0,tell,BROADCAST,navigate(post2)>",2021-10-13 16:18:35.523000
outbox,"<mid2,0,tell,BROADCAST,setSpeed(8)>",2021-10-13 16:18:35.551000
outbox,"<mid3,0,tell,BROADCAST,steering(-0.0053474432643651985)>",2021-10-13 16:18:35.612000
outbox,"<mid4,0,tell,BROADCAST,steering(0.0017282067818570218)>",2021-10-13 16:18:35.676000
outbox,"<mid5,0,tell,BROADCAST,steering(-0.004179740446976312)>",2021-10-13 16:18:35.745000
outbox,"<mid6,0,tell,BROADCAST,steering(-0.004233550613420753)>",2021-10-13 16:18:35.804000
outbox,"<mid7,0,tell,BROADCAST,steering(-0.0007077569404763111)>",2021-10-13 16:18:35.871000
outbox,"<mid8,0,tell,BROADCAST,steering(0.00393657842794877)>",2021-10-13 16:18:35.948000
outbox,"<mid9,0,tell,BROADCAST,steering(0.016718301740612854)>",2021-10-13 16:18:35.994000
outbox,"<mid10,0,tell,BROADCAST,steering(0.004297303919207976)>",2021-10-13 16:18:36.057000
outbox,"<mid11,0,tell,BROADCAST,steering(0.0050893045730117945)>",2021-10-13 16:18:36.123000
outbox,"<mid12,0,tell,BROADCAST,steering(0.001899181731037898)>",2021-10-13 16:18:36.191000
outbox,"<mid13,0,tell,BROADCAST,steering(0.007221591334426783)>",2021-10-13 16:18:36.257000
outbox,"<mid14,0,tell,BROADCAST,steering(0.00949622106320458)>",2021-10-13 16:18:36.318000
outbox,"<mid15,0,tell,BROADCAST,steering(-0.003274030919158297)>",2021-10-13 16:18:36.381000
outbox,"<mid16,0,tell,BROADCAST,steering(-0.003666623009367837)>",2021-10-13 16:18:36.456000
outbox,"<mid17,0,tell,BROADCAST,steering(0.005274500656921874)>",2021-10-13 16:18:36.518000
outbox,"<mid18,0,tell,BROADCAST,steering(-0.0069140057264783904)>",2021-10-13 16:18:36.583000
outbox,"<mid19,0,tell,BROADCAST,steering(-0.0008253376123671867)>",2021-10-13 16:18:36.641000
outbox,"<mid20,0,tell,BROADCAST,steering(0.61425)>",2021-10-13 16:18:36.710000
outbox,"<mid21,0,tell,BROADCAST,steering(0.672877702703)>",2021-10-13 16:18:36.764000
outbox,"<mid22,0,tell,BROADCAST,steering(0.657365472973)>",2021-10-13 16:18:36.836000
outbox,"<mid23,0,tell,BROADCAST,steering(0.626404816528)>",2021-10-13 16:18:36.899000
outbox,"<mid24,0,tell,BROADCAST,steering(0.551713652385)>",2021-10-13 16:18:36.963000
