Topic,Data,TimeStamp
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.6765755352) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.677362442)",2021-10-13 16:18:27.681000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.31453422463) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(70.2378854752)",2021-10-13 16:18:27.743000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-7.99405797723) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7275438309)",2021-10-13 16:18:27.815000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.09526507064) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7275438309)",2021-10-13 16:18:27.880000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-9.47505439031) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8692121506)",2021-10-13 16:18:27.941000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.43995490774) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.5172939301)",2021-10-13 16:18:28.015000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.68175552526) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.5172939301)",2021-10-13 16:18:28.091000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-6.30256145894) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2837324142)",2021-10-13 16:18:28.153000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-7.87769097966) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2837324142)",2021-10-13 16:18:28.232000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-6.25354424745) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.8078074455)",2021-10-13 16:18:28.293000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-7.2947664419) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.8472700119)",2021-10-13 16:18:28.370000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.16579327316) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.8472700119)",2021-10-13 16:18:28.429000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-7.76109694413) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.7908248901)",2021-10-13 16:18:28.507000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-7.80705491798) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.9292068481)",2021-10-13 16:18:28.569000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.05675899108) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.9292068481)",2021-10-13 16:18:28.633000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-7.58667997321) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.881957531)",2021-10-13 16:18:28.709000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.30582188616) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.881957531)",2021-10-13 16:18:28.766000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-7.3948071797) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.8080563545)",2021-10-13 16:18:28.833000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-6.67763451172) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.8080563545)",2021-10-13 16:18:28.903000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-8.59785691567) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7310352325)",2021-10-13 16:18:28.960000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-9.30872267954) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7165212631)",2021-10-13 16:18:29.035000
perceptions,"gps(47.64148237133758, -122.14036499084803) compass(-7.87892154317) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7165212631)",2021-10-13 16:18:29.110000
