Topic,Data,TimeStamp
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:35.551000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:35.612000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:35.676000
reasoningPerformance,0:00:00.008000,2021-10-13 16:18:35.745000
reasoningPerformance,0:00:00.006000,2021-10-13 16:18:35.804000
reasoningPerformance,0:00:00.006000,2021-10-13 16:18:35.871000
reasoningPerformance,0:00:00.009000,2021-10-13 16:18:35.948000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:35.995000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:36.057000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:36.123000
reasoningPerformance,0:00:00.008000,2021-10-13 16:18:36.191000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:36.257000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:36.319000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:36.381000
reasoningPerformance,0:00:00.009000,2021-10-13 16:18:36.456000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:36.518000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:36.583000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:36.641000
reasoningPerformance,0:00:00.010000,2021-10-13 16:18:36.710000
reasoningPerformance,0:00:00.002000,2021-10-13 16:18:36.765000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:36.836000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:36.899000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:36.963000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:37.035000
reasoningPerformance,0:00:00.006000,2021-10-13 16:18:37.097000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:37.163000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:37.235000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:37.300000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:37.377000
reasoningPerformance,0:00:00.007000,2021-10-13 16:18:37.443000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:37.512000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:37.572000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:37.648000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:37.716000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:37.776000
reasoningPerformance,0:00:00.007000,2021-10-13 16:18:37.844000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:37.913000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:37.976000
reasoningPerformance,0:00:00.009000,2021-10-13 16:18:38.047000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:38.114000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:38.172000
reasoningPerformance,0:00:00.007000,2021-10-13 16:18:38.242000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:38.313000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:38.376000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:38.439000
reasoningPerformance,0:00:00.008000,2021-10-13 16:18:38.507000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:38.572000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:38.636000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:38.696000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:38.760000
reasoningPerformance,0:00:00.009000,2021-10-13 16:18:38.829000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:38.883000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:38.946000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:39.007000
reasoningPerformance,0:00:00.008000,2021-10-13 16:18:39.077000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:39.143000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:39.203000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:39.268000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:39.329000
reasoningPerformance,0:00:00.006000,2021-10-13 16:18:39.389000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:39.450000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:39.512000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:39.572000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:39.632000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:39.695000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:39.754000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:39.816000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:39.877000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:39.937000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:39.999000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:40.061000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:40.125000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:40.185000
reasoningPerformance,0:00:00.008000,2021-10-13 16:18:40.240000
reasoningPerformance,0:00:00.008000,2021-10-13 16:18:40.302000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:40.356000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:40.417000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:40.479000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:40.533000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:40.599000
reasoningPerformance,0:00:00.009000,2021-10-13 16:18:40.668000
reasoningPerformance,0:00:00.003000,2021-10-13 16:18:40.718000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:40.780000
reasoningPerformance,0:00:00.010000,2021-10-13 16:18:40.839000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:40.889000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:40.952000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:41.009000
reasoningPerformance,0:00:00.004000,2021-10-13 16:18:41.046000
reasoningPerformance,0:00:00.005000,2021-10-13 16:18:41.090000
reasoningPerformance,0:00:00.007000,2021-10-13 16:18:41.144000
