Topic,Data,TimeStamp
actions,setSpeed(8),2021-10-13 15:33:25.726000
actions,steering(0.009031303372131379),2021-10-13 15:33:25.797000
actions,steering(0.005233532851798043),2021-10-13 15:33:25.866000
actions,steering(-0.006792673351146403),2021-10-13 15:33:25.928000
actions,steering(-0.0016801527198686249),2021-10-13 15:33:25.992000
actions,steering(-0.003149228538669128),2021-10-13 15:33:26.062000
actions,steering(0.6391875),2021-10-13 15:33:26.124000
actions,steering(0.0058069837115345205),2021-10-13 15:33:26.190000
actions,steering(0.012230729957201219),2021-10-13 15:33:26.251000
actions,steering(0.005314073876590089),2021-10-13 15:33:26.319000
actions,steering(-0.0028403017658543807),2021-10-13 15:33:26.390000
actions,steering(0.0012897709891162268),2021-10-13 15:33:26.448000
actions,steering(0.001878669326282895),2021-10-13 15:33:26.514000
actions,steering(-0.004061711917050439),2021-10-13 15:33:26.585000
actions,steering(-0.0005119746436949908),2021-10-13 15:33:26.647000
actions,steering(0.004280894178956659),2021-10-13 15:33:26.720000
actions,steering(0.0021014524760652672),2021-10-13 15:33:26.792000
actions,steering(0.651749395161),2021-10-13 15:33:26.858000
actions,steering(-0.001927506776456103),2021-10-13 15:33:26.922000
actions,steering(-0.004644184205755734),2021-10-13 15:33:26.985000
actions,steering(0.667682752016),2021-10-13 15:33:27.062000
actions,steering(0.669454321713),2021-10-13 15:33:27.121000
actions,steering(0.623914816474),2021-10-13 15:33:27.199000
actions,steering(0.601961334589),2021-10-13 15:33:27.258000
actions,steering(0.469414883459),2021-10-13 15:33:27.322000
actions,steering(0.432742475188),2021-10-13 15:33:27.394000
actions,steering(0.459789258619),2021-10-13 15:33:27.457000
actions,steering(0.416953276322),2021-10-13 15:33:27.533000
actions,steering(0.270150998803),2021-10-13 15:33:27.595000
actions,steering(0.210591822963),2021-10-13 15:33:27.670000
actions,steering(0.132534605833),2021-10-13 15:33:27.736000
actions,steering(0.200858678915),2021-10-13 15:33:27.805000
