Topic,Data,TimeStamp
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.43980127183) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7272844315)",2021-10-13 15:15:51.634000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.30241351941) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.321744442)",2021-10-13 15:15:51.697000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-9.88982992234) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2783961296)",2021-10-13 15:15:51.771000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.57154576797) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2783961296)",2021-10-13 15:15:51.849000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.1656385458) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.7295198441)",2021-10-13 15:15:51.911000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.27329390413) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(67.813955307)",2021-10-13 15:15:51.985000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.80690256264) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(67.813955307)",2021-10-13 15:15:52.055000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.02598166936) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8760514259)",2021-10-13 15:15:52.125000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.01044043612) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1278896332)",2021-10-13 15:15:52.198000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.35150571448) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1278896332)",2021-10-13 15:15:52.272000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.87116014669) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1278896332)",2021-10-13 15:15:52.340000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.59770739683) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8148889542)",2021-10-13 15:15:52.397000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.70636502222) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7652359009)",2021-10-13 15:15:52.469000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.33371835868) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7652359009)",2021-10-13 15:15:52.539000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-9.37992931962) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7212467194)",2021-10-13 15:15:52.607000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.37340966564) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.6037006378)",2021-10-13 15:15:52.685000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.60495604333) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.6037006378)",2021-10-13 15:15:52.735000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.07987828219) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.0818424225)",2021-10-13 15:15:52.809000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.70601328864) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.0818424225)",2021-10-13 15:15:52.869000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.96823653512) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3181476593)",2021-10-13 15:15:52.935000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.30937725282) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8396372795)",2021-10-13 15:15:53.006000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.12614904721) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8396372795)",2021-10-13 15:15:53.085000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.59735318056) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.9252815247)",2021-10-13 15:15:53.140000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.90072575779) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3022899628)",2021-10-13 15:15:53.204000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-9.99804111553) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3022899628)",2021-10-13 15:15:53.275000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-9.06051600912) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.7062158585)",2021-10-13 15:15:53.335000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.65771428448) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.7062158585)",2021-10-13 15:15:53.409000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.60567071516) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.6566538811)",2021-10-13 15:15:53.472000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.45563314841) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.6566538811)",2021-10-13 15:15:53.536000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.32511836954) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.734500885)",2021-10-13 15:15:53.603000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.6907022137) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.734500885)",2021-10-13 15:15:53.663000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-5.6544594147) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.4863815308)",2021-10-13 15:15:53.738000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.09391150248) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(68.7802801132)",2021-10-13 15:15:53.800000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.88336595161) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1760511398)",2021-10-13 15:15:53.878000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.88336595161) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1760511398)",2021-10-13 15:15:53.916000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.09256422233) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0643796921)",2021-10-13 15:15:53.981000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.91174365306) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0643796921)",2021-10-13 15:15:54.052000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-7.02422575631) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0643796921)",2021-10-13 15:15:54.123000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-9.33233858357) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.120279789)",2021-10-13 15:15:54.199000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-8.6492808247) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.3359408379)",2021-10-13 15:15:54.258000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.78304133627) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.3359408379)",2021-10-13 15:15:54.335000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-9.11249049946) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0511746407)",2021-10-13 15:15:54.402000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.15975654017) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.454934597)",2021-10-13 15:15:54.476000
perceptions,"gps(47.64148237132935, -122.1403649908643) compass(-6.59181138278) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.454934597)",2021-10-13 15:15:54.532000
