Topic,Data,TimeStamp
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:29.510000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:29.568000
reasoningPerformance,0:00:00.012000,2021-10-13 11:20:29.643000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:29.706000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:29.766000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:29.842000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:29.899000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:29.964000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:30.029000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:30.091000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:30.164000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:30.227000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:30.292000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:30.363000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:30.427000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:30.484000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:30.553000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:30.624000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:30.689000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:30.751000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:30.827000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:30.886000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:30.950000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:31.021000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:31.086000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:31.160000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:31.220000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:31.299000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:31.373000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:31.432000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:31.508000
reasoningPerformance,0:00:00.007000,2021-10-13 11:20:31.574000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:31.662000
reasoningPerformance,0:00:00.010000,2021-10-13 11:20:31.721000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:31.789000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:31.850000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:31.922000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:31.992000
reasoningPerformance,0:00:00.011000,2021-10-13 11:20:32.057000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:32.119000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:32.193000
reasoningPerformance,0:00:00.008000,2021-10-13 11:20:32.257000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:32.322000
reasoningPerformance,0:00:00.008000,2021-10-13 11:20:32.390000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:32.459000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:32.521000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:32.590000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:32.656000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:32.732000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:32.792000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:32.856000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:32.916000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:32.987000
reasoningPerformance,0:00:00.008000,2021-10-13 11:20:33.047000
reasoningPerformance,0:00:00.010000,2021-10-13 11:20:33.126000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:33.180000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:33.240000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:33.300000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:33.363000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:33.422000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:33.493000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:33.548000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:33.608000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:33.669000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:33.729000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:33.793000
reasoningPerformance,0:00:00.010000,2021-10-13 11:20:33.858000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:33.911000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:33.972000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:34.030000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:34.079000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:34.139000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:34.199000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:34.249000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:34.305000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:34.373000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:34.428000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:34.488000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:34.561000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:34.612000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:34.672000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:34.730000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:34.796000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:34.856000
reasoningPerformance,0:00:00.007000,2021-10-13 11:20:34.923000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:34.991000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:35.025000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:35.072000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:35.131000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:35.195000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:35.252000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:35.297000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:35.346000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:35.402000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:35.447000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:35.506000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:35.553000
reasoningPerformance,0:00:00.007000,2021-10-13 11:20:35.617000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:35.663000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:35.713000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:35.769000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:35.826000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:35.863000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:35.903000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:35.941000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:35.997000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:36.042000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:36.077000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:36.135000
reasoningPerformance,0:00:00.007000,2021-10-13 11:20:36.190000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:36.245000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:36.288000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:36.337000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:36.398000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:36.440000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:36.473000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:36.511000
reasoningPerformance,0:00:00.008000,2021-10-13 11:20:36.563000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:36.601000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:36.659000
reasoningPerformance,0:00:00.011000,2021-10-13 11:20:36.704000
reasoningPerformance,0:00:00.008000,2021-10-13 11:20:36.762000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:36.818000
reasoningPerformance,0:00:00.013000,2021-10-13 11:20:36.875000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:36.924000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:36.974000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:37.015000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:37.072000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:37.110000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:37.166000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:37.218000
reasoningPerformance,0:00:00.005000,2021-10-13 11:20:37.277000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:37.331000
reasoningPerformance,0:00:00.006000,2021-10-13 11:20:37.378000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:37.431000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:37.477000
reasoningPerformance,0:00:00.009000,2021-10-13 11:20:37.531000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:37.581000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:37.628000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:37.671000
reasoningPerformance,0:00:00.008000,2021-10-13 11:20:37.726000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:37.782000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:37.827000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:37.868000
reasoningPerformance,0:00:00.003000,2021-10-13 11:20:37.918000
reasoningPerformance,0:00:00.004000,2021-10-13 11:20:37.978000
reasoningPerformance,0:00:00.010000,2021-10-13 11:20:38.037000
