Topic,Data,TimeStamp
outbox,"<mid0,0,tell,BROADCAST,mission(navigate,post2)>",2021-10-13 11:24:11.456000
outbox,"<mid1,0,tell,BROADCAST,navigate(post2)>",2021-10-13 11:24:11.458000
outbox,"<mid2,0,tell,BROADCAST,setSpeed(8)>",2021-10-13 11:24:11.505000
outbox,"<mid3,0,tell,BROADCAST,steering(-0.007010096448341696)>",2021-10-13 11:24:11.578000
outbox,"<mid4,0,tell,BROADCAST,steering(0.007421412143880526)>",2021-10-13 11:24:11.641000
outbox,"<mid5,0,tell,BROADCAST,steering(-0.0072378976073416935)>",2021-10-13 11:24:11.703000
outbox,"<mid6,0,tell,BROADCAST,steering(0.01613041385388053)>",2021-10-13 11:24:11.768000
outbox,"<mid7,0,tell,BROADCAST,steering(-0.013600488692341695)>",2021-10-13 11:24:11.837000
outbox,"<mid8,0,tell,BROADCAST,steering(0.0008914158665673475)>",2021-10-13 11:24:11.902000
outbox,"<mid9,0,tell,BROADCAST,steering(0.0033971954758130712)>",2021-10-13 11:24:11.961000
outbox,"<mid10,0,tell,BROADCAST,steering(0.006012031253313072)>",2021-10-13 11:24:12.025000
outbox,"<mid11,0,tell,BROADCAST,steering(0.003299565883587487)>",2021-10-13 11:24:12.087000
outbox,"<mid12,0,tell,BROADCAST,steering(-0.006764439322134731)>",2021-10-13 11:24:12.156000
outbox,"<mid13,0,tell,BROADCAST,steering(-0.0015870008695236064)>",2021-10-13 11:24:12.218000
outbox,"<mid14,0,tell,BROADCAST,steering(-0.006550120210412476)>",2021-10-13 11:24:12.287000
outbox,"<mid15,0,tell,BROADCAST,steering(0.0011970076116919093)>",2021-10-13 11:24:12.344000
outbox,"<mid16,0,tell,BROADCAST,steering(0.006173774923527117)>",2021-10-13 11:24:12.421000
outbox,"<mid17,0,tell,BROADCAST,steering(0.012647578564049756)>",2021-10-13 11:24:12.483000
outbox,"<mid18,0,tell,BROADCAST,steering(-0.007085774645861141)>",2021-10-13 11:24:12.558000
outbox,"<mid19,0,tell,BROADCAST,steering(0.0006929066509243331)>",2021-10-13 11:24:12.618000
outbox,"<mid20,0,tell,BROADCAST,steering(-0.0007991692969949354)>",2021-10-13 11:24:12.680000
outbox,"<mid21,0,tell,BROADCAST,steering(0.611452702703)>",2021-10-13 11:24:12.752000
outbox,"<mid22,0,tell,BROADCAST,steering(0.665768484556)>",2021-10-13 11:24:12.823000
outbox,"<mid23,0,tell,BROADCAST,steering(0.665325394967)>",2021-10-13 11:24:12.886000
outbox,"<mid24,0,tell,BROADCAST,steering(0.614548164497)>",2021-10-13 11:24:12.956000
outbox,"<mid25,0,tell,BROADCAST,steering(0.544273781967)>",2021-10-13 11:24:13.019000
outbox,"<mid26,0,tell,BROADCAST,steering(0.511695089368)>",2021-10-13 11:24:13.096000
outbox,"<mid27,0,tell,BROADCAST,steering(0.431833773456)>",2021-10-13 11:24:13.160000
outbox,"<mid28,0,tell,BROADCAST,steering(0.309951306795)>",2021-10-13 11:24:13.236000
outbox,"<mid29,0,tell,BROADCAST,steering(0.253931395275)>",2021-10-13 11:24:13.295000
outbox,"<mid30,0,tell,BROADCAST,steering(0.19666119842)>",2021-10-13 11:24:13.374000
outbox,"<mid31,0,tell,BROADCAST,steering(0.144266481612)>",2021-10-13 11:24:13.447000
outbox,"<mid32,0,tell,BROADCAST,steering(0.116506213129)>",2021-10-13 11:24:13.505000
outbox,"<mid33,0,tell,BROADCAST,steering(0.0396695864995)>",2021-10-13 11:24:13.572000
outbox,"<mid34,0,tell,BROADCAST,steering(0.10515590598)>",2021-10-13 11:24:13.644000
outbox,"<mid35,0,tell,BROADCAST,steering(0.0554742610133)>",2021-10-13 11:24:13.709000
outbox,"<mid36,0,tell,BROADCAST,steering(0.0634235071245)>",2021-10-13 11:24:13.771000
outbox,"<mid37,0,tell,BROADCAST,steering(-0.0455058354654)>",2021-10-13 11:24:13.843000
outbox,"<mid38,0,tell,BROADCAST,steering(-0.0332753961255)>",2021-10-13 11:24:13.906000
outbox,"<mid39,0,tell,BROADCAST,steering(-0.080510031459)>",2021-10-13 11:24:13.976000
outbox,"<mid40,0,tell,BROADCAST,steering(-0.0122722538603)>",2021-10-13 11:24:14.040000
outbox,"<mid41,0,tell,BROADCAST,steering(0.0167857643915)>",2021-10-13 11:24:14.107000
outbox,"<mid42,0,tell,BROADCAST,steering(-0.106396380797)>",2021-10-13 11:24:14.168000
outbox,"<mid43,0,tell,BROADCAST,steering(-0.069068649016)>",2021-10-13 11:24:14.239000
outbox,"<mid44,0,tell,BROADCAST,steering(-0.153696901498)>",2021-10-13 11:24:14.311000
outbox,"<mid45,0,tell,BROADCAST,steering(-0.189827890369)>",2021-10-13 11:24:14.372000
outbox,"<mid46,0,tell,BROADCAST,steering(-0.210045250625)>",2021-10-13 11:24:14.452000
outbox,"<mid47,0,tell,BROADCAST,steering(-0.21043933672)>",2021-10-13 11:24:14.519000
outbox,"<mid48,0,tell,BROADCAST,steering(-0.130121969152)>",2021-10-13 11:24:14.578000
outbox,"<mid49,0,tell,BROADCAST,steering(-0.13592451703)>",2021-10-13 11:24:14.641000
outbox,"<mid50,0,tell,BROADCAST,steering(-0.0213496328082)>",2021-10-13 11:24:14.712000
outbox,"<mid51,0,tell,BROADCAST,steering(-0.143238970168)>",2021-10-13 11:24:14.773000
outbox,"<mid52,0,tell,BROADCAST,steering(-0.137272933421)>",2021-10-13 11:24:14.839000
outbox,"<mid53,0,tell,BROADCAST,steering(-0.146583475432)>",2021-10-13 11:24:14.912000
outbox,"<mid54,0,tell,BROADCAST,steering(-0.105158379264)>",2021-10-13 11:24:14.974000
outbox,"<mid55,0,tell,BROADCAST,steering(-0.105099367656)>",2021-10-13 11:24:15.049000
outbox,"<mid56,0,tell,BROADCAST,steering(-0.128282607417)>",2021-10-13 11:24:15.103000
outbox,"<mid57,0,tell,BROADCAST,steering(-0.159424353355)>",2021-10-13 11:24:15.160000
outbox,"<mid58,0,tell,BROADCAST,steering(-0.108424035129)>",2021-10-13 11:24:15.234000
outbox,"<mid59,0,tell,BROADCAST,steering(-0.106155386064)>",2021-10-13 11:24:15.290000
outbox,"<mid60,0,tell,BROADCAST,steering(-0.0964719571583)>",2021-10-13 11:24:15.355000
outbox,"<mid61,0,tell,BROADCAST,steering(-0.12050937077)>",2021-10-13 11:24:15.415000
outbox,"<mid62,0,tell,BROADCAST,steering(-0.115288548021)>",2021-10-13 11:24:15.490000
outbox,"<mid63,0,tell,BROADCAST,steering(-0.0680638035493)>",2021-10-13 11:24:15.543000
outbox,"<mid64,0,tell,BROADCAST,steering(-0.072217670821)>",2021-10-13 11:24:15.605000
outbox,"<mid65,0,tell,BROADCAST,steering(-0.0219118315869)>",2021-10-13 11:24:15.671000
outbox,"<mid66,0,tell,BROADCAST,steering(-0.00683373304645)>",2021-10-13 11:24:15.728000
outbox,"<mid67,0,tell,BROADCAST,steering(-0.00638094219808)>",2021-10-13 11:24:15.787000
outbox,"<mid68,0,tell,BROADCAST,steering(0.00285660139421)>",2021-10-13 11:24:15.851000
outbox,"<mid69,0,tell,BROADCAST,steering(-0.00116386227764)>",2021-10-13 11:24:15.917000
outbox,"<mid70,0,tell,BROADCAST,steering(-0.019298579197)>",2021-10-13 11:24:15.981000
outbox,"<mid71,0,tell,BROADCAST,steering(0.00505016858307)>",2021-10-13 11:24:16.042000
outbox,"<mid72,0,tell,BROADCAST,steering(0.0330118725304)>",2021-10-13 11:24:16.109000
outbox,"<mid73,0,tell,BROADCAST,steering(0.027020550754)>",2021-10-13 11:24:16.177000
outbox,"<mid74,0,tell,BROADCAST,steering(0.0283193224806)>",2021-10-13 11:24:16.229000
outbox,"<mid75,0,tell,BROADCAST,steering(-0.0267429912405)>",2021-10-13 11:24:16.292000
outbox,"<mid76,0,tell,BROADCAST,steering(-0.0584441314433)>",2021-10-13 11:24:16.352000
outbox,"<mid77,0,tell,BROADCAST,steering(-0.0356688712508)>",2021-10-13 11:24:16.417000
outbox,"<mid78,0,tell,BROADCAST,steering(-0.0570351993279)>",2021-10-13 11:24:16.476000
outbox,"<mid79,0,tell,BROADCAST,steering(-0.0112987557061)>",2021-10-13 11:24:16.546000
outbox,"<mid80,0,tell,BROADCAST,steering(0.0585728603765)>",2021-10-13 11:24:16.600000
outbox,"<mid81,0,tell,BROADCAST,steering(0.00136014161614)>",2021-10-13 11:24:16.643000
outbox,"<mid82,0,tell,BROADCAST,steering(-0.0094086981057)>",2021-10-13 11:24:16.697000
outbox,"<mid83,0,tell,BROADCAST,steering(-0.00952441361665)>",2021-10-13 11:24:16.750000
outbox,"<mid84,0,tell,BROADCAST,steering(-0.0105830717797)>",2021-10-13 11:24:16.794000
outbox,"<mid85,0,tell,BROADCAST,steering(0.000761683600461)>",2021-10-13 11:24:16.861000
outbox,"<mid86,0,tell,BROADCAST,steering(-0.0217866547692)>",2021-10-13 11:24:16.921000
outbox,"<mid87,0,tell,BROADCAST,steering(-0.0108193842365)>",2021-10-13 11:24:16.978000
outbox,"<mid88,0,tell,BROADCAST,steering(-0.0269772518905)>",2021-10-13 11:24:17.036000
outbox,"<mid89,0,tell,BROADCAST,steering(-0.0179427449047)>",2021-10-13 11:24:17.083000
outbox,"<mid90,0,tell,BROADCAST,steering(0.0284918132478)>",2021-10-13 11:24:17.146000
outbox,"<mid91,0,tell,BROADCAST,steering(0.0164394242672)>",2021-10-13 11:24:17.200000
outbox,"<mid92,0,tell,BROADCAST,steering(0.0373072689952)>",2021-10-13 11:24:17.258000
outbox,"<mid93,0,tell,BROADCAST,steering(0.0716291961892)>",2021-10-13 11:24:17.318000
outbox,"<mid94,0,tell,BROADCAST,steering(-0.00404920234245)>",2021-10-13 11:24:17.381000
outbox,"<mid95,0,tell,BROADCAST,steering(-0.0153162505861)>",2021-10-13 11:24:17.442000
outbox,"<mid96,0,tell,BROADCAST,steering(-0.0190404974814)>",2021-10-13 11:24:17.501000
outbox,"<mid97,0,tell,BROADCAST,steering(-0.0155990412605)>",2021-10-13 11:24:17.545000
outbox,"<mid98,0,tell,BROADCAST,steering(0.0127881021995)>",2021-10-13 11:24:17.594000
outbox,"<mid99,0,tell,BROADCAST,steering(0.0242270055951)>",2021-10-13 11:24:17.645000
outbox,"<mid100,0,tell,BROADCAST,steering(-0.00959400932862)>",2021-10-13 11:24:17.686000
outbox,"<mid101,0,tell,BROADCAST,steering(-0.0676862291319)>",2021-10-13 11:24:17.737000
outbox,"<mid102,0,tell,BROADCAST,steering(-0.0283517314242)>",2021-10-13 11:24:17.789000
outbox,"<mid103,0,tell,BROADCAST,steering(-0.00608367304896)>",2021-10-13 11:24:17.823000
outbox,"<mid104,0,tell,BROADCAST,steering(0.0100657938843)>",2021-10-13 11:24:17.886000
outbox,"<mid105,0,tell,BROADCAST,steering(0.0258251176646)>",2021-10-13 11:24:17.952000
outbox,"<mid106,0,tell,BROADCAST,steering(0.016223934014)>",2021-10-13 11:24:17.998000
outbox,"<mid107,0,tell,BROADCAST,steering(0.0344954080689)>",2021-10-13 11:24:18.054000
outbox,"<mid108,0,tell,BROADCAST,steering(0.0754392863356)>",2021-10-13 11:24:18.109000
outbox,"<mid109,0,tell,BROADCAST,steering(0.00762322857164)>",2021-10-13 11:24:18.156000
outbox,"<mid110,0,tell,BROADCAST,steering(0.0212896544256)>",2021-10-13 11:24:18.208000
outbox,"<mid111,0,tell,BROADCAST,steering(0.0351243828293)>",2021-10-13 11:24:18.252000
outbox,"<mid112,0,tell,BROADCAST,steering(0.0297040102107)>",2021-10-13 11:24:18.306000
outbox,"<mid113,0,tell,BROADCAST,steering(0.00509124206432)>",2021-10-13 11:24:18.358000
outbox,"<mid114,0,tell,BROADCAST,steering(-0.0248716902066)>",2021-10-13 11:24:18.396000
outbox,"<mid115,0,tell,BROADCAST,steering(0.039102079992)>",2021-10-13 11:24:18.435000
outbox,"<mid116,0,tell,BROADCAST,steering(-0.0381505387399)>",2021-10-13 11:24:18.502000
outbox,"<mid117,0,tell,BROADCAST,steering(-0.0203507289625)>",2021-10-13 11:24:18.556000
outbox,"<mid118,0,tell,BROADCAST,steering(-0.036561296252)>",2021-10-13 11:24:18.613000
outbox,"<mid119,0,tell,BROADCAST,steering(-0.0513198467098)>",2021-10-13 11:24:18.672000
outbox,"<mid120,0,tell,BROADCAST,steering(-0.0438194528628)>",2021-10-13 11:24:18.723000
outbox,"<mid121,0,tell,BROADCAST,steering(-0.0690524121958)>",2021-10-13 11:24:18.770000
outbox,"<mid122,0,tell,BROADCAST,steering(-0.0358213320435)>",2021-10-13 11:24:18.830000
outbox,"<mid123,0,tell,BROADCAST,steering(-0.0316256996016)>",2021-10-13 11:24:18.888000
outbox,"<mid124,0,tell,BROADCAST,steering(0.0210081978375)>",2021-10-13 11:24:18.933000
outbox,"<mid125,0,tell,BROADCAST,steering(0.03394939716)>",2021-10-13 11:24:18.977000
outbox,"<mid126,0,tell,BROADCAST,steering(0.0455586392297)>",2021-10-13 11:24:19.013000
outbox,"<mid127,0,tell,BROADCAST,steering(0.0331623030252)>",2021-10-13 11:24:19.076000
outbox,"<mid128,0,tell,BROADCAST,steering(0.0666890640667)>",2021-10-13 11:24:19.135000
outbox,"<mid129,0,tell,BROADCAST,steering(0.0443302789345)>",2021-10-13 11:24:19.186000
outbox,"<mid130,0,tell,BROADCAST,steering(0.0311576825272)>",2021-10-13 11:24:19.239000
outbox,"<mid131,0,tell,BROADCAST,steering(-0.00913845663743)>",2021-10-13 11:24:19.293000
outbox,"<mid132,0,tell,BROADCAST,steering(0.0248669793077)>",2021-10-13 11:24:19.333000
outbox,"<mid133,0,tell,BROADCAST,steering(0.0111362067748)>",2021-10-13 11:24:19.377000
outbox,"<mid134,0,tell,BROADCAST,steering(-0.0165613117781)>",2021-10-13 11:24:19.426000
outbox,"<mid135,0,tell,BROADCAST,steering(-0.0357188623422)>",2021-10-13 11:24:19.475000
outbox,"<mid136,0,tell,BROADCAST,steering(-0.108186059916)>",2021-10-13 11:24:19.536000
outbox,"<mid137,0,tell,BROADCAST,steering(-0.0101975845038)>",2021-10-13 11:24:19.593000
outbox,"<mid138,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:19.641000
outbox,"<mid139,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:19.685000
outbox,"<mid140,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:19.735000
outbox,"<mid141,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:19.783000
outbox,"<mid142,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:19.825000
outbox,"<mid143,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:19.873000
outbox,"<mid144,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:19.931000
outbox,"<mid145,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:19.993000
outbox,"<mid146,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.041000
outbox,"<mid147,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.099000
outbox,"<mid148,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.152000
outbox,"<mid149,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.197000
outbox,"<mid150,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.238000
outbox,"<mid151,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.297000
outbox,"<mid152,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.343000
outbox,"<mid153,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.396000
outbox,"<mid154,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.436000
outbox,"<mid155,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.496000
outbox,"<mid156,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.543000
outbox,"<mid157,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.604000
outbox,"<mid158,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.670000
outbox,"<mid159,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.752000
outbox,"<mid160,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.821000
outbox,"<mid161,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.867000
outbox,"<mid162,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.894000
outbox,"<mid163,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:20.983000
outbox,"<mid164,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.005000
outbox,"<mid165,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.052000
outbox,"<mid166,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.109000
outbox,"<mid167,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.171000
outbox,"<mid168,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.221000
outbox,"<mid169,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.283000
outbox,"<mid170,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.334000
outbox,"<mid171,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.395000
outbox,"<mid172,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.448000
outbox,"<mid173,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.501000
outbox,"<mid174,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.553000
outbox,"<mid175,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.598000
outbox,"<mid176,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.651000
outbox,"<mid177,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.705000
outbox,"<mid178,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.764000
outbox,"<mid179,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.815000
outbox,"<mid180,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.868000
outbox,"<mid181,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.922000
outbox,"<mid182,0,tell,BROADCAST,setSpeed(0)>",2021-10-13 11:24:21.974000
