Topic,Data,TimeStamp
reasoningPerformance,51,2021-10-12 11:23:58.947000
reasoningPerformance,102,2021-10-12 11:23:59.052000
reasoningPerformance,64,2021-10-12 11:23:59.112000
reasoningPerformance,56,2021-10-12 11:23:59.168000
reasoningPerformance,70,2021-10-12 11:23:59.237000
reasoningPerformance,78,2021-10-12 11:23:59.326000
reasoningPerformance,69,2021-10-12 11:23:59.392000
reasoningPerformance,88,2021-10-12 11:23:59.507000
reasoningPerformance,49,2021-10-12 11:23:59.557000
reasoningPerformance,67,2021-10-12 11:23:59.630000
reasoningPerformance,95,2021-10-12 11:23:59.739000
reasoningPerformance,72,2021-10-12 11:23:59.824000
reasoningPerformance,43,2021-10-12 11:23:59.877000
reasoningPerformance,39,2021-10-12 11:23:59.918000
reasoningPerformance,70,2021-10-12 11:23:59.988000
reasoningPerformance,79,2021-10-12 11:24:00.071000
reasoningPerformance,97,2021-10-12 11:24:00.170000
reasoningPerformance,50,2021-10-12 11:24:00.219000
reasoningPerformance,88,2021-10-12 11:24:00.307000
reasoningPerformance,91,2021-10-12 11:24:00.400000
reasoningPerformance,58,2021-10-12 11:24:00.476000
reasoningPerformance,64,2021-10-12 11:24:00.569000
reasoningPerformance,74,2021-10-12 11:24:00.614000
reasoningPerformance,99,2021-10-12 11:24:00.720000
reasoningPerformance,64,2021-10-12 11:24:00.792000
reasoningPerformance,60,2021-10-12 11:24:00.853000
reasoningPerformance,92,2021-10-12 11:24:00.946000
reasoningPerformance,35,2021-10-12 11:24:00.993000
reasoningPerformance,90,2021-10-12 11:24:01.087000
reasoningPerformance,78,2021-10-12 11:24:01.170000
reasoningPerformance,42,2021-10-12 11:24:01.210000
reasoningPerformance,81,2021-10-12 11:24:01.302000
reasoningPerformance,63,2021-10-12 11:24:01.375000
reasoningPerformance,69,2021-10-12 11:24:01.464000
reasoningPerformance,53,2021-10-12 11:24:01.516000
reasoningPerformance,61,2021-10-12 11:24:01.586000
reasoningPerformance,78,2021-10-12 11:24:01.662000
reasoningPerformance,86,2021-10-12 11:24:01.757000
reasoningPerformance,64,2021-10-12 11:24:01.820000
reasoningPerformance,71,2021-10-12 11:24:01.902000
reasoningPerformance,68,2021-10-12 11:24:01.973000
reasoningPerformance,74,2021-10-12 11:24:02.053000
reasoningPerformance,79,2021-10-12 11:24:02.136000
reasoningPerformance,62,2021-10-12 11:24:02.202000
reasoningPerformance,77,2021-10-12 11:24:02.290000
reasoningPerformance,72,2021-10-12 11:24:02.354000
reasoningPerformance,79,2021-10-12 11:24:02.440000
reasoningPerformance,69,2021-10-12 11:24:02.506000
reasoningPerformance,80,2021-10-12 11:24:02.586000
reasoningPerformance,85,2021-10-12 11:24:02.678000
reasoningPerformance,59,2021-10-12 11:24:02.736000
reasoningPerformance,79,2021-10-12 11:24:02.821000
reasoningPerformance,72,2021-10-12 11:24:02.890000
reasoningPerformance,71,2021-10-12 11:24:02.967000
reasoningPerformance,75,2021-10-12 11:24:03.042000
reasoningPerformance,76,2021-10-12 11:24:03.121000
reasoningPerformance,74,2021-10-12 11:24:03.194000
reasoningPerformance,65,2021-10-12 11:24:03.258000
reasoningPerformance,73,2021-10-12 11:24:03.332000
reasoningPerformance,75,2021-10-12 11:24:03.409000
reasoningPerformance,74,2021-10-12 11:24:03.483000
reasoningPerformance,77,2021-10-12 11:24:03.562000
reasoningPerformance,77,2021-10-12 11:24:03.639000
reasoningPerformance,82,2021-10-12 11:24:03.724000
reasoningPerformance,71,2021-10-12 11:24:03.805000
reasoningPerformance,64,2021-10-12 11:24:03.867000
reasoningPerformance,87,2021-10-12 11:24:03.957000
reasoningPerformance,72,2021-10-12 11:24:04.031000
reasoningPerformance,87,2021-10-12 11:24:04.123000
reasoningPerformance,61,2021-10-12 11:24:04.183000
reasoningPerformance,72,2021-10-12 11:24:04.261000
reasoningPerformance,74,2021-10-12 11:24:04.336000
reasoningPerformance,62,2021-10-12 11:24:04.399000
reasoningPerformance,74,2021-10-12 11:24:04.473000
reasoningPerformance,65,2021-10-12 11:24:04.547000
reasoningPerformance,76,2021-10-12 11:24:04.622000
reasoningPerformance,63,2021-10-12 11:24:04.686000
reasoningPerformance,74,2021-10-12 11:24:04.761000
reasoningPerformance,74,2021-10-12 11:24:04.838000
reasoningPerformance,63,2021-10-12 11:24:04.902000
reasoningPerformance,64,2021-10-12 11:24:04.970000
reasoningPerformance,80,2021-10-12 11:24:05.052000
reasoningPerformance,72,2021-10-12 11:24:05.126000
reasoningPerformance,67,2021-10-12 11:24:05.200000
reasoningPerformance,70,2021-10-12 11:24:05.269000
reasoningPerformance,74,2021-10-12 11:24:05.342000
reasoningPerformance,75,2021-10-12 11:24:05.419000
reasoningPerformance,65,2021-10-12 11:24:05.484000
reasoningPerformance,73,2021-10-12 11:24:05.557000
reasoningPerformance,63,2021-10-12 11:24:05.621000
reasoningPerformance,82,2021-10-12 11:24:05.707000
reasoningPerformance,65,2021-10-12 11:24:05.773000
reasoningPerformance,79,2021-10-12 11:24:05.859000
reasoningPerformance,66,2021-10-12 11:24:05.925000
reasoningPerformance,75,2021-10-12 11:24:06.001000
reasoningPerformance,70,2021-10-12 11:24:06.072000
reasoningPerformance,79,2021-10-12 11:24:06.151000
reasoningPerformance,70,2021-10-12 11:24:06.223000
reasoningPerformance,69,2021-10-12 11:24:06.300000
reasoningPerformance,80,2021-10-12 11:24:06.389000
reasoningPerformance,53,2021-10-12 11:24:06.449000
reasoningPerformance,82,2021-10-12 11:24:06.530000
reasoningPerformance,67,2021-10-12 11:24:06.604000
reasoningPerformance,78,2021-10-12 11:24:06.683000
reasoningPerformance,73,2021-10-12 11:24:06.748000
reasoningPerformance,76,2021-10-12 11:24:06.823000
reasoningPerformance,72,2021-10-12 11:24:06.896000
reasoningPerformance,76,2021-10-12 11:24:06.971000
reasoningPerformance,76,2021-10-12 11:24:07.047000
reasoningPerformance,65,2021-10-12 11:24:07.115000
reasoningPerformance,74,2021-10-12 11:24:07.198000
reasoningPerformance,62,2021-10-12 11:24:07.262000
reasoningPerformance,76,2021-10-12 11:24:07.340000
reasoningPerformance,79,2021-10-12 11:24:07.426000
reasoningPerformance,60,2021-10-12 11:24:07.488000
reasoningPerformance,79,2021-10-12 11:24:07.569000
reasoningPerformance,67,2021-10-12 11:24:07.657000
reasoningPerformance,70,2021-10-12 11:24:07.716000
reasoningPerformance,95,2021-10-12 11:24:07.817000
reasoningPerformance,49,2021-10-12 11:24:07.869000
reasoningPerformance,73,2021-10-12 11:24:07.942000
reasoningPerformance,81,2021-10-12 11:24:08.023000
reasoningPerformance,72,2021-10-12 11:24:08.098000
reasoningPerformance,54,2021-10-12 11:24:08.155000
reasoningPerformance,80,2021-10-12 11:24:08.237000
reasoningPerformance,75,2021-10-12 11:24:08.316000
reasoningPerformance,58,2021-10-12 11:24:08.374000
reasoningPerformance,91,2021-10-12 11:24:08.475000
reasoningPerformance,62,2021-10-12 11:24:08.541000
reasoningPerformance,65,2021-10-12 11:24:08.615000
reasoningPerformance,75,2021-10-12 11:24:08.694000
reasoningPerformance,72,2021-10-12 11:24:08.769000
reasoningPerformance,71,2021-10-12 11:24:08.843000
reasoningPerformance,57,2021-10-12 11:24:08.904000
reasoningPerformance,65,2021-10-12 11:24:08.968000
reasoningPerformance,88,2021-10-12 11:24:09.056000
reasoningPerformance,92,2021-10-12 11:24:09.151000
reasoningPerformance,45,2021-10-12 11:24:09.198000
reasoningPerformance,76,2021-10-12 11:24:09.273000
reasoningPerformance,63,2021-10-12 11:24:09.341000
reasoningPerformance,68,2021-10-12 11:24:09.422000
reasoningPerformance,65,2021-10-12 11:24:09.488000
reasoningPerformance,72,2021-10-12 11:24:09.560000
reasoningPerformance,80,2021-10-12 11:24:09.651000
reasoningPerformance,59,2021-10-12 11:24:09.710000
reasoningPerformance,81,2021-10-12 11:24:09.795000
reasoningPerformance,75,2021-10-12 11:24:09.871000
reasoningPerformance,59,2021-10-12 11:24:09.930000
reasoningPerformance,85,2021-10-12 11:24:10.019000
reasoningPerformance,73,2021-10-12 11:24:10.094000
reasoningPerformance,48,2021-10-12 11:24:10.148000
reasoningPerformance,80,2021-10-12 11:24:10.233000
reasoningPerformance,70,2021-10-12 11:24:10.305000
reasoningPerformance,80,2021-10-12 11:24:10.386000
reasoningPerformance,89,2021-10-12 11:24:10.476000
reasoningPerformance,53,2021-10-12 11:24:10.534000
reasoningPerformance,81,2021-10-12 11:24:10.622000
reasoningPerformance,58,2021-10-12 11:24:10.685000
reasoningPerformance,77,2021-10-12 11:24:10.776000
reasoningPerformance,57,2021-10-12 11:24:10.835000
reasoningPerformance,76,2021-10-12 11:24:10.916000
reasoningPerformance,74,2021-10-12 11:24:10.989000
reasoningPerformance,78,2021-10-12 11:24:11.075000
reasoningPerformance,88,2021-10-12 11:24:11.156000
reasoningPerformance,62,2021-10-12 11:24:11.224000
reasoningPerformance,84,2021-10-12 11:24:11.310000
reasoningPerformance,89,2021-10-12 11:24:11.400000
reasoningPerformance,63,2021-10-12 11:24:11.471000
reasoningPerformance,91,2021-10-12 11:24:11.566000
reasoningPerformance,48,2021-10-12 11:24:11.626000
reasoningPerformance,78,2021-10-12 11:24:11.708000
reasoningPerformance,55,2021-10-12 11:24:11.776000
reasoningPerformance,76,2021-10-12 11:24:11.854000
reasoningPerformance,73,2021-10-12 11:24:11.931000
reasoningPerformance,73,2021-10-12 11:24:12.007000
reasoningPerformance,45,2021-10-12 11:24:12.055000
reasoningPerformance,65,2021-10-12 11:24:12.125000
reasoningPerformance,65,2021-10-12 11:24:12.191000
reasoningPerformance,77,2021-10-12 11:24:12.270000
reasoningPerformance,67,2021-10-12 11:24:12.339000
reasoningPerformance,80,2021-10-12 11:24:12.421000
reasoningPerformance,65,2021-10-12 11:24:12.497000
reasoningPerformance,56,2021-10-12 11:24:12.553000
reasoningPerformance,75,2021-10-12 11:24:12.630000
reasoningPerformance,96,2021-10-12 11:24:12.738000
reasoningPerformance,35,2021-10-12 11:24:12.772000
reasoningPerformance,84,2021-10-12 11:24:12.863000
reasoningPerformance,49,2021-10-12 11:24:12.912000
reasoningPerformance,78,2021-10-12 11:24:12.998000
reasoningPerformance,82,2021-10-12 11:24:13.086000
reasoningPerformance,45,2021-10-12 11:24:13.136000
reasoningPerformance,102,2021-10-12 11:24:13.229000
reasoningPerformance,48,2021-10-12 11:24:13.277000
reasoningPerformance,62,2021-10-12 11:24:13.338000
reasoningPerformance,86,2021-10-12 11:24:13.441000
reasoningPerformance,45,2021-10-12 11:24:13.488000
reasoningPerformance,74,2021-10-12 11:24:13.566000
reasoningPerformance,88,2021-10-12 11:24:13.655000
reasoningPerformance,38,2021-10-12 11:24:13.710000
reasoningPerformance,67,2021-10-12 11:24:13.791000
reasoningPerformance,47,2021-10-12 11:24:13.850000
reasoningPerformance,75,2021-10-12 11:24:13.936000
reasoningPerformance,62,2021-10-12 11:24:13.993000
reasoningPerformance,62,2021-10-12 11:24:14.067000
reasoningPerformance,90,2021-10-12 11:24:14.157000
reasoningPerformance,72,2021-10-12 11:24:14.232000
reasoningPerformance,81,2021-10-12 11:24:14.319000
reasoningPerformance,59,2021-10-12 11:24:14.373000
reasoningPerformance,92,2021-10-12 11:24:14.473000
reasoningPerformance,89,2021-10-12 11:24:14.559000
reasoningPerformance,50,2021-10-12 11:24:14.617000
reasoningPerformance,85,2021-10-12 11:24:14.704000
reasoningPerformance,73,2021-10-12 11:24:14.779000
reasoningPerformance,99,2021-10-12 11:24:14.888000
reasoningPerformance,51,2021-10-12 11:24:14.949000
reasoningPerformance,66,2021-10-12 11:24:15.030000
reasoningPerformance,56,2021-10-12 11:24:15.091000
reasoningPerformance,71,2021-10-12 11:24:15.163000
reasoningPerformance,78,2021-10-12 11:24:15.243000
reasoningPerformance,48,2021-10-12 11:24:15.296000
reasoningPerformance,79,2021-10-12 11:24:15.381000
reasoningPerformance,65,2021-10-12 11:24:15.451000
