Topic,Data,TimeStamp
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-9.47538959669) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1541938782)",2021-10-12 11:32:34.668000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.11264792826) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2876358032)",2021-10-12 11:32:34.750000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.64412582257) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0435752869)",2021-10-12 11:32:34.818000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-6.30287739529) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0435752869)",2021-10-12 11:32:34.891000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.87801380215) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9543867111)",2021-10-12 11:32:34.958000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.37532562294) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9543867111)",2021-10-12 11:32:35.032000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.27377653044) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.5510969162)",2021-10-12 11:32:35.108000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.80737792237) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.6461601257)",2021-10-12 11:32:35.185000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.05708809465) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.6461601257)",2021-10-12 11:32:35.260000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.02644810306) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.8531208038)",2021-10-12 11:32:35.326000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.30614582975) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4684000015)",2021-10-12 11:32:35.398000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-6.87164401615) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4684000015)",2021-10-12 11:32:35.475000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-5.72773754663) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.3621883392)",2021-10-12 11:32:35.536000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-9.30903956154) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.3621883392)",2021-10-12 11:32:35.611000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.87924802536) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8688426018)",2021-10-12 11:32:35.676000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-6.93084446747) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9718284607)",2021-10-12 11:32:35.751000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.60545366884) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9718284607)",2021-10-12 11:32:35.825000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-6.08034758435) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2730913162)",2021-10-12 11:32:35.889000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-5.89970552241) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2730913162)",2021-10-12 11:32:35.966000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-6.9687043392) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(62.4407968521)",2021-10-12 11:32:36.031000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.1266386991) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3008365631)",2021-10-12 11:32:36.102000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-6.9550389429) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3008365631)",2021-10-12 11:32:36.178000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.77196383199) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.9096078873)",2021-10-12 11:32:36.252000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-9.06097199151) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8386230469)",2021-10-12 11:32:36.329000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.65819241182) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5442934036)",2021-10-12 11:32:36.406000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.49980073594) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5442934036)",2021-10-12 11:32:36.480000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.45609394643) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7950668335)",2021-10-12 11:32:36.541000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.6330290545) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7950668335)",2021-10-12 11:32:36.621000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-5.65495445064) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.3289909363)",2021-10-12 11:32:36.680000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.0943906014) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.1143760681)",2021-10-12 11:32:36.753000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-6.70547028706) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.1143760681)",2021-10-12 11:32:36.819000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.09305965601) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.9895973206)",2021-10-12 11:32:36.890000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.91222714165) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.9895973206)",2021-10-12 11:32:36.959000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-5.77141991787) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.1517000198)",2021-10-12 11:32:37.031000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-8.20036567893) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.1517000198)",2021-10-12 11:32:37.105000
perceptions,"gps(47.64148237140063, -122.14036499091313) compass(-7.74192042295) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.4736042023)",2021-10-12 11:32:37.171000
