Topic,Data,TimeStamp
actions,steering(0.001729065869765916),2021-10-12 11:34:55.791000
actions,setSpeed(8),2021-10-12 11:34:55.992000
actions,steering(0.00821649705065481),2021-10-12 11:34:56.081000
actions,steering(-0.0027964362996229742),2021-10-12 11:34:56.229000
actions,setSpeed(8),2021-10-12 11:34:56.381000
actions,steering(-0.004335532534734086),2021-10-12 11:34:56.475000
actions,setSpeed(8),2021-10-12 11:34:56.673000
actions,steering(0.011090062250043697),2021-10-12 11:34:56.751000
actions,setSpeed(8),2021-10-12 11:34:56.962000
actions,steering(0.009187499389879979),2021-10-12 11:34:57.047000
actions,steering(-7.922225743246426E-4),2021-10-12 11:34:57.109000
actions,setSpeed(8),2021-10-12 11:34:57.378000
actions,steering(7.732740412559854E-4),2021-10-12 11:34:57.465000
actions,steering(0.005318884289808788),2021-10-12 11:34:57.616000
actions,setSpeed(8),2021-10-12 11:34:57.752000
actions,setSpeed(8),2021-10-12 11:34:57.904000
actions,steering(0.00272018241906692),2021-10-12 11:34:57.983000
actions,steering(0.012372742530841781),2021-10-12 11:34:58.130000
actions,setSpeed(8),2021-10-12 11:34:58.361000
actions,steering(0.009989786159609122),2021-10-12 11:34:58.424000
actions,setSpeed(8),2021-10-12 11:34:58.656000
actions,steering(0.005572998286470337),2021-10-12 11:34:58.718000
actions,steering(0.004345649312768657),2021-10-12 11:34:58.855000
actions,setSpeed(8),2021-10-12 11:34:59.107000
actions,steering(-0.005799419285822221),2021-10-12 11:34:59.148000
actions,setSpeed(8),2021-10-12 11:34:59.295000
actions,steering(0.0018439204110082782),2021-10-12 11:34:59.384000
actions,steering(0.6155625000000007),2021-10-12 11:34:59.506000
actions,setSpeed(8),2021-10-12 11:34:59.684000
actions,steering(0.6741572653654501),2021-10-12 11:34:59.752000
actions,steering(0.6632355794777218),2021-10-12 11:34:59.827000
actions,setSpeed(8),2021-10-12 11:35:00.039000
actions,steering(0.6350524652571641),2021-10-12 11:35:00.129000
actions,setSpeed(8),2021-10-12 11:35:00.282000
actions,steering(0.6185178226562913),2021-10-12 11:35:00.362000
actions,steering(0.6034205986577935),2021-10-12 11:35:00.513000
actions,setSpeed(8),2021-10-12 11:35:00.754000
actions,steering(0.6091651220659834),2021-10-12 11:35:00.846000
actions,setSpeed(8),2021-10-12 11:35:01.090000
actions,steering(0.6080674117692946),2021-10-12 11:35:01.153000
actions,setSpeed(8),2021-10-12 11:35:01.298000
actions,steering(0.6028565593108274),2021-10-12 11:35:01.381000
actions,steering(0.6003251296152942),2021-10-12 11:35:01.472000
actions,setSpeed(8),2021-10-12 11:35:01.674000
actions,setSpeed(8),2021-10-12 11:35:01.759000
actions,steering(0.6288969525661849),2021-10-12 11:35:01.824000
actions,steering(0.5900308236875496),2021-10-12 11:35:01.958000
actions,setSpeed(8),2021-10-12 11:35:02.162000
actions,steering(0.6028318688531099),2021-10-12 11:35:02.234000
actions,setSpeed(8),2021-10-12 11:35:02.466000
actions,steering(0.6143624674269653),2021-10-12 11:35:02.537000
actions,setSpeed(8),2021-10-12 11:35:02.751000
actions,steering(0.5992088209593005),2021-10-12 11:35:02.838000
actions,steering(0.5259079243329714),2021-10-12 11:35:02.908000
actions,setSpeed(8),2021-10-12 11:35:03.211000
actions,steering(0.5591032526902493),2021-10-12 11:35:03.275000
actions,steering(0.5624085513794828),2021-10-12 11:35:03.359000
actions,setSpeed(8),2021-10-12 11:35:03.653000
actions,steering(0.5767353650310562),2021-10-12 11:35:03.734000
actions,setSpeed(8),2021-10-12 11:35:03.946000
actions,setSpeed(8),2021-10-12 11:35:04.006000
actions,steering(0.5514284327527481),2021-10-12 11:35:04.091000
actions,steering(0.4015427051894868),2021-10-12 11:35:04.220000
actions,setSpeed(8),2021-10-12 11:35:04.433000
actions,steering(0.09910613412497367),2021-10-12 11:35:04.518000
actions,setSpeed(8),2021-10-12 11:35:04.679000
