Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,mission(navigate,post2)>",2021-10-12 11:39:11.707000
outbox,"<mid2,0,tell,BROADCAST,navigate(post2)>",2021-10-12 11:39:11.819000
outbox,"<mid3,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:11.918000
outbox,"<mid4,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:12.073000
outbox,"<mid5,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:12.135000
outbox,"<mid6,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:12.351000
outbox,"<mid7,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:12.500000
outbox,"<mid8,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:12.577000
outbox,"<mid9,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:12.809000
outbox,"<mid10,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:13.113000
outbox,"<mid11,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:13.191000
outbox,"<mid12,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:13.276000
outbox,"<mid13,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:13.513000
outbox,"<mid14,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:13.614000
outbox,"<mid15,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:13.909000
outbox,"<mid16,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:14.064000
outbox,"<mid17,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:14.198000
outbox,"<mid18,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:14.274000
outbox,"<mid19,0,tell,BROADCAST,driveToward(lka(off),post2)>",2021-10-12 11:39:14.504000
outbox,"<mid20,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:14.648000
outbox,"<mid21,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:14.729000
outbox,"<mid22,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:14.790000
outbox,"<mid23,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:14.988000
outbox,"<mid24,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:15.218000
outbox,"<mid25,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:15.436000
outbox,"<mid26,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:15.575000
outbox,"<mid27,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:15.633000
outbox,"<mid28,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:15.837000
outbox,"<mid29,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:16.067000
outbox,"<mid30,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:16.266000
outbox,"<mid31,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:16.322000
outbox,"<mid32,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:16.538000
outbox,"<mid33,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:16.618000
outbox,"<mid34,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:16.830000
outbox,"<mid35,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:16.907000
outbox,"<mid36,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:17.122000
outbox,"<mid37,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:17.362000
outbox,"<mid38,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:17.543000
outbox,"<mid39,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:17.762000
outbox,"<mid40,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:17.869000
outbox,"<mid41,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:18.062000
outbox,"<mid42,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:18.230000
outbox,"<mid43,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:18.500000
outbox,"<mid44,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:18.563000
outbox,"<mid45,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:18.786000
outbox,"<mid46,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:18.925000
outbox,"<mid47,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:19.137000
outbox,"<mid48,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:19.281000
outbox,"<mid49,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:19.394000
outbox,"<mid50,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:19.586000
outbox,"<mid51,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:19.646000
outbox,"<mid52,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:19.860000
outbox,"<mid53,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:19.937000
outbox,"<mid54,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:20.150000
outbox,"<mid55,0,tell,BROADCAST,driveToward(lka(on),post2)>",2021-10-12 11:39:20.222000
