Topic,Data,TimeStamp
actions,"getPath(post1,post3)",2021-01-20 15:48:15.387000
actions,"getPath(post1,post3)",2021-01-20 15:48:15.494000
actions,steering(0.0015849807544999982),2021-01-20 15:48:15.678000
actions,steering(-0.002856606176076716),2021-01-20 15:48:15.796000
actions,setSpeed(8),2021-01-20 15:48:15.892000
actions,steering(-0.0029244038775767165),2021-01-20 15:48:15.980000
actions,steering(-0.009005213748319127),2021-01-20 15:48:16.092000
actions,steering(9.587458576796475E-4),2021-01-20 15:48:16.227000
actions,steering(-0.007336379628069937),2021-01-20 15:48:16.363000
actions,steering(-0.003138795288681045),2021-01-20 15:48:16.475000
actions,steering(-0.010838287933324888),2021-01-20 15:48:16.613000
actions,steering(0.004811345022063998),2021-01-20 15:48:16.734000
actions,steering(-4.3923116169921863E-4),2021-01-20 15:48:16.860000
actions,steering(0.0036253746104592545),2021-01-20 15:48:16.995000
actions,steering(0.0061533781367436565),2021-01-20 15:48:17.105000
actions,steering(0.006903120689164035),2021-01-20 15:48:17.229000
actions,steering(-0.003316383068152155),2021-01-20 15:48:17.351000
actions,steering(-0.00268126275134313),2021-01-20 15:48:17.475000
actions,steering(0.010105661764069938),2021-01-20 15:48:17.611000
actions,steering(0.008732758455855628),2021-01-20 15:48:17.733000
actions,steering(0.0022011476666405658),2021-01-20 15:48:17.857000
actions,steering(0.008842978451955327),2021-01-20 15:48:17.996000
actions,steering(-0.006188465477886184),2021-01-20 15:48:18.117000
actions,steering(0.00896884495061209),2021-01-20 15:48:18.244000
actions,steering(0.007023523283411946),2021-01-20 15:48:18.379000
actions,steering(-0.0038727066879011792),2021-01-20 15:48:18.502000
actions,steering(-1.1135231162323992E-4),2021-01-20 15:48:18.627000
actions,steering(0.004222146269933461),2021-01-20 15:48:18.761000
actions,steering(-0.0021181828308926773),2021-01-20 15:48:18.884000
actions,steering(-7.632225724900187E-4),2021-01-20 15:48:19.011000
actions,steering(0.006763772788125867),2021-01-20 15:48:19.147000
actions,steering(-0.0037453059425189097),2021-01-20 15:48:19.261000
actions,steering(-0.0035490386282293063),2021-01-20 15:48:19.397000
actions,steering(-0.0016442716865439472),2021-01-20 15:48:19.517000
actions,steering(0.009411286358555355),2021-01-20 15:48:19.640000
actions,steering(0.004994232788248235),2021-01-20 15:48:19.780000
actions,steering(-0.0040000240712131695),2021-01-20 15:48:19.902000
actions,steering(0.003990717345681692),2021-01-20 15:48:20.024000
actions,steering(0.0015966150636215896),2021-01-20 15:48:20.149000
actions,steering(-0.004355927438587873),2021-01-20 15:48:20.286000
actions,steering(0.0029034662349337035),2021-01-20 15:48:20.412000
actions,steering(-0.007926891209191171),2021-01-20 15:48:20.536000
actions,steering(0.008467083156249848),2021-01-20 15:48:20.660000
actions,steering(-7.114683334707254E-4),2021-01-20 15:48:20.798000
actions,steering(0.0039667425871924115),2021-01-20 15:48:20.920000
actions,steering(-9.98650456865466E-4),2021-01-20 15:48:21.027000
actions,steering(-0.012401449417300918),2021-01-20 15:48:21.163000
actions,steering(0.001201268693626482),2021-01-20 15:48:21.273000
actions,steering(-0.006832478047045804),2021-01-20 15:48:21.411000
actions,steering(-0.0014338186100124706),2021-01-20 15:48:21.547000
actions,steering(0.006437601663979445),2021-01-20 15:48:21.658000
actions,steering(0.00654464574823229),2021-01-20 15:48:21.795000
actions,steering(-2.98699519614207E-4),2021-01-20 15:48:21.930000
actions,steering(0.0017084839863049674),2021-01-20 15:48:22.040000
actions,steering(-0.005237505526530977),2021-01-20 15:48:22.178000
actions,steering(-0.005798051464899423),2021-01-20 15:48:22.315000
actions,steering(0.005170965378614649),2021-01-20 15:48:22.424000
actions,steering(0.002246341005480544),2021-01-20 15:48:22.578000
actions,steering(-0.006954241593911887),2021-01-20 15:48:22.711000
actions,steering(-0.0022390040664262163),2021-01-20 15:48:22.821000
actions,steering(0.0100426773023959),2021-01-20 15:48:22.962000
actions,steering(-0.002748887432633529),2021-01-20 15:48:23.086000
actions,steering(0.0011010864947589194),2021-01-20 15:48:23.208000
actions,steering(0.00480006217110425),2021-01-20 15:48:23.347000
actions,steering(-0.0031136130328913987),2021-01-20 15:48:23.469000
actions,steering(0.0032580595055985455),2021-01-20 15:48:23.595000
actions,steering(0.0185473523106878),2021-01-20 15:48:23.718000
actions,steering(-0.0013846881896925486),2021-01-20 15:48:23.840000
actions,steering(-9.891404181990538E-4),2021-01-20 15:48:23.979000
actions,steering(0.009809731384897852),2021-01-20 15:48:24.098000
actions,steering(0.0030242278584348163),2021-01-20 15:48:24.225000
actions,steering(0.0010013849239521792),2021-01-20 15:48:24.362000
actions,steering(-0.005740104545299809),2021-01-20 15:48:24.472000
actions,steering(0.0035983292337382474),2021-01-20 15:48:24.608000
actions,steering(0.008599994301583733),2021-01-20 15:48:24.735000
actions,steering(0.009653901040811125),2021-01-20 15:48:24.859000
actions,steering(-0.003911976149267011),2021-01-20 15:48:24.995000
actions,steering(-5.075172000333645E-4),2021-01-20 15:48:25.118000
actions,steering(-0.006539181602422955),2021-01-20 15:48:25.240000
actions,steering(0.006448735692707707),2021-01-20 15:48:25.378000
actions,steering(-0.0042310329679927676),2021-01-20 15:48:25.500000
actions,steering(-0.0038535952428115474),2021-01-20 15:48:25.625000
actions,steering(-0.007266377589347413),2021-01-20 15:48:25.747000
actions,steering(0.00402067038369026),2021-01-20 15:48:25.873000
actions,steering(0.0012659291173626594),2021-01-20 15:48:26.011000
actions,steering(-0.0015413094750700938),2021-01-20 15:48:26.147000
actions,steering(-7.12450914598945E-4),2021-01-20 15:48:26.256000
actions,steering(-0.001539554445452149),2021-01-20 15:48:26.396000
actions,steering(-0.004316594327426208),2021-01-20 15:48:26.518000
actions,steering(-0.002817939393501486),2021-01-20 15:48:26.641000
actions,steering(8.270599852973564E-4),2021-01-20 15:48:26.780000
actions,steering(0.0017646425105352747),2021-01-20 15:48:26.901000
actions,steering(0.006186492349758874),2021-01-20 15:48:27.026000
actions,steering(-1.6502935915391328E-4),2021-01-20 15:48:27.146000
actions,steering(0.006351505318437065),2021-01-20 15:48:27.284000
actions,steering(-0.00508258565864607),2021-01-20 15:48:27.410000
actions,steering(8.121448676549045E-4),2021-01-20 15:48:27.533000
actions,steering(-2.5313796042738287E-4),2021-01-20 15:48:27.641000
actions,steering(-0.01055507187155329),2021-01-20 15:48:27.778000
actions,steering(-0.0018841118665248056),2021-01-20 15:48:27.914000
actions,steering(-0.00357056721031742),2021-01-20 15:48:28.024000
actions,steering(-0.0068573921093077585),2021-01-20 15:48:28.162000
actions,steering(0.006245566636007539),2021-01-20 15:48:28.283000
actions,steering(0.010666404037779386),2021-01-20 15:48:28.408000
actions,steering(-0.0013551688051195616),2021-01-20 15:48:28.545000
actions,steering(-0.004673117974952993),2021-01-20 15:48:28.666000
actions,steering(-0.004022992187503016),2021-01-20 15:48:28.794000
actions,steering(-0.005654234828645022),2021-01-20 15:48:28.930000
actions,steering(0.002821584230505378),2021-01-20 15:48:29.049000
actions,steering(8.112695890308607E-4),2021-01-20 15:48:29.176000
actions,steering(-0.017395604382545216),2021-01-20 15:48:29.314000
actions,steering(0.009112367015033308),2021-01-20 15:48:29.424000
actions,steering(0.010741880622436402),2021-01-20 15:48:29.561000
actions,steering(0.003855346592622983),2021-01-20 15:48:29.685000
actions,steering(-0.0013497776290345826),2021-01-20 15:48:29.808000
actions,steering(-0.00606352969669907),2021-01-20 15:48:29.946000
actions,steering(0.001534753135181314),2021-01-20 15:48:30.070000
actions,steering(-0.0020605614166627935),2021-01-20 15:48:30.192000
actions,steering(0.0010948778218677704),2021-01-20 15:48:30.330000
actions,steering(-0.003604250428126596),2021-01-20 15:48:30.450000
actions,steering(-0.004267269713921262),2021-01-20 15:48:30.577000
actions,steering(-0.0017514246379523998),2021-01-20 15:48:30.713000
actions,steering(-0.005549170393187404),2021-01-20 15:48:30.824000
actions,steering(7.880165390224736E-4),2021-01-20 15:48:30.960000
actions,steering(-0.01764927528152179),2021-01-20 15:48:31.084000
actions,steering(-1.3658982210125182E-4),2021-01-20 15:48:31.207000
actions,steering(-0.0013611785859448321),2021-01-20 15:48:31.346000
actions,steering(0.0019902104214389203),2021-01-20 15:48:31.468000
actions,steering(-0.0018669298766285586),2021-01-20 15:48:31.591000
actions,steering(0.006708825028040306),2021-01-20 15:48:31.714000
actions,steering(-0.012783050144437657),2021-01-20 15:48:31.835000
actions,steering(-0.002435151635602449),2021-01-20 15:48:31.962000
actions,steering(-0.007266439910234798),2021-01-20 15:48:32.096000
actions,steering(0.004954747624896585),2021-01-20 15:48:32.207000
actions,steering(-7.142065299283049E-4),2021-01-20 15:48:32.343000
actions,steering(-0.013422511436703624),2021-01-20 15:48:32.466000
actions,steering(-0.005914538994748023),2021-01-20 15:48:32.590000
actions,steering(0.004632529353122106),2021-01-20 15:48:32.726000
actions,steering(0.010017180383302805),2021-01-20 15:48:32.849000
actions,setSpeed(3),2021-01-20 15:48:32.958000
actions,steering(-0.007351413879568177),2021-01-20 15:48:33.046000
actions,steering(-0.019838487026148533),2021-01-20 15:48:33.157000
actions,steering(-0.0036341513948292053),2021-01-20 15:48:33.294000
actions,steering(-0.005922799058074841),2021-01-20 15:48:33.414000
actions,steering(-0.006219260152739696),2021-01-20 15:48:33.539000
actions,steering(-9.463653746542752E-4),2021-01-20 15:48:33.677000
actions,steering(-0.010450610627690102),2021-01-20 15:48:33.814000
actions,steering(-0.00859743235839361),2021-01-20 15:48:33.935000
actions,steering(0.004876874148785089),2021-01-20 15:48:34.061000
actions,steering(-2.293613506921193E-4),2021-01-20 15:48:34.186000
actions,steering(-0.004979277254112195),2021-01-20 15:48:34.309000
actions,steering(-0.005447715400192557),2021-01-20 15:48:34.444000
actions,steering(-0.0029046177147940395),2021-01-20 15:48:34.569000
actions,steering(-0.0014597202984730057),2021-01-20 15:48:34.691000
actions,steering(-0.0017904222305280943),2021-01-20 15:48:34.830000
actions,steering(-0.005529645964874868),2021-01-20 15:48:34.952000
actions,steering(6.674535689419632E-4),2021-01-20 15:48:35.075000
actions,steering(-0.00536743613394512),2021-01-20 15:48:35.212000
actions,steering(-0.014483204632427905),2021-01-20 15:48:35.322000
actions,steering(-0.0016606651340753033),2021-01-20 15:48:35.464000
actions,setSpeed(0),2021-01-20 15:48:35.648000
actions,steering(0.006139221595888886),2021-01-20 15:48:35.679000
actions,steering(1),2021-01-20 15:48:35.783000
actions,setSpeed(8),2021-01-20 15:48:35.891000
actions,steering(1),2021-01-20 15:48:35.966000
actions,steering(1),2021-01-20 15:48:36.092000
actions,steering(1),2021-01-20 15:48:36.209000
actions,steering(1),2021-01-20 15:48:36.335000
actions,steering(1),2021-01-20 15:48:36.460000
actions,steering(1),2021-01-20 15:48:36.596000
actions,steering(1),2021-01-20 15:48:36.707000
actions,steering(1),2021-01-20 15:48:36.845000
actions,steering(1),2021-01-20 15:48:36.968000
actions,steering(1),2021-01-20 15:48:37.091000
actions,steering(1),2021-01-20 15:48:37.228000
actions,steering(1),2021-01-20 15:48:37.349000
actions,steering(1),2021-01-20 15:48:37.475000
actions,steering(1),2021-01-20 15:48:37.613000
actions,steering(1),2021-01-20 15:48:37.721000
actions,steering(1),2021-01-20 15:48:37.861000
actions,steering(1),2021-01-20 15:48:37.984000
actions,steering(1),2021-01-20 15:48:38.111000
actions,steering(1),2021-01-20 15:48:38.246000
actions,steering(1),2021-01-20 15:48:38.368000
actions,steering(1),2021-01-20 15:48:38.493000
actions,steering(1),2021-01-20 15:48:38.617000
actions,steering(1),2021-01-20 15:48:38.727000
actions,steering(1),2021-01-20 15:48:38.860000
actions,steering(1),2021-01-20 15:48:38.982000
actions,steering(1),2021-01-20 15:48:39.108000
actions,steering(1),2021-01-20 15:48:39.249000
actions,steering(0.10947925311765169),2021-01-20 15:48:39.353000
actions,steering(1),2021-01-20 15:48:39.493000
actions,steering(0.09814231384573746),2021-01-20 15:48:39.628000
actions,steering(0.09718805689730614),2021-01-20 15:48:39.739000
actions,steering(0.09642410826082382),2021-01-20 15:48:39.880000
actions,steering(0.0942041890747218),2021-01-20 15:48:40.002000
actions,steering(0.09230042217143901),2021-01-20 15:48:40.125000
actions,steering(0.09652808513435818),2021-01-20 15:48:40.259000
actions,steering(0.09288483894961727),2021-01-20 15:48:40.382000
actions,steering(0.08021552759730102),2021-01-20 15:48:40.510000
