Topic,Data,TimeStamp
reasoningPerformance,5,2021-01-20 15:48:08.828000
reasoningPerformance,14,2021-01-20 15:48:08.842000
reasoningPerformance,16,2021-01-20 15:48:08.858000
reasoningPerformance,29,2021-01-20 15:48:08.887000
reasoningPerformance,15,2021-01-20 15:48:08.902000
reasoningPerformance,16,2021-01-20 15:48:08.918000
reasoningPerformance,31,2021-01-20 15:48:08.949000
reasoningPerformance,13,2021-01-20 15:48:08.962000
reasoningPerformance,18,2021-01-20 15:48:08.979000
reasoningPerformance,14,2021-01-20 15:48:08.994000
reasoningPerformance,16,2021-01-20 15:48:09.010000
reasoningPerformance,15,2021-01-20 15:48:09.025000
reasoningPerformance,16,2021-01-20 15:48:09.041000
reasoningPerformance,29,2021-01-20 15:48:09.070000
reasoningPerformance,13,2021-01-20 15:48:09.084000
reasoningPerformance,18,2021-01-20 15:48:09.102000
reasoningPerformance,16,2021-01-20 15:48:09.117000
reasoningPerformance,27,2021-01-20 15:48:09.145000
reasoningPerformance,20,2021-01-20 15:48:09.165000
reasoningPerformance,14,2021-01-20 15:48:09.179000
reasoningPerformance,15,2021-01-20 15:48:09.195000
reasoningPerformance,16,2021-01-20 15:48:09.211000
reasoningPerformance,16,2021-01-20 15:48:09.226000
reasoningPerformance,15,2021-01-20 15:48:09.241000
reasoningPerformance,17,2021-01-20 15:48:09.259000
reasoningPerformance,13,2021-01-20 15:48:09.271000
reasoningPerformance,30,2021-01-20 15:48:09.301000
reasoningPerformance,17,2021-01-20 15:48:09.318000
reasoningPerformance,30,2021-01-20 15:48:09.349000
reasoningPerformance,12,2021-01-20 15:48:09.361000
reasoningPerformance,20,2021-01-20 15:48:09.380000
reasoningPerformance,14,2021-01-20 15:48:09.395000
reasoningPerformance,17,2021-01-20 15:48:09.411000
reasoningPerformance,14,2021-01-20 15:48:09.426000
reasoningPerformance,16,2021-01-20 15:48:09.441000
reasoningPerformance,15,2021-01-20 15:48:09.457000
reasoningPerformance,15,2021-01-20 15:48:09.473000
reasoningPerformance,29,2021-01-20 15:48:09.502000
reasoningPerformance,14,2021-01-20 15:48:09.515000
reasoningPerformance,32,2021-01-20 15:48:09.547000
reasoningPerformance,13,2021-01-20 15:48:09.560000
reasoningPerformance,18,2021-01-20 15:48:09.579000
reasoningPerformance,16,2021-01-20 15:48:09.594000
reasoningPerformance,17,2021-01-20 15:48:09.611000
reasoningPerformance,14,2021-01-20 15:48:09.625000
reasoningPerformance,16,2021-01-20 15:48:09.641000
reasoningPerformance,16,2021-01-20 15:48:09.657000
reasoningPerformance,29,2021-01-20 15:48:09.686000
reasoningPerformance,0,2021-01-20 15:48:09.687000
reasoningPerformance,26,2021-01-20 15:48:09.713000
reasoningPerformance,17,2021-01-20 15:48:09.731000
reasoningPerformance,18,2021-01-20 15:48:09.748000
reasoningPerformance,15,2021-01-20 15:48:09.764000
reasoningPerformance,13,2021-01-20 15:48:09.777000
reasoningPerformance,17,2021-01-20 15:48:09.793000
reasoningPerformance,14,2021-01-20 15:48:09.808000
reasoningPerformance,13,2021-01-20 15:48:09.821000
reasoningPerformance,30,2021-01-20 15:48:09.850000
reasoningPerformance,18,2021-01-20 15:48:09.868000
reasoningPerformance,16,2021-01-20 15:48:09.884000
reasoningPerformance,30,2021-01-20 15:48:09.914000
reasoningPerformance,14,2021-01-20 15:48:09.928000
reasoningPerformance,19,2021-01-20 15:48:09.947000
reasoningPerformance,14,2021-01-20 15:48:09.961000
reasoningPerformance,16,2021-01-20 15:48:09.978000
reasoningPerformance,16,2021-01-20 15:48:09.993000
reasoningPerformance,16,2021-01-20 15:48:10.010000
reasoningPerformance,16,2021-01-20 15:48:10.025000
reasoningPerformance,14,2021-01-20 15:48:10.039000
reasoningPerformance,28,2021-01-20 15:48:10.068000
reasoningPerformance,15,2021-01-20 15:48:10.083000
reasoningPerformance,18,2021-01-20 15:48:10.101000
reasoningPerformance,16,2021-01-20 15:48:10.117000
reasoningPerformance,12,2021-01-20 15:48:10.128000
reasoningPerformance,18,2021-01-20 15:48:10.147000
reasoningPerformance,13,2021-01-20 15:48:10.159000
reasoningPerformance,18,2021-01-20 15:48:10.178000
reasoningPerformance,15,2021-01-20 15:48:10.192000
reasoningPerformance,17,2021-01-20 15:48:10.209000
reasoningPerformance,15,2021-01-20 15:48:10.224000
reasoningPerformance,29,2021-01-20 15:48:10.254000
reasoningPerformance,13,2021-01-20 15:48:10.266000
reasoningPerformance,18,2021-01-20 15:48:10.284000
reasoningPerformance,17,2021-01-20 15:48:10.301000
reasoningPerformance,29,2021-01-20 15:48:10.330000
reasoningPerformance,15,2021-01-20 15:48:10.345000
reasoningPerformance,17,2021-01-20 15:48:10.362000
reasoningPerformance,15,2021-01-20 15:48:10.377000
reasoningPerformance,15,2021-01-20 15:48:10.392000
reasoningPerformance,16,2021-01-20 15:48:10.408000
reasoningPerformance,16,2021-01-20 15:48:10.425000
reasoningPerformance,28,2021-01-20 15:48:10.452000
reasoningPerformance,14,2021-01-20 15:48:10.466000
reasoningPerformance,19,2021-01-20 15:48:10.485000
reasoningPerformance,29,2021-01-20 15:48:10.514000
reasoningPerformance,14,2021-01-20 15:48:10.528000
reasoningPerformance,18,2021-01-20 15:48:10.546000
reasoningPerformance,14,2021-01-20 15:48:10.560000
reasoningPerformance,16,2021-01-20 15:48:10.576000
reasoningPerformance,16,2021-01-20 15:48:10.592000
