Topic,Data,TimeStamp
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.88389156073) speed(0.0)",2021-01-20 15:24:21.155000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-6.46454409864) speed(0.0)",2021-01-20 15:24:21.170000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-6.46454409864) speed(0.0)",2021-01-20 15:24:21.185000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-6.89115344594) speed(0.0)",2021-01-20 15:24:21.201000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-6.89115344594) speed(0.0)",2021-01-20 15:24:21.236000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.7803923399) speed(0.0)",2021-01-20 15:24:21.244000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-9.57164437652) speed(0.0)",2021-01-20 15:24:21.264000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-9.57164437652) speed(0.0)",2021-01-20 15:24:21.277000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.48851147226) speed(0.0)",2021-01-20 15:24:21.292000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.48851147226) speed(0.0)",2021-01-20 15:24:21.311000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.48851147226) speed(0.0)",2021-01-20 15:24:21.325000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-9.42084666015) speed(0.0)",2021-01-20 15:24:21.341000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.82037269557) speed(0.0)",2021-01-20 15:24:21.356000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.82037269557) speed(0.0)",2021-01-20 15:24:21.373000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.82037269557) speed(0.0)",2021-01-20 15:24:21.387000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.05046159947) speed(0.0)",2021-01-20 15:24:21.403000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.2491476085) speed(0.0)",2021-01-20 15:24:21.431000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.40643594696) speed(0.0)",2021-01-20 15:24:21.461000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.40643594696) speed(0.0)",2021-01-20 15:24:21.478000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.20816144558) speed(0.0)",2021-01-20 15:24:21.493000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.20816144558) speed(0.0)",2021-01-20 15:24:21.508000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-9.11954652072) speed(0.0)",2021-01-20 15:24:21.523000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-9.11954652072) speed(0.0)",2021-01-20 15:24:21.540000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.1066839589) speed(0.0)",2021-01-20 15:24:21.555000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.1066839589) speed(0.0)",2021-01-20 15:24:21.571000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.89541014717) speed(0.0)",2021-01-20 15:24:21.587000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.89541014717) speed(0.0)",2021-01-20 15:24:21.602000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.64369886493) speed(0.0)",2021-01-20 15:24:21.618000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.64369886493) speed(0.0)",2021-01-20 15:24:21.646000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-6.23614653951) speed(0.0)",2021-01-20 15:24:21.662000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-6.23614653951) speed(0.0)",2021-01-20 15:24:21.677000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-5.78648701691) speed(0.0)",2021-01-20 15:24:21.694000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-5.78648701691) speed(0.0)",2021-01-20 15:24:21.709000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-9.85796960416) speed(0.0)",2021-01-20 15:24:21.725000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-9.85796960416) speed(0.0)",2021-01-20 15:24:21.741000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.1300423853) speed(0.0)",2021-01-20 15:24:21.757000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.1300423853) speed(0.0)",2021-01-20 15:24:21.772000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.56374914123) speed(0.0)",2021-01-20 15:24:21.787000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.56374914123) speed(0.0)",2021-01-20 15:24:21.803000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.72316130927) speed(0.0)",2021-01-20 15:24:21.833000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.72316130927) speed(0.0)",2021-01-20 15:24:21.845000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.41315632171) speed(0.0)",2021-01-20 15:24:21.861000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.41315632171) speed(0.0)",2021-01-20 15:24:21.877000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-5.537807169) speed(0.0)",2021-01-20 15:24:21.893000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-5.537807169) speed(0.0)",2021-01-20 15:24:21.907000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-7.51145590305) speed(0.0)",2021-01-20 15:24:21.923000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.0088591367) speed(0.0)",2021-01-20 15:24:21.939000
perceptions,"gps(47.64148237141981, -122.1403649909294) compass(-8.0088591367) speed(0.0)",2021-01-20 15:24:21.955000
