Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-01-20 15:31:20.367000
outbox,"<mid2,0,tell,BROADCAST,navigate(default,post3)>",2021-01-20 15:31:20.423000
outbox,"<mid3,0,tell,BROADCAST,path(received,[post1,post2,post3])>",2021-01-20 15:31:20.463000
outbox,"<mid4,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-01-20 15:31:20.470000
outbox,"<mid5,0,tell,BROADCAST,navigate(route([post1,post2,post3]),post3)>",2021-01-20 15:31:20.578000
outbox,"<mid6,0,tell,BROADCAST,path(received,[post1,post2,post3])>",2021-01-20 15:31:20.606000
outbox,"<mid7,0,tell,BROADCAST,driveToward(arrived,post1)>",2021-01-20 15:31:20.680000
outbox,"<mid8,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-01-20 15:31:20.716000
outbox,"<mid9,0,tell,BROADCAST,steer(steering(0.005691871694722225),bearing(0))>",2021-01-20 15:31:20.761000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 15:31:20.808000
outbox,"<mid11,0,tell,BROADCAST,steer(steering(0.004710003234645506),bearing(0.3540858823961912))>",2021-01-20 15:31:20.881000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-01-20 15:31:20.912000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 15:31:21.007000
outbox,"<mid14,0,tell,BROADCAST,steer(steering((-0.0035436042874100464)),bearing(0.3540858823961912))>",2021-01-20 15:31:21.068000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 15:31:21.114000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 15:31:21.160000
outbox,"<mid17,0,tell,BROADCAST,steer(steering(0.014300851417291987),bearing(0.35409192812255696))>",2021-01-20 15:31:21.190000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 15:31:21.236000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 15:31:21.270000
outbox,"<mid20,0,tell,BROADCAST,steer(steering(0.00469405303901298),bearing(0.3540957794523365))>",2021-01-20 15:31:21.330000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 15:31:21.362000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 15:31:21.394000
