Topic,Data,TimeStamp
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-7.8697189238) speed(0.0)",2021-01-20 14:04:53.494000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-6.62151468361) speed(0.0)",2021-01-20 14:04:53.509000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-6.62151468361) speed(0.0)",2021-01-20 14:04:53.526000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-8.19347608866) speed(0.0)",2021-01-20 14:04:53.542000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-8.19347608866) speed(0.0)",2021-01-20 14:04:53.557000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-7.25269148699) speed(0.0)",2021-01-20 14:04:53.573000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-7.03426846629) speed(0.0)",2021-01-20 14:04:53.601000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-7.03426846629) speed(0.0)",2021-01-20 14:04:53.616000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-8.75915556463) speed(0.0)",2021-01-20 14:04:53.646000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-8.75915556463) speed(0.0)",2021-01-20 14:04:53.662000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-6.91201571531) speed(0.0)",2021-01-20 14:04:53.679000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-6.91201571531) speed(0.0)",2021-01-20 14:04:53.693000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-7.56043770602) speed(0.0)",2021-01-20 14:04:53.709000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-7.56043770602) speed(0.0)",2021-01-20 14:04:53.725000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-8.56447069534) speed(0.0)",2021-01-20 14:04:53.741000
perceptions,"gps(47.641482371430776, -122.14036499101078) compass(-8.56447069534) speed(0.0)",2021-01-20 14:04:53.757000
