Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-01-20 14:28:38.402000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-01-20 14:28:38.413000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([post2,post3]),post3)>",2021-01-20 14:28:38.469000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:38.530000
outbox,"<mid5,0,tell,BROADCAST,steer(steering(0.01741196019622926),bearing(0.3540858828212663))>",2021-01-20 14:28:38.572000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-01-20 14:28:38.617000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:38.715000
outbox,"<mid8,0,tell,BROADCAST,steer(steering((-0.002856619214104075)),bearing(0.3540858828212663))>",2021-01-20 14:28:38.756000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:38.801000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:38.835000
outbox,"<mid11,0,tell,BROADCAST,steer(steering((-2.6577962492963575E-5)),bearing(0.3540858828212663))>",2021-01-20 14:28:38.879000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:38.910000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:38.942000
outbox,"<mid14,0,tell,BROADCAST,steer(steering(0.009077153769975905),bearing(0.354091928975663))>",2021-01-20 14:28:39.002000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:39.033000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:39.094000
outbox,"<mid17,0,tell,BROADCAST,steer(steering(0.004008926095064),bearing(0.35409578030152034))>",2021-01-20 14:28:39.139000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:39.183000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:39.218000
outbox,"<mid20,0,tell,BROADCAST,steer(steering(0.00425406478508651),bearing(0.35409578072557224))>",2021-01-20 14:28:39.276000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:39.308000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:39.341000
outbox,"<mid23,0,tell,BROADCAST,steer(steering(0.006715666429919843),bearing(0.35409578072557224))>",2021-01-20 14:28:39.399000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:39.463000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:39.496000
outbox,"<mid26,0,tell,BROADCAST,steer(steering(0.01083426533111471),bearing(0.3540957811506473))>",2021-01-20 14:28:39.540000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:39.582000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:39.619000
outbox,"<mid29,0,tell,BROADCAST,steer(steering(0.004336724732998295),bearing(0.35416895755969335))>",2021-01-20 14:28:39.684000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:39.712000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:39.770000
outbox,"<mid32,0,tell,BROADCAST,steer(steering((-0.0011599259094859555)),bearing(0.3543794770425279))>",2021-01-20 14:28:39.831000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:39.864000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:39.907000
outbox,"<mid35,0,tell,BROADCAST,steer(steering(0.002892083012474818),bearing(0.3544991644054676))>",2021-01-20 14:28:39.966000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:39.997000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:40.044000
outbox,"<mid38,0,tell,BROADCAST,steer(steering(0.005265413938777572),bearing(0.35459288250996224))>",2021-01-20 14:28:40.090000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:40.134000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:40.168000
outbox,"<mid41,0,tell,BROADCAST,steer(steering(0.005869151905220191),bearing(0.35513770198963357))>",2021-01-20 14:28:40.224000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:40.259000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:40.296000
outbox,"<mid44,0,tell,BROADCAST,steer(steering((-0.0042752780379976514)),bearing(0.35581837426042284))>",2021-01-20 14:28:40.350000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:40.411000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:40.445000
outbox,"<mid47,0,tell,BROADCAST,steer(steering(0.005857916518494763),bearing(0.35637735362905687))>",2021-01-20 14:28:40.498000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:40.533000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:40.593000
outbox,"<mid50,0,tell,BROADCAST,steer(steering(0.0025667287864680126),bearing(0.3568070932442424))>",2021-01-20 14:28:40.638000
outbox,"<mid51,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:40.683000
outbox,"<mid52,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:40.718000
outbox,"<mid53,0,tell,BROADCAST,steer(steering((-0.007922693992961388)),bearing(0.3576810198469502))>",2021-01-20 14:28:40.776000
outbox,"<mid54,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:40.805000
outbox,"<mid55,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:40.854000
outbox,"<mid56,0,tell,BROADCAST,steer(steering(0.006105738876701317),bearing(0.3584770415762364))>",2021-01-20 14:28:40.895000
outbox,"<mid57,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:40.944000
outbox,"<mid58,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:40.976000
outbox,"<mid59,0,tell,BROADCAST,steer(steering((-5.792007240172826E-4)),bearing(0.358844267426889))>",2021-01-20 14:28:41.034000
outbox,"<mid60,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:41.065000
outbox,"<mid61,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:41.110000
outbox,"<mid62,0,tell,BROADCAST,steer(steering(7.887492177091232E-4),bearing(0.3595521833076418))>",2021-01-20 14:28:41.157000
outbox,"<mid63,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:41.202000
outbox,"<mid64,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:41.234000
outbox,"<mid65,0,tell,BROADCAST,steer(steering(0.0062729368486798345),bearing(0.3609261938323698))>",2021-01-20 14:28:41.294000
outbox,"<mid66,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:41.326000
outbox,"<mid67,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:41.357000
outbox,"<mid68,0,tell,BROADCAST,steer(steering((-0.0020634036965273624)),bearing(0.36154085225507515))>",2021-01-20 14:28:41.416000
outbox,"<mid69,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:41.462000
outbox,"<mid70,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:41.509000
outbox,"<mid71,0,tell,BROADCAST,steer(steering(0.014324525991816689),bearing(0.36240970540700346))>",2021-01-20 14:28:41.555000
outbox,"<mid72,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:41.586000
outbox,"<mid73,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:41.618000
outbox,"<mid74,0,tell,BROADCAST,steer(steering((-0.008905990676958428)),bearing(0.3631169462374828))>",2021-01-20 14:28:41.694000
outbox,"<mid75,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:41.725000
outbox,"<mid76,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:41.755000
outbox,"<mid77,0,tell,BROADCAST,steer(steering(0.008081979121478424),bearing(0.3633849755261167))>",2021-01-20 14:28:41.816000
outbox,"<mid78,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:41.859000
outbox,"<mid79,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:41.893000
outbox,"<mid80,0,tell,BROADCAST,steer(steering(0.011995292253799179),bearing(0.3637171043838521))>",2021-01-20 14:28:41.951000
outbox,"<mid81,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:41.982000
outbox,"<mid82,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:42.027000
outbox,"<mid83,0,tell,BROADCAST,steer(steering(0.0075038993142877335),bearing(0.36315634521179163))>",2021-01-20 14:28:42.074000
outbox,"<mid84,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:42.103000
outbox,"<mid85,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:42.136000
outbox,"<mid86,0,tell,BROADCAST,steer(steering(0.0022996946893133153),bearing(0.3635021522763964))>",2021-01-20 14:28:42.213000
outbox,"<mid87,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:42.242000
outbox,"<mid88,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:42.273000
outbox,"<mid89,0,tell,BROADCAST,steer(steering((-0.00804765463294017)),bearing(0.36267707054076936))>",2021-01-20 14:28:42.335000
outbox,"<mid90,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:42.382000
outbox,"<mid91,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:42.412000
outbox,"<mid92,0,tell,BROADCAST,steer(steering((-0.005055588126313134)),bearing(0.3604240064736359))>",2021-01-20 14:28:42.476000
outbox,"<mid93,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:42.506000
outbox,"<mid94,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:42.549000
outbox,"<mid95,0,tell,BROADCAST,steer(steering(0.004986963650238883),bearing(0.3583164997129984))>",2021-01-20 14:28:42.626000
outbox,"<mid96,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:42.659000
outbox,"<mid97,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:42.688000
outbox,"<mid98,0,tell,BROADCAST,steer(steering((-0.006066475034162192)),bearing(0.356628490040805))>",2021-01-20 14:28:42.749000
outbox,"<mid99,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:42.811000
outbox,"<mid100,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:42.845000
outbox,"<mid101,0,tell,BROADCAST,steer(steering((-0.011668707785494215)),bearing(0.35540711378104106))>",2021-01-20 14:28:42.900000
outbox,"<mid102,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:42.932000
outbox,"<mid103,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:42.980000
outbox,"<mid104,0,tell,BROADCAST,steer(steering((-0.003339628760207283)),bearing(0.3542852927126887))>",2021-01-20 14:28:43.040000
outbox,"<mid105,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:43.072000
outbox,"<mid106,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:43.115000
outbox,"<mid107,0,tell,BROADCAST,steer(steering(0.001424401715676983),bearing(0.3530728488318573))>",2021-01-20 14:28:43.179000
outbox,"<mid108,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:43.223000
outbox,"<mid109,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:43.255000
outbox,"<mid110,0,tell,BROADCAST,steer(steering((-0.0033837640101399015)),bearing(0.3527801193848177))>",2021-01-20 14:28:43.301000
outbox,"<mid111,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:43.350000
outbox,"<mid112,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:43.378000
outbox,"<mid113,0,tell,BROADCAST,steer(steering(0.008186965883236613),bearing(0.3533082494425912))>",2021-01-20 14:28:43.441000
outbox,"<mid114,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:43.473000
outbox,"<mid115,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:43.513000
outbox,"<mid116,0,tell,BROADCAST,steer(steering(0.0013314344856627672),bearing(0.3537069448292982))>",2021-01-20 14:28:43.578000
outbox,"<mid117,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:43.625000
outbox,"<mid118,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:43.656000
outbox,"<mid119,0,tell,BROADCAST,steer(steering(0.013416173623365947),bearing(0.3539801868058703))>",2021-01-20 14:28:43.717000
outbox,"<mid120,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:43.749000
outbox,"<mid121,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:43.794000
outbox,"<mid122,0,tell,BROADCAST,steer(steering(0.0114632336910379),bearing(0.3540386433368212))>",2021-01-20 14:28:43.839000
outbox,"<mid123,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:43.884000
outbox,"<mid124,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:43.915000
outbox,"<mid125,0,tell,BROADCAST,steer(steering((-0.005977901340260732)),bearing(0.3533897848930678))>",2021-01-20 14:28:43.963000
outbox,"<mid126,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:44.007000
outbox,"<mid127,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:44.039000
outbox,"<mid128,0,tell,BROADCAST,steer(steering((-0.011740158039841292)),bearing(0.35250453437856777))>",2021-01-20 14:28:44.084000
outbox,"<mid129,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:44.144000
outbox,"<mid130,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:44.176000
outbox,"<mid131,0,tell,BROADCAST,steer(steering(0.001729154523078084),bearing(0.35014778801405555))>",2021-01-20 14:28:44.221000
outbox,"<mid132,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:44.265000
outbox,"<mid133,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:44.298000
outbox,"<mid134,0,tell,BROADCAST,steer(steering((-0.004214513163144219)),bearing(0.34789586284404095))>",2021-01-20 14:28:44.359000
outbox,"<mid135,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 14:28:44.389000
outbox,"<mid136,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 14:28:44.421000
outbox,"<mid137,0,tell,BROADCAST,steer(steering(4.5628333186772274E-4),bearing(0.3457264354661902))>",2021-01-20 14:28:44.480000
