Topic,Data,TimeStamp
reasoningPerformance,68,2021-01-20 14:28:35.561000
reasoningPerformance,4,2021-01-20 14:28:35.563000
reasoningPerformance,20,2021-01-20 14:28:35.584000
reasoningPerformance,28,2021-01-20 14:28:35.612000
reasoningPerformance,12,2021-01-20 14:28:35.624000
reasoningPerformance,18,2021-01-20 14:28:35.641000
reasoningPerformance,14,2021-01-20 14:28:35.656000
reasoningPerformance,33,2021-01-20 14:28:35.689000
reasoningPerformance,10,2021-01-20 14:28:35.700000
reasoningPerformance,19,2021-01-20 14:28:35.719000
reasoningPerformance,14,2021-01-20 14:28:35.733000
reasoningPerformance,31,2021-01-20 14:28:35.763000
reasoningPerformance,30,2021-01-20 14:28:35.794000
reasoningPerformance,15,2021-01-20 14:28:35.808000
reasoningPerformance,16,2021-01-20 14:28:35.825000
reasoningPerformance,14,2021-01-20 14:28:35.839000
reasoningPerformance,17,2021-01-20 14:28:35.856000
reasoningPerformance,31,2021-01-20 14:28:35.886000
reasoningPerformance,13,2021-01-20 14:28:35.899000
reasoningPerformance,16,2021-01-20 14:28:35.915000
reasoningPerformance,29,2021-01-20 14:28:35.944000
reasoningPerformance,15,2021-01-20 14:28:35.960000
reasoningPerformance,17,2021-01-20 14:28:35.976000
reasoningPerformance,15,2021-01-20 14:28:35.992000
reasoningPerformance,15,2021-01-20 14:28:36.007000
reasoningPerformance,15,2021-01-20 14:28:36.022000
reasoningPerformance,17,2021-01-20 14:28:36.038000
reasoningPerformance,29,2021-01-20 14:28:36.067000
reasoningPerformance,12,2021-01-20 14:28:36.080000
reasoningPerformance,19,2021-01-20 14:28:36.099000
reasoningPerformance,27,2021-01-20 14:28:36.126000
reasoningPerformance,34,2021-01-20 14:28:36.159000
reasoningPerformance,34,2021-01-20 14:28:36.194000
reasoningPerformance,10,2021-01-20 14:28:36.204000
reasoningPerformance,18,2021-01-20 14:28:36.221000
reasoningPerformance,27,2021-01-20 14:28:36.249000
reasoningPerformance,16,2021-01-20 14:28:36.265000
reasoningPerformance,17,2021-01-20 14:28:36.283000
reasoningPerformance,30,2021-01-20 14:28:36.312000
reasoningPerformance,32,2021-01-20 14:28:36.344000
reasoningPerformance,14,2021-01-20 14:28:36.359000
reasoningPerformance,18,2021-01-20 14:28:36.377000
reasoningPerformance,13,2021-01-20 14:28:36.390000
reasoningPerformance,17,2021-01-20 14:28:36.407000
reasoningPerformance,27,2021-01-20 14:28:36.434000
reasoningPerformance,1,2021-01-20 14:28:36.434000
reasoningPerformance,30,2021-01-20 14:28:36.465000
reasoningPerformance,1,2021-01-20 14:28:36.465000
reasoningPerformance,27,2021-01-20 14:28:36.493000
reasoningPerformance,35,2021-01-20 14:28:36.527000
reasoningPerformance,1,2021-01-20 14:28:36.528000
reasoningPerformance,30,2021-01-20 14:28:36.558000
reasoningPerformance,14,2021-01-20 14:28:36.572000
reasoningPerformance,17,2021-01-20 14:28:36.589000
reasoningPerformance,26,2021-01-20 14:28:36.616000
reasoningPerformance,15,2021-01-20 14:28:36.630000
reasoningPerformance,19,2021-01-20 14:28:36.650000
reasoningPerformance,27,2021-01-20 14:28:36.676000
reasoningPerformance,17,2021-01-20 14:28:36.693000
reasoningPerformance,17,2021-01-20 14:28:36.711000
reasoningPerformance,15,2021-01-20 14:28:36.726000
reasoningPerformance,16,2021-01-20 14:28:36.742000
reasoningPerformance,14,2021-01-20 14:28:36.755000
reasoningPerformance,16,2021-01-20 14:28:36.771000
reasoningPerformance,30,2021-01-20 14:28:36.801000
reasoningPerformance,15,2021-01-20 14:28:36.816000
reasoningPerformance,15,2021-01-20 14:28:36.832000
reasoningPerformance,16,2021-01-20 14:28:36.848000
reasoningPerformance,31,2021-01-20 14:28:36.879000
reasoningPerformance,15,2021-01-20 14:28:36.893000
reasoningPerformance,16,2021-01-20 14:28:36.909000
reasoningPerformance,15,2021-01-20 14:28:36.924000
reasoningPerformance,13,2021-01-20 14:28:36.938000
reasoningPerformance,28,2021-01-20 14:28:36.965000
reasoningPerformance,2,2021-01-20 14:28:36.968000
reasoningPerformance,31,2021-01-20 14:28:36.999000
reasoningPerformance,31,2021-01-20 14:28:37.029000
reasoningPerformance,1,2021-01-20 14:28:37.030000
reasoningPerformance,31,2021-01-20 14:28:37.061000
reasoningPerformance,14,2021-01-20 14:28:37.075000
reasoningPerformance,16,2021-01-20 14:28:37.092000
reasoningPerformance,18,2021-01-20 14:28:37.110000
reasoningPerformance,14,2021-01-20 14:28:37.123000
reasoningPerformance,16,2021-01-20 14:28:37.139000
reasoningPerformance,28,2021-01-20 14:28:37.168000
reasoningPerformance,13,2021-01-20 14:28:37.180000
reasoningPerformance,18,2021-01-20 14:28:37.198000
reasoningPerformance,27,2021-01-20 14:28:37.226000
reasoningPerformance,35,2021-01-20 14:28:37.260000
reasoningPerformance,12,2021-01-20 14:28:37.272000
reasoningPerformance,18,2021-01-20 14:28:37.290000
reasoningPerformance,16,2021-01-20 14:28:37.306000
