Topic,Data,TimeStamp
actions,steering(0.004838759956080215),2021-01-20 14:36:37.614000
actions,setSpeed(8),2021-01-20 14:36:37.720000
actions,steering(0.01253759363763577),2021-01-20 14:36:37.796000
actions,steering(4.6557036430243176E-4),2021-01-20 14:36:37.918000
actions,steering(0.008104047047259587),2021-01-20 14:36:38.040000
actions,steering(0.013293413644721171),2021-01-20 14:36:38.180000
actions,steering(0.0018722265443049274),2021-01-20 14:36:38.306000
actions,steering(0.00426161546336048),2021-01-20 14:36:38.422000
actions,steering(-0.002564870939389103),2021-01-20 14:36:38.562000
actions,steering(0.00436019585782303),2021-01-20 14:36:38.702000
actions,steering(0.007545101140816553),2021-01-20 14:36:38.824000
actions,steering(0.001837894692892064),2021-01-20 14:36:38.948000
actions,steering(-0.004820581781040115),2021-01-20 14:36:39.054000
actions,steering(-9.902019820671429E-5),2021-01-20 14:36:39.191000
actions,steering(0.011821689698845983),2021-01-20 14:36:39.329000
actions,steering(-0.0013120001308558097),2021-01-20 14:36:39.455000
actions,steering(0.0027690282033788045),2021-01-20 14:36:39.572000
actions,steering(0.006757039906269075),2021-01-20 14:36:39.710000
actions,steering(-0.0016376625172481853),2021-01-20 14:36:39.835000
actions,steering(0.0044220566462214415),2021-01-20 14:36:39.960000
actions,steering(0.019785671371075234),2021-01-20 14:36:40.097000
actions,steering(5.225919360046917E-5),2021-01-20 14:36:40.217000
actions,steering(6.589137595787362E-4),2021-01-20 14:36:40.341000
actions,steering(0.011134607340850868),2021-01-20 14:36:40.477000
actions,steering(0.004401390148998205),2021-01-20 14:36:40.602000
actions,steering(0.001428311366625332),2021-01-20 14:36:40.724000
actions,steering(0.002763349389208875),2021-01-20 14:36:40.860000
actions,steering(0.004929974823196511),2021-01-20 14:36:40.986000
actions,steering(0.009555579504424008),2021-01-20 14:36:41.109000
actions,steering(0.0020908675462351363),2021-01-20 14:36:41.245000
actions,steering(-0.0028664515259643713),2021-01-20 14:36:41.369000
actions,steering(7.69561895223382E-4),2021-01-20 14:36:41.492000
actions,steering(-0.005327095317955941),2021-01-20 14:36:41.630000
actions,steering(0.0073020599812519),2021-01-20 14:36:41.752000
actions,steering(-0.003341099425003602),2021-01-20 14:36:41.874000
actions,steering(-0.0029369446074922014),2021-01-20 14:36:42.011000
actions,steering(-0.006101840758061977),2021-01-20 14:36:42.135000
actions,steering(0.00518459792996056),2021-01-20 14:36:42.272000
actions,steering(0.0024725558435766577),2021-01-20 14:36:42.395000
actions,steering(0.006876435141036966),2021-01-20 14:36:42.514000
actions,steering(0.003692526885474084),2021-01-20 14:36:42.620000
actions,steering(-0.0010398333861534573),2021-01-20 14:36:42.762000
actions,steering(-0.0015190311463971146),2021-01-20 14:36:42.896000
actions,steering(-0.0022486135429165837),2021-01-20 14:36:43.017000
actions,steering(-0.011896834596258222),2021-01-20 14:36:43.142000
actions,steering(0.002460347098225668),2021-01-20 14:36:43.295000
actions,steering(0.0033102226962806783),2021-01-20 14:36:43.416000
actions,steering(-0.009841051237192611),2021-01-20 14:36:43.552000
actions,steering(0.007875798221708901),2021-01-20 14:36:43.679000
actions,steering(0.006794183831491166),2021-01-20 14:36:43.800000
actions,steering(-0.005207707279442841),2021-01-20 14:36:43.935000
actions,steering(0.007931323227802059),2021-01-20 14:36:44.060000
actions,steering(5.864980093581767E-4),2021-01-20 14:36:44.181000
actions,steering(-0.002561092920361372),2021-01-20 14:36:44.319000
actions,steering(-0.006360251068198666),2021-01-20 14:36:44.443000
actions,steering(-5.840459483794734E-4),2021-01-20 14:36:44.578000
actions,steering(0.009228904858783487),2021-01-20 14:36:44.703000
actions,steering(-0.0071461572321262256),2021-01-20 14:36:44.825000
actions,steering(-0.011419450447038581),2021-01-20 14:36:44.947000
actions,steering(-0.0018470392453298907),2021-01-20 14:36:45.083000
actions,steering(-0.009148108225469099),2021-01-20 14:36:45.209000
actions,steering(-0.00421052630584743),2021-01-20 14:36:45.343000
actions,steering(-0.0033020068759441745),2021-01-20 14:36:45.469000
actions,steering(-0.004398235186007973),2021-01-20 14:36:45.590000
actions,steering(-0.015176245598231811),2021-01-20 14:36:45.728000
actions,steering(-4.989810091718628E-4),2021-01-20 14:36:45.851000
actions,steering(-0.0010357977132512235),2021-01-20 14:36:45.988000
actions,steering(-2.3154366404358996E-4),2021-01-20 14:36:46.110000
actions,steering(0.006669711473547362),2021-01-20 14:36:46.230000
actions,steering(0.00849893096537248),2021-01-20 14:36:46.370000
actions,steering(0.0026680123926058614),2021-01-20 14:36:46.494000
actions,steering(0.008943968957425536),2021-01-20 14:36:46.613000
actions,steering(-0.0028332620040855496),2021-01-20 14:36:46.740000
actions,steering(0.006966992018801527),2021-01-20 14:36:46.880000
actions,steering(0.004243376222579265),2021-01-20 14:36:46.999000
actions,steering(-0.003864641981659868),2021-01-20 14:36:47.125000
actions,steering(2.2964181187713607E-4),2021-01-20 14:36:47.262000
actions,steering(7.610699395359966E-4),2021-01-20 14:36:47.385000
actions,steering(3.399265092930253E-4),2021-01-20 14:36:47.509000
actions,steering(-0.011303611662235345),2021-01-20 14:36:47.646000
actions,steering(0.0011980302782907417),2021-01-20 14:36:47.766000
actions,steering(-7.271046438875908E-4),2021-01-20 14:36:47.891000
actions,steering(1.649876715514864E-6),2021-01-20 14:36:48.030000
actions,steering(0.00105816050078739),2021-01-20 14:36:48.150000
actions,steering(-0.0011774968903037455),2021-01-20 14:36:48.287000
actions,steering(-0.005356776136994649),2021-01-20 14:36:48.408000
actions,steering(0.006186282825573929),2021-01-20 14:36:48.547000
actions,steering(-0.004891095404088983),2021-01-20 14:36:48.653000
actions,steering(-0.006166605923703944),2021-01-20 14:36:48.790000
actions,steering(-0.007234428643556957),2021-01-20 14:36:48.929000
actions,steering(-0.01206465141955949),2021-01-20 14:36:49.066000
actions,steering(0.002684492712593261),2021-01-20 14:36:49.192000
actions,steering(0.009839255820183575),2021-01-20 14:36:49.328000
actions,steering(0.006518013700548586),2021-01-20 14:36:49.449000
actions,steering(0.002642214988713359),2021-01-20 14:36:49.585000
actions,steering(0.005187575740703367),2021-01-20 14:36:49.709000
actions,steering(0.003696768949186607),2021-01-20 14:36:49.846000
actions,steering(0.0076506156167376995),2021-01-20 14:36:49.954000
actions,steering(-1.9092333605404595E-5),2021-01-20 14:36:50.077000
actions,steering(-0.004238912294005104),2021-01-20 14:36:50.213000
actions,steering(-0.0042260055996292435),2021-01-20 14:36:50.333000
actions,steering(0.009105732533024399),2021-01-20 14:36:50.457000
actions,steering(-0.002879113321071062),2021-01-20 14:36:50.594000
actions,steering(-0.010736099550597226),2021-01-20 14:36:50.717000
actions,steering(-7.051824463347758E-4),2021-01-20 14:36:50.853000
actions,steering(-7.67401221700433E-4),2021-01-20 14:36:50.975000
actions,steering(0.008473438005034487),2021-01-20 14:36:51.114000
actions,steering(0.004951908179347737),2021-01-20 14:36:51.221000
actions,steering(-0.008495964458602377),2021-01-20 14:36:51.363000
actions,steering(-0.003635153693814096),2021-01-20 14:36:51.486000
actions,steering(-0.0014630789176223599),2021-01-20 14:36:51.607000
actions,steering(0.005221234717529081),2021-01-20 14:36:51.729000
actions,steering(0.003999289370086748),2021-01-20 14:36:51.854000
actions,steering(0.007395615765424907),2021-01-20 14:36:51.973000
actions,steering(0.0025876410305637845),2021-01-20 14:36:52.111000
actions,steering(9.377082604943668E-4),2021-01-20 14:36:52.235000
actions,steering(-2.3366208356273194E-4),2021-01-20 14:36:52.368000
