Hot Spot,Self Time Difference (microseconds),Self Time Base (microseconds),Invocations Difference,Invocations Base
jason.asSemantics.TransitionSystem.applySemanticRuleSense,60,0,51,0
jason.infra.centralised.RunCentralisedMAS.createButtons,845,2429,0,1
javax.swing.JButton.<init>,68,205,0,8
jason.mas2j.parser.mas2j.agent,642,2114,0,1
jason.mas2j.AgentParameters.setupDefault,2194,8031,0,1
jason.asSyntax.Structure.equals,1,4,0,415
jason.bb.BeliefBase.<clinit>,2667,11709,0,1
jason.asSemantics.Agent.fixAgInIAandFunctions,32,148,0,8
jason.infra.centralised.RunCentralisedMAS.createNewReplAgButton,238,1145,0,1
jason.asSyntax.parser.as2j.var,1,6,0,187
java.lang.management.ManagementFactory.getPlatformMBeanServer,5145,31634,0,2
jason.infra.centralised.RunCentralisedMAS.createEnvironment,224,1592,0,1
jason.mas2j.parser.mas2j.<init>,1279,9463,0,1
jason.mas2j.parser.SimpleCharStream.readChar,1,8,0,275
jason.infra.centralised.RunCentralisedMAS.<init>,621,5050,0,1
jason.asSemantics.Agent.parseAS,982,8212,0,2
javax.management.MBeanServer.registerMBean,673,5999,0,1
javax.swing.JFrame.setVisible,4901,48463,0,2
jason.mas2j.MAS2JProject.<init>,151,1548,0,1
java.lang.String.replaceAll,48,524,0,7
jason.mas2j.parser.mas2j.mas,456,5386,0,1
jason.runtime.MASConsoleGUI.setAsDefaultOut,120,1515,0,1
jason.asSyntax.directives.DirectiveProcessor.<clinit>,1064,13553,0,1
jason.infra.centralised.RunCentralisedMAS.init,1012,13431,0,1
java.util.logging.Logger.getLogger,3,43,0,39
jason.asSemantics.Intention.<init>,167,3180,0,1
javax.swing.ImageIcon.<init>,28,539,0,8
jason.asSyntax.parser.SimpleCharStream.<init>,1,22,0,252
java.net.InetAddress.getLocalHost,209,4632,0,1
jason.infra.centralised.CentralisedAgArch.createArchs,344,9507,0,1
java.util.stream.Stream.collect,1,28,0,277
jason.asSemantics.TransitionSystem.<init>,234,6729,0,1
jason.asSemantics.TransitionSystem.applyAddIM,39,1223,0,1
java.net.URL.openStream,12,424,0,6
java.util.concurrent.Executors.newFixedThreadPool,235,8484,0,1
jason.runtime.MASConsoleGUI.initOutput,48,1787,0,1
jason.runtime.MASConsoleGUI.initButtonPanel,57,2416,0,1
jason.asSemantics.Agent.initAg,24,1543,0,1
com.sun.net.httpserver.HttpServer.create,152,20102,0,1
java.util.logging.Logger.getHandlers,45,5959,0,1
jason.mas2j.MAS2JProject.fixAgentsSrc,13,2392,0,1
jason.architecture.MindInspectorWebImpl.registerAgView,6,1465,0,1
jason.asSyntax.directives.FunctionRegister.<clinit>,30,8333,0,1
"jason.asSyntax.parser.as2j.<init>(java.io.InputStream, java.lang.String)",9,3759,0,2
javax.swing.JTextArea.<init>,-93,23863,0,1
java.lang.ClassLoader.loadClass,-6,1214,0,1
jason.asSyntax.PlanLibrary.<clinit>,-38,5444,0,1
jason.runtime.MASConsoleGUI.initFrame,-598,83930,0,1
java.util.stream.Collectors.toList,-2,150,0,25
javax.swing.JScrollPane.<init>,-173,12186,0,1
java.lang.Class.getMethods,-303,17849,0,1
jason.mas2j.AgentParameters.getAsSetts,-34,1595,0,1
java.lang.String.split,-3,140,0,50
ProjectRunner.main,-970,40859,0,1
DebugEnvironment.getPercepts,-1,34,0,51
jason.infra.centralised.RunCentralisedMAS.createAgs,-405,7946,0,1
jason.asSyntax.Structure.getSingletonVars,-4,78,0,25
javax.swing.JFrame.<init>,-16291,283094,0,1
java.lang.Class.forName,-78,1222,0,17
java.io.File.exists,-5,76,-1,40
java.util.Set.stream,-8,121,0,25
javax.swing.JTextArea.append,-12,160,0,255
jason.infra.centralised.RunCentralisedMAS.finish,-180,2214,0,1
jason.asSyntax.parser.as2j.checkInternalActionsInContext,-3,36,0,37
jason.asSemantics.Agent.create,-899,8571,0,1
jason.asSyntax.Structure.toString,-1,7,0,257
jason.asSyntax.parser.as2j.rel_expr,-1,7,0,730
java.lang.Double.parseDouble,-1,7,0,500
jason.asSyntax.parser.as2j.body_formula,-76,440,0,32
java.lang.String.valueOf,-9,34,0,250
java.lang.Class.getResource,-188,426,0,11
javax.swing.JFrame.addWindowListener,-1085,1085,-1,1
