Hot Spot,Self Time Difference (microseconds),Self Time Base (microseconds),Invocations Difference,Invocations Base
jason.asSemantics.TransitionSystem.applySemanticRuleSense,3104,0,51,0
jason.infra.centralised.RunCentralisedMAS.createButtons,845,2429,0,1
javax.swing.JButton.<init>,544,1640,0,8
jason.mas2j.parser.mas2j.agent,642,2114,0,1
jason.mas2j.AgentParameters.setupDefault,2194,8031,0,1
jason.bb.BeliefBase.<clinit>,2667,11709,0,1
jason.asSemantics.Agent.fixAgInIAandFunctions,251,1189,0,8
jason.infra.centralised.RunCentralisedMAS.createNewReplAgButton,238,1145,0,1
jason.asSyntax.parser.as2j.var,243,1218,0,187
jason.asSyntax.Structure.equals,361,1927,0,415
java.lang.management.ManagementFactory.getPlatformMBeanServer,10290,63269,0,2
jason.infra.centralised.RunCentralisedMAS.createEnvironment,224,1592,0,1
jason.mas2j.parser.mas2j.<init>,1279,9463,0,1
jason.infra.centralised.RunCentralisedMAS.<init>,621,5050,0,1
jason.asSemantics.Agent.parseAS,1964,16425,0,2
javax.management.MBeanServer.registerMBean,673,5999,0,1
javax.swing.JFrame.setVisible,9803,96926,0,2
jason.mas2j.MAS2JProject.<init>,151,1548,0,1
java.lang.String.replaceAll,335,3674,0,7
jason.mas2j.parser.mas2j.mas,456,5386,0,1
jason.mas2j.parser.SimpleCharStream.readChar,199,2404,0,275
jason.runtime.MASConsoleGUI.setAsDefaultOut,120,1515,0,1
jason.asSyntax.directives.DirectiveProcessor.<clinit>,1064,13553,0,1
jason.infra.centralised.RunCentralisedMAS.init,1012,13431,0,1
java.lang.Error.<init>,76,1371,0,252
javax.swing.ImageIcon.<init>,227,4315,0,8
jason.asSemantics.Intention.<init>,167,3180,0,1
java.util.logging.Logger.getLogger,86,1709,0,39
jason.asSyntax.parser.SimpleCharStream.BeginToken,184,3876,0,3264
jason.asSyntax.parser.as2jTokenManager.jjFillToken,147,3135,0,2725
java.net.InetAddress.getLocalHost,209,4632,0,1
jason.asSyntax.parser.SimpleCharStream.<init>,254,5703,0,252
jason.asSyntax.parser.as2j.arithm_expr_simple,102,2702,0,885
jason.infra.centralised.CentralisedAgArch.createArchs,344,9507,0,1
jason.asSyntax.parser.SimpleCharStream.readChar,290,8078,0,13104
jason.asSemantics.TransitionSystem.<init>,234,6729,0,1
java.util.stream.Stream.collect,257,8029,0,277
jason.asSemantics.TransitionSystem.applyAddIM,39,1223,0,1
java.util.concurrent.Executors.newFixedThreadPool,235,8484,0,1
java.net.URL.openStream,70,2546,0,6
jason.runtime.MASConsoleGUI.initOutput,48,1787,0,1
jason.runtime.MASConsoleGUI.initButtonPanel,57,2416,0,1
jason.runtime.MASConsoleLogFormatter.format,28,1239,0,508
jason.asSyntax.parser.as2j.log_expr_factor,68,3192,0,733
jason.asSyntax.parser.as2jTokenManager.jjMoveStringLiteralDfa0_0,28,1316,0,2509
java.lang.StringBuilder.append,56,3560,0,3149
jason.asSemantics.Agent.initAg,24,1543,0,1
java.util.stream.Collectors.joining,27,2388,0,252
jason.asSyntax.parser.as2jTokenManager.getNextToken,54,5732,0,2725
java.io.IOException.<init>,14,1523,0,252
com.sun.net.httpserver.HttpServer.create,152,20102,0,1
java.util.logging.Logger.getHandlers,45,5959,0,1
jason.mas2j.MAS2JProject.fixAgentsSrc,13,2392,0,1
jason.architecture.MindInspectorWebImpl.registerAgView,6,1465,0,1
jason.asSyntax.directives.FunctionRegister.<clinit>,30,8333,0,1
"jason.asSyntax.parser.as2j.<init>(java.io.InputStream, java.lang.String)",19,7518,0,2
jason.asSyntax.parser.as2j.arithm_expr_factor,-1,4581,0,735
jason.asSyntax.Structure.<init>,-3,1376,0,761
jason.asSyntax.parser.as2j.pred,-8,2220,0,371
javax.swing.JTextArea.<init>,-93,23863,0,1
jason.asSyntax.Pred.addAnnot,-16,3883,0,60
java.lang.ClassLoader.loadClass,-6,1214,0,1
java.lang.Class.getConstructor,-30,4331,0,281
jason.asSyntax.DefaultTerm.hashCode,-11,1585,0,3898
jason.asSyntax.PlanLibrary.<clinit>,-38,5444,0,1
jason.runtime.MASConsoleGUI.initFrame,-598,83930,0,1
java.lang.reflect.Constructor.newInstance,-28,2185,0,281
java.util.logging.Logger.info,-225,15917,0,253
javax.swing.JScrollPane.<init>,-173,12186,0,1
java.util.stream.Collectors.toList,-63,3773,0,25
java.lang.Class.getMethods,-303,17849,0,1
java.util.List.stream,-25,1249,0,252
jason.asSyntax.parser.as2j.literal,-105,5015,0,533
jason.asSyntax.parser.SimpleCharStream.FillBuff,-156,7387,0,506
jason.mas2j.AgentParameters.getAsSetts,-34,1595,0,1
java.lang.String.split,-153,7022,0,50
ProjectRunner.main,-970,40859,0,1
java.lang.Double.parseDouble,-85,3560,0,500
jason.asSyntax.parser.as2jTokenManager.jjCheckNAddTwoStates,-67,2423,0,6689
jason.asSyntax.Structure.toString,-57,1832,0,257
DebugEnvironment.getPercepts,-55,1738,0,51
jason.asSyntax.parser.as2j.rel_expr,-205,5249,0,730
jason.asSyntax.parser.as2jTokenManager.jjMoveNfa_0,-201,4174,0,1185
jason.infra.centralised.RunCentralisedMAS.createAgs,-405,7946,0,1
jason.asSyntax.Structure.getSingletonVars,-111,1966,0,25
javax.swing.JFrame.<init>,-16291,283094,0,1
jason.asSyntax.ASSyntax.parseNumber,-82,1413,0,500
java.lang.Class.forName,-1325,20777,0,17
java.util.Set.stream,-202,3035,0,25
javax.swing.JTextArea.append,-2890,40821,0,255
jason.asSyntax.parser.SimpleCharStream.UpdateLineColumn,-110,1504,0,11703
jason.asSyntax.parser.as2jTokenManager.jjCheckNAdd,-169,2195,0,18559
jason.infra.centralised.RunCentralisedMAS.finish,-180,2214,0,1
jason.asSyntax.parser.as2j.checkInternalActionsInContext,-112,1336,0,37
java.io.File.exists,-285,3067,-1,40
jason.asSemantics.Agent.create,-899,8571,0,1
jason.asSyntax.parser.as2j.body_formula,-2411,14084,0,32
java.lang.String.valueOf,-2408,8658,0,250
java.lang.Class.getResource,-2074,4696,0,11
javax.swing.JFrame.addWindowListener,-1085,1085,-1,1
