Topic,Data,TimeStamp
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.34642684347) speed(0.0)",2021-01-20 14:39:12.699000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.34642684347) speed(0.0)",2021-01-20 14:39:12.714000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-6.08481719381) speed(0.0)",2021-01-20 14:39:12.731000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-6.08481719381) speed(0.0)",2021-01-20 14:39:12.745000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-10.0020510798) speed(0.0)",2021-01-20 14:39:12.761000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-10.0020510798) speed(0.0)",2021-01-20 14:39:12.776000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.97799917941) speed(0.0)",2021-01-20 14:39:12.804000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.97799917941) speed(0.0)",2021-01-20 14:39:12.806000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.75572777835) speed(0.0)",2021-01-20 14:39:12.837000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.75572777835) speed(0.0)",2021-01-20 14:39:12.838000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.28968102603) speed(0.0)",2021-01-20 14:39:12.866000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.77939956818) speed(0.0)",2021-01-20 14:39:12.882000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.77939956818) speed(0.0)",2021-01-20 14:39:12.897000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.72740162806) speed(0.0)",2021-01-20 14:39:12.914000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.72740162806) speed(0.0)",2021-01-20 14:39:12.928000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-9.81644244686) speed(0.0)",2021-01-20 14:39:12.945000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-9.81644244686) speed(0.0)",2021-01-20 14:39:12.960000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.80571734455) speed(0.0)",2021-01-20 14:39:12.975000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.80571734455) speed(0.0)",2021-01-20 14:39:13.004000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-6.75933051646) speed(0.0)",2021-01-20 14:39:13.006000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-6.75933051646) speed(0.0)",2021-01-20 14:39:13.033000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.15364956886) speed(0.0)",2021-01-20 14:39:13.051000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.15364956886) speed(0.0)",2021-01-20 14:39:13.066000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-6.89532132317) speed(0.0)",2021-01-20 14:39:13.081000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-6.89532132317) speed(0.0)",2021-01-20 14:39:13.096000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.41644278493) speed(0.0)",2021-01-20 14:39:13.111000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.41644278493) speed(0.0)",2021-01-20 14:39:13.128000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.3812289486) speed(0.0)",2021-01-20 14:39:13.144000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.3812289486) speed(0.0)",2021-01-20 14:39:13.159000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-9.27705297652) speed(0.0)",2021-01-20 14:39:13.188000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-9.27705297652) speed(0.0)",2021-01-20 14:39:13.204000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.02079390927) speed(0.0)",2021-01-20 14:39:13.235000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-8.02079390927) speed(0.0)",2021-01-20 14:39:13.251000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.79294671527) speed(0.0)",2021-01-20 14:39:13.267000
perceptions,"gps(47.64148237147876, -122.14036499107587) compass(-7.79294671527) speed(0.0)",2021-01-20 14:39:13.281000
